split,model,n,accuracy,macro_f1,micro_f1,log_loss,brier_score
calibration,WaferCNN,5105,0.990205680705191,0.9136891551520523,0.990205680705191,0.030599819496273994,0.015475261533154427
calibration,SpatialLogistic,5105,0.7825661116552399,0.614917484159644,0.7825661116552399,0.6213480830192566,0.29991753388814046
calibration,TrainPrior,5105,0.6570029382957885,0.08811128186940931,0.6570029382957885,1.1499699780432067,0.5323844612760803
test,WaferCNN,118581,0.9492751789915754,0.7204142358066972,0.9492751789915754,0.17020927369594574,0.07823030246120677
test,SpatialLogistic,118581,0.3858712609945944,0.3479255910902655,0.3858712609945944,1.7415997982025146,0.7960733532533876
test,TrainPrior,118581,0.9335306668015956,0.10729142436225479,0.9335306668015956,0.6051003663986103,0.23330849706312323
