epoch,train_loss,validation_macro_f1,validation_accuracy,elapsed_seconds
1,0.6579102897613384,0.7228818992090853,0.9254167885346593,6.0789999999979045
2,0.34675118291315704,0.7263835645680075,0.9411133859803061,13.594000000011874
3,0.2822827738124075,0.6937972836699459,0.7773228039387735,26.73499999998603
4,0.25364284231271106,0.8521498920437589,0.9643170517695232,40.062999999994645
5,0.2110332818135587,0.7982669336552496,0.9575899385785317,53.046999999991385
6,0.19270433941569895,0.8678106628146093,0.965681973286536,66.0789999999979
7,0.17722668544993883,0.8744889094669688,0.9655844788924637,79.03200000000652
8,0.16198521725855702,0.8020413740637619,0.9458906112898509,92.06299999999464
9,0.15327574572918823,0.8746748863220791,0.9607097591888466,105.14100000000326
10,0.13012966762159986,0.7776308569935974,0.9106951350297358,118.23499999998603
11,0.11395802334709572,0.9328917607295425,0.9814760651262553,131.26600000000326
12,0.11145205181822586,0.8888980344269858,0.9780637613337233,144.46900000001187
13,0.11280142762695239,0.8634457034804783,0.9728965584478892,157.9539999999979
14,0.10146755048821494,0.9158682264896078,0.9738715023886126,171.92199999999139
15,0.09964526517094406,0.8027696379683619,0.9144974163985571,185.71900000001187
16,0.08750372632564402,0.9366716805437565,0.9836209417958467,198.875
17,0.09774783793274983,0.9339866061119747,0.9818660427025446,211.9539999999979
18,0.09509223902523092,0.9440556725582163,0.9850833577069319,225.29699999999139
19,0.083797790475444,0.9312476679245528,0.9826459978551233,238.54699999999139
20,0.07403448393320484,0.8858076963496948,0.9727015696597445,251.60999999998603
21,0.07222261826383375,0.9252901707983019,0.9816710539143999,264.68799999999464
22,0.06985918243788303,0.9462465970942682,0.9861557960417277,277.81299999999464
23,0.060844422507711306,0.9396598594848246,0.9783562445159404,290.875
24,0.06801646078102129,0.9336667123883671,0.9799161548210978,303.9690000000119
25,0.062026332672159984,0.9559442765165489,0.9885931558935361,317.0
26,0.05558152334107303,0.9552932976974883,0.9877157063468851,330.0940000000119
27,0.05555188938829951,0.947168581008316,0.9862532904357999,343.2039999999979
28,0.05069527081619918,0.9504793096301323,0.9885931558935361,350.98499999998603
29,0.050189375983605976,0.9397374132386367,0.9824510090669787,356.75
30,0.04792465341778165,0.9545591505644434,0.9884956614994638,362.5469999999914
31,0.04476038321160343,0.9573915902825684,0.9885931558935361,368.39100000000326
32,0.04257441130176331,0.9560157137513232,0.9884956614994638,374.2190000000119
33,0.04227577058409849,0.9534302724204626,0.9877157063468851,380.06299999999464
34,0.04016971838421036,0.9556280624677019,0.9891781222579702,385.7039999999979
35,0.040748028383056786,0.9559995615770769,0.9887881446816809,391.4219999999914
36,0.038643993096118545,0.956759662815365,0.9892756166520426,397.10999999998603
37,0.03959722213166117,0.9572651514672759,0.9891781222579702,402.9219999999914
38,0.03819416270356919,0.9561991157237004,0.9890806278638978,408.6719999999914
39,0.03526356086920251,0.9570840684833394,0.9891781222579702,414.2820000000065
40,0.037815512906789035,0.9570678138624067,0.9889831334698255,419.9219999999914
