fold,feature,selected,t_abs,oob_importance
0,lag_1,True,4.427304617644788,0.6753680845772317
0,lag_2,True,2.034059542816894,0.45319069675223583
0,lag_3,True,1.9065175964214192,0.22113153154482926
0,lag_4,True,0.19819265762186675,0.27247408582757954
0,lag_5,True,1.7259778505461085,0.06008742903348266
0,lag_6,True,1.6252780576549253,-0.18870156505099467
0,lag_7,False,0.05310163357376753,0.003552060361411414
0,lag_8,False,0.39135644318501817,0.10303115373869393
0,lag_9,False,0.6725653216485051,-0.05659539072479454
0,lag_10,False,1.039085472068664,-0.13943322551376539
0,lag_11,True,0.33495347382113444,0.16726426166071925
0,neighbor_1,True,6.672596057432882,1.3433497292231944
0,neighbor_2,True,2.0022537249012937,0.5258432456996586
0,neighbor_3,False,0.7820103202252977,0.08135985346797352
0,neighbor_4,True,1.5107310955209838,0.5711754805699865
0,neighbor_5,True,2.0553450433686864,0.25175031975882217
0,neighbor_6,False,1.4676891484973176,-0.2559018359533555
0,neighbor_7,True,0.92703984786937,0.29265245993706973
0,neighbor_8,True,0.12179110647682986,0.20554098163785767
0,neighbor_9,True,1.529336985965317,0.26835457719071465
0,neighbor_10,True,1.1495463497793064,0.29565939796137186
0,p2_primary_CENTER_AIR_BAG_PRESSURE_auc,True,0.33808905961171126,0.7435946856488858
0,p2_primary_CENTER_AIR_BAG_PRESSURE_mean,True,0.4769341920762946,0.26375382594067553
0,p2_primary_CENTER_AIR_BAG_PRESSURE_std,True,0.11628754898765217,0.19343351572726264
0,p2_primary_DRESSING_WATER_STATUS_auc,False,1.3808103845122865,0.13846545728878043
0,p2_primary_DRESSING_WATER_STATUS_mean,True,1.0724348786334885,0.3021500103150972
0,p2_primary_DRESSING_WATER_STATUS_std,False,0.27774892888254726,0.06482061098518897
0,p2_primary_EDGE_AIR_BAG_PRESSURE_auc,True,1.780779852485622,0.2798622678390338
0,p2_primary_EDGE_AIR_BAG_PRESSURE_mean,True,0.5995814300220292,0.376552638865684
0,p2_primary_EDGE_AIR_BAG_PRESSURE_std,True,0.6462588073026513,0.5124067478237123
0,p2_primary_HEAD_ROTATION_mean,True,1.6820349089285815,0.2028709789530349
0,p2_primary_MAIN_OUTER_AIR_BAG_PRESSURE_auc,True,1.1698132761683309,0.360837324142968
0,p2_primary_MAIN_OUTER_AIR_BAG_PRESSURE_mean,True,0.6605597694322362,0.2176689540648481
0,p2_primary_MAIN_OUTER_AIR_BAG_PRESSURE_std,True,0.15733295081709428,0.3648602619181857
0,p2_primary_PRESSURIZED_CHAMBER_PRESSURE_auc,True,1.5429781031749819,0.44924446278998276
0,p2_primary_PRESSURIZED_CHAMBER_PRESSURE_mean,True,0.22314005422185315,0.34594041670912856
0,p2_primary_PRESSURIZED_CHAMBER_PRESSURE_std,True,1.9446374802737105,0.33685260114450893
0,p2_primary_RETAINER_RING_PRESSURE_auc,True,1.6539713492927075,0.41061072974145985
0,p2_primary_RETAINER_RING_PRESSURE_mean,True,1.4966963030829428,0.21090128119290277
0,p2_primary_RETAINER_RING_PRESSURE_std,True,1.8691208077879133,-0.015233050706707283
0,p2_primary_RIPPLE_AIR_BAG_PRESSURE_auc,True,0.0024552030591260352,1.3557116737320964
0,p2_primary_RIPPLE_AIR_BAG_PRESSURE_mean,True,0.15983317021641988,0.38777574349831245
0,p2_primary_RIPPLE_AIR_BAG_PRESSURE_std,True,2.015789092332624,-0.06826883506457172
0,p2_primary_SLURRY_FLOW_LINE_A_auc,True,0.7168947025317478,0.19620227909766794
0,p2_primary_SLURRY_FLOW_LINE_A_mean,False,0.29491555578293704,0.06084511473567403
0,p2_primary_SLURRY_FLOW_LINE_A_std,True,0.09594157918544778,0.24570969091856412
0,p2_primary_SLURRY_FLOW_LINE_B_auc,True,1.6824225524308887,0.2505258714894664
0,p2_primary_SLURRY_FLOW_LINE_B_mean,False,0.4977322451300677,-0.012307361134407427
0,p2_primary_SLURRY_FLOW_LINE_B_std,False,0.6663476961522381,0.11613748133605892
0,p2_primary_SLURRY_FLOW_LINE_C_auc,True,0.4043164188105391,0.5394120157551003
0,p2_primary_SLURRY_FLOW_LINE_C_mean,True,2.3899281277570954,0.4371917551487235
0,p2_primary_SLURRY_FLOW_LINE_C_std,True,1.986303927807389,0.1414311539244307
0,p2_primary_STAGE_ROTATION_mean,True,3.6697902934156947,0.3025658363437478
0,p2_primary_USAGE_OF_BACKING_FILM_decreasing,False,0.7237545158077714,-0.22325455389763832
0,p2_primary_USAGE_OF_BACKING_FILM_mean,True,990951.9412251784,0.1834807289917404
0,p2_primary_USAGE_OF_BACKING_FILM_std,True,21.909160287934743,0.27813947844523274
0,p2_primary_USAGE_OF_DRESSER_TABLE_decreasing,False,0.39319291294769015,-0.3319543276463579
0,p2_primary_USAGE_OF_DRESSER_TABLE_mean,True,1010.5337211125882,0.2758914084000025
0,p2_primary_USAGE_OF_DRESSER_TABLE_std,True,0.48093217116089365,0.2825581536369324
0,p2_primary_USAGE_OF_DRESSER_decreasing,False,1.2701125674397424,-0.10621408116522475
0,p2_primary_USAGE_OF_DRESSER_mean,True,16.033041463752,0.44849756630330706
0,p2_primary_USAGE_OF_DRESSER_std,True,1.2122942085276032,0.22833365987095705
0,p2_primary_USAGE_OF_MEMBRANE_decreasing,True,3.9765304039741856,0.2593934526205918
0,p2_primary_USAGE_OF_MEMBRANE_mean,True,993241.7771298143,-0.06444766629014043
0,p2_primary_USAGE_OF_MEMBRANE_std,True,54.10330227972723,0.18041608527897132
0,p2_primary_USAGE_OF_POLISHING_TABLE_decreasing,False,1.3897633224993173,-0.2308098119771668
0,p2_primary_USAGE_OF_POLISHING_TABLE_mean,True,1.2761859952602383,0.4215043135504517
0,p2_primary_USAGE_OF_POLISHING_TABLE_std,True,1.4346483523503144,0.39944775624858
0,p2_primary_USAGE_OF_PRESSURIZED_SHEET_decreasing,True,4.484778797420915,0.07357466976756093
0,p2_primary_USAGE_OF_PRESSURIZED_SHEET_mean,True,1985491.8223485935,0.12902565703759952
0,p2_primary_USAGE_OF_PRESSURIZED_SHEET_std,True,68.89861715819232,-0.15543767985014637
0,p2_primary_WAFER_ROTATION_mean,True,1.239013767390935,0.20310290072346487
0,p2_primary_duration,False,0.6644754132375941,0.07713499488205733
0,p2_secondary_CENTER_AIR_BAG_PRESSURE_auc,False,0.1571498577271645,-0.1344181163063553
0,p2_secondary_CENTER_AIR_BAG_PRESSURE_mean,False,0.02243713110309747,0.12047638369120621
0,p2_secondary_CENTER_AIR_BAG_PRESSURE_std,True,1.822255296135745,-0.11720763893049127
0,p2_secondary_DRESSING_WATER_STATUS_auc,False,0.8251386967073635,0.06825615121422503
0,p2_secondary_DRESSING_WATER_STATUS_mean,True,0.8440681504487929,0.2008628011124191
0,p2_secondary_DRESSING_WATER_STATUS_std,False,0.7245393418594033,-0.013734968457728439
0,p2_secondary_EDGE_AIR_BAG_PRESSURE_auc,False,1.0567478584759238,0.1401495151887421
0,p2_secondary_EDGE_AIR_BAG_PRESSURE_mean,False,1.1215555538362891,-0.05798772464517655
0,p2_secondary_EDGE_AIR_BAG_PRESSURE_std,True,0.34930424830722256,0.1506352699533106
0,p2_secondary_HEAD_ROTATION_mean,True,0.27665381897932245,0.16510352390907299
0,p2_secondary_MAIN_OUTER_AIR_BAG_PRESSURE_auc,True,0.9995562106342868,0.20286950249496527
0,p2_secondary_MAIN_OUTER_AIR_BAG_PRESSURE_mean,True,1.027056191603805,0.18169868997359553
0,p2_secondary_MAIN_OUTER_AIR_BAG_PRESSURE_std,True,0.6635777126097384,0.24211241267829256
0,p2_secondary_PRESSURIZED_CHAMBER_PRESSURE_auc,True,1.1463156814153124,0.39206479699080926
0,p2_secondary_PRESSURIZED_CHAMBER_PRESSURE_mean,True,1.777801251658592,0.18479807392445305
0,p2_secondary_PRESSURIZED_CHAMBER_PRESSURE_std,True,2.757282988304779,0.19650776658238692
0,p2_secondary_RETAINER_RING_PRESSURE_auc,False,0.22747996576691776,0.031094290736047435
0,p2_secondary_RETAINER_RING_PRESSURE_mean,False,1.0385117103161288,0.14693689518955566
0,p2_secondary_RETAINER_RING_PRESSURE_std,True,0.11270333599000572,0.2798390863488588
0,p2_secondary_RIPPLE_AIR_BAG_PRESSURE_auc,False,1.338702327958206,-0.21602757699601435
0,p2_secondary_RIPPLE_AIR_BAG_PRESSURE_mean,True,1.3732503831732452,0.29704943657748495
0,p2_secondary_RIPPLE_AIR_BAG_PRESSURE_std,True,1.0942441657235067,0.2740300605369116
0,p2_secondary_SLURRY_FLOW_LINE_A_auc,False,1.4229885272222496,-0.17150538922786812
0,p2_secondary_SLURRY_FLOW_LINE_A_mean,True,1.5938890820028402,-0.038993547174118556
0,p2_secondary_SLURRY_FLOW_LINE_A_std,False,0.289921741387638,-0.050058329528744505
0,p2_secondary_SLURRY_FLOW_LINE_B_auc,True,1.579680882413146,0.08562105467717987
0,p2_secondary_SLURRY_FLOW_LINE_B_mean,True,1.5563733959121666,-0.2528995319071467
0,p2_secondary_SLURRY_FLOW_LINE_B_std,False,0.6434251948595203,-0.2417322588247434
