Arm,RF_or_GA_MSE,Corrected_MSE
Previous_1977,9.477434967180155,8.685100884166745
Legacy_1981,8001.858773188358,7995.465048251264
Phase_1981,8002.166124883282,7995.91411609277
GA_selected_1981,2513.9031544565282,2513.436536583499
Legacy_clean_1977,9.477434967180153,8.685100884166744
Phase_clean_1977,9.666472007963925,9.02545353755138
GA_clean_1977,9.504720756304206,9.083739327223622
