Arm,Validation_MSE,Test_MSE,LR_Test_MSE
clean_stable,6.82769595144824,7.074313480095857,351.1078911688693
clean_ordinary,6.827695951450278,7.074313480095678,351.1078912117482
full_ordinary,3364.371172401176,1174.4619718580568,32656.171922172405
completed_lag,2885.539852498329,1174.8940600781925,13216.62736831761
past_only,1885.3994788457142,1121.6353458878498,10739.03292481599
standard_distance,1713.9804572743342,664.0751120021717,48277.56819310002
tuned,3376.1374208208667,1178.9635195155108,32656.171922172405
