paper,arm,model,cohort,subgroup,n,mse,rmse,mae,r2,relative_error,mape_percent,s_score_literal_mean,s_score_minus_one_mean,s_score_overflow
p1,selected,P1_CART_Stack,test,all,424,41.12914583163199,6.413200903732237,4.074215950740596,0.9529336258855614,0.05162462213903575,5.162462213903575,7.320454928944545,6.320454928944545,False
p1,selected,P1_CART_Stack,test,STAGE=A,238,56.88482455318585,7.542202897906278,4.407754836508609,0.9591848229862932,0.05573728778989181,5.573728778989181,11.919081250586695,10.919081250586697,False
p1,selected,P1_CART_Stack,test,STAGE=B,186,20.968653704052294,4.579154256415948,3.6474296345428137,0.7118460870622376,0.046362178994391996,4.6362178994392,1.4361911410368537,0.43619114103685375,False
p1,selected,P1_CART_Stack,test,condition=Cond1,165,71.78255656409856,8.472458708314758,4.8811860872152,-0.7412948178912877,0.07074734888908259,7.074734888908258,16.576259772031275,15.576259772031275,False
p1,selected,P1_CART_Stack,test,condition=Cond2,186,20.968653704052294,4.579154256415948,3.6474296345428137,0.7118460870622376,0.046362178994391996,4.6362178994392,1.4361911410368537,0.43619114103685375,False
p1,selected,P1_CART_Stack,test,condition=Cond3,73,23.211868638109188,4.817869719918669,3.337670502719743,-0.6073015807669742,0.021810437360214017,2.181043736021402,1.3925818528009961,0.39258185280099595,False
p1,selected,P1_CART_Stack,test,route=123,73,23.211868638109188,4.817869719918669,3.337670502719743,-0.6073015807669742,0.021810437360214017,2.181043736021402,1.3925818528009961,0.39258185280099595,False
p1,selected,P1_CART_Stack,test,route=456,351,44.85553111689456,6.697427201313543,4.227400616568295,0.42503663208627607,0.057825293047451674,5.782529304745167,8.553317420564145,7.553317420564145,False
p1,selected,P1_CART_Stack,validation,all,424,74.7758519533811,8.647303160719018,4.70006698408694,0.909111512306935,0.06100708918910276,6.100708918910276,15.884697634473431,14.884697634473431,False
p1,selected,P1_CART_Stack,validation,STAGE=A,252,108.34801500294427,10.409035258031565,5.247453755342482,0.913128307782032,0.06730874911767645,6.730874911767645,25.707966720905432,24.707966720905432,False
p1,selected,P1_CART_Stack,validation,STAGE=B,172,25.588729345881617,5.058530354350126,3.898081714573006,0.7162032705012555,0.05177442464258781,5.177442464258781,1.4924661822591063,0.4924661822591065,False
p1,selected,P1_CART_Stack,validation,condition=Cond1,185,115.3458001530149,10.73991620791405,5.637938266753553,-1.5064201976484979,0.08155073344688173,8.155073344688173,33.40807513500344,32.40807513500344,False
p1,selected,P1_CART_Stack,validation,condition=Cond2,172,25.588729345881617,5.058530354350126,3.898081714573006,0.7162032705012555,0.05177442464258781,5.177442464258781,1.4924661822591063,0.4924661822591065,False
p1,selected,P1_CART_Stack,validation,condition=Cond3,67,89.02577242439087,9.435346968945597,4.169250253685048,-4.385221319221317,0.027983867014646998,2.7983867014647,4.446473338694514,3.4464733386945134,False
p1,selected,P1_CART_Stack,validation,route=123,67,89.02577242439087,9.435346968945597,4.169250253685048,-4.385221319221317,0.027983867014646998,2.7983867014647,4.446473338694514,3.4464733386945134,False
p1,selected,P1_CART_Stack,validation,route=456,357,72.10149713109075,8.491260043779766,4.799688051137155,0.10468061573107823,0.06720472472324432,6.720472472324432,18.03136718017984,17.03136718017984,False
