candidate,model,mean,std,upper
bag_T100_L1,P2_Bagging,6.293590804504723,1.1620329371280604,9.779689615888906
bag_T100_L5,P2_Bagging,6.342967234837626,1.1369615490842142,9.753851882090268
bag_T300_L1,P2_Bagging,6.261777951183641,1.127241678244411,9.643502985916873
bag_T300_L5,P2_Bagging,6.318296501158685,1.1284377255874036,9.703609677920896
svr_C100_g0.01,P2_SVR,9.088166204130983,1.1708736377903584,12.600787117502058
svr_C100_gscale,P2_SVR,9.288970541973582,1.1589868394750409,12.765931060398703
svr_C10_g0.01,P2_SVR,7.853052952828184,1.0824939692004125,11.100534860429422
svr_C10_gscale,P2_SVR,8.158220949756927,1.0946665075962947,11.442220472545811
svr_C1_g0.01,P2_SVR,10.063887592264965,1.4549411247483892,14.428710966510133
svr_C1_gscale,P2_SVR,10.681783143080366,1.58508126271092,15.437026931213126
