fold,candidate,model,mse
0,svr_C1_gscale,P2_SVR,15.459467043935494
0,svr_C1_g0.01,P2_SVR,14.98088300193324
0,svr_C10_gscale,P2_SVR,12.371660210354566
0,svr_C10_g0.01,P2_SVR,12.19524373730096
0,svr_C100_gscale,P2_SVR,14.741574908490215
0,svr_C100_g0.01,P2_SVR,14.640565050858273
0,bag_T100_L1,P2_Bagging,8.818670071206588
0,bag_T100_L5,P2_Bagging,9.020921969666228
0,bag_T300_L1,P2_Bagging,8.82692384287225
0,bag_T300_L5,P2_Bagging,8.890017631973516
1,svr_C1_gscale,P2_SVR,15.971868309982069
1,svr_C1_g0.01,P2_SVR,15.369574577336836
1,svr_C10_gscale,P2_SVR,11.687319100103034
1,svr_C10_g0.01,P2_SVR,11.2175180696615
1,svr_C100_gscale,P2_SVR,13.411690482400827
1,svr_C100_g0.01,P2_SVR,12.665311532134021
1,bag_T100_L1,P2_Bagging,9.189738334532096
1,bag_T100_L5,P2_Bagging,9.061308267662293
1,bag_T300_L1,P2_Bagging,8.934793336179547
1,bag_T300_L5,P2_Bagging,9.003973134991732
2,svr_C1_gscale,P2_SVR,15.13449228657516
2,svr_C1_g0.01,P2_SVR,14.45688577817524
2,svr_C10_gscale,P2_SVR,11.446945346961284
2,svr_C10_g0.01,P2_SVR,11.223666412226454
2,svr_C100_gscale,P2_SVR,13.409937622657722
2,svr_C100_g0.01,P2_SVR,13.472509339103674
2,bag_T100_L1,P2_Bagging,9.409389829341382
2,bag_T100_L5,P2_Bagging,9.452166612187971
2,bag_T300_L1,P2_Bagging,9.419151866410143
2,bag_T300_L5,P2_Bagging,9.419178973202522
3,svr_C1_gscale,P2_SVR,14.963990897871476
3,svr_C1_g0.01,P2_SVR,14.717277938243736
3,svr_C10_gscale,P2_SVR,10.172047159235323
3,svr_C10_g0.01,P2_SVR,10.092408804247762
3,svr_C100_gscale,P2_SVR,11.805789312453575
3,svr_C100_g0.01,P2_SVR,11.531079574671477
3,bag_T100_L1,P2_Bagging,8.820645233520057
3,bag_T100_L5,P2_Bagging,9.012083842715782
3,bag_T300_L1,P2_Bagging,8.846793695087927
3,bag_T300_L5,P2_Bagging,8.905269712239587
4,svr_C1_gscale,P2_SVR,20.41718224961138
4,svr_C1_g0.01,P2_SVR,19.13845851576336
4,svr_C10_gscale,P2_SVR,16.474164863887683
4,svr_C10_g0.01,P2_SVR,15.521897436593772
4,svr_C100_gscale,P2_SVR,19.104671725551455
4,svr_C100_g0.01,P2_SVR,18.247357094818817
4,bag_T100_L1,P2_Bagging,10.50521655477721
4,bag_T100_L5,P2_Bagging,10.593557322412247
4,bag_T300_L1,P2_Bagging,10.338731575127602
4,bag_T300_L5,P2_Bagging,10.444962096245506
5,svr_C1_gscale,P2_SVR,15.91322973767719
5,svr_C1_g0.01,P2_SVR,15.291914432512804
5,svr_C10_gscale,P2_SVR,12.794140597153229
5,svr_C10_g0.01,P2_SVR,12.301826787113843
5,svr_C100_gscale,P2_SVR,14.400421070046711
5,svr_C100_g0.01,P2_SVR,14.09540564641792
5,bag_T100_L1,P2_Bagging,9.077773295551598
5,bag_T100_L5,P2_Bagging,9.110226705806785
5,bag_T300_L1,P2_Bagging,8.890375800925755
5,bag_T300_L5,P2_Bagging,8.933160050280234
6,svr_C1_gscale,P2_SVR,15.014019445948703
6,svr_C1_g0.01,P2_SVR,13.920410964458958
6,svr_C10_gscale,P2_SVR,10.076309478544646
6,svr_C10_g0.01,P2_SVR,9.512597857676388
6,svr_C100_gscale,P2_SVR,10.476064075753301
6,svr_C100_g0.01,P2_SVR,10.124564831592052
6,bag_T100_L1,P2_Bagging,7.1826070492600484
6,bag_T100_L5,P2_Bagging,7.307781689314857
6,bag_T300_L1,P2_Bagging,6.939146799023048
6,bag_T300_L5,P2_Bagging,7.12187210104583
7,svr_C1_gscale,P2_SVR,14.916785862622403
7,svr_C1_g0.01,P2_SVR,14.81293716760029
7,svr_C10_gscale,P2_SVR,12.667457364390817
7,svr_C10_g0.01,P2_SVR,12.589830688863461
7,svr_C100_gscale,P2_SVR,14.411950161730383
7,svr_C100_g0.01,P2_SVR,14.341264461111043
7,bag_T100_L1,P2_Bagging,8.889050891453133
7,bag_T100_L5,P2_Bagging,9.321914629680148
7,bag_T300_L1,P2_Bagging,9.170950612195277
7,bag_T300_L5,P2_Bagging,9.468030191273913
8,svr_C1_gscale,P2_SVR,15.758636158987775
8,svr_C1_g0.01,P2_SVR,15.433715642592414
8,svr_C10_gscale,P2_SVR,11.774629686791931
8,svr_C10_g0.01,P2_SVR,11.609820289566398
8,svr_C100_gscale,P2_SVR,13.56540586035298
8,svr_C100_g0.01,P2_SVR,13.53235910328945
8,bag_T100_L1,P2_Bagging,9.033890457908432
8,bag_T100_L5,P2_Bagging,8.806329516686791
8,bag_T300_L1,P2_Bagging,8.822933955356373
8,bag_T300_L5,P2_Bagging,8.732187038059028
9,svr_C1_gscale,P2_SVR,14.0304499187368
