stage,view,k,model,rmse_mean,rmse_sd,mse_mean,fitting_seconds_mean,ranking_seconds_mean
A,rows_dc,5,P1_ERT,11.344942389552248,1.590921564268487,131.11219767473125,0.1086609000019962,1.870649070001673
A,rows_dc,5,P1_GBT,12.77877925854097,1.4999912023827169,165.4346742653812,0.25155614499235524,1.870649070001673
A,rows_dc,5,P1_RF,11.654749746207903,1.1712670574232154,137.13646484054777,0.10661632500414271,1.870649070001673
A,rows_dc,20,P1_ERT,8.955394548399333,0.33400833677085506,80.3050750080813,0.11218195999681484,1.870649070001673
A,rows_dc,20,P1_GBT,9.774197241168707,0.5736356468339762,95.84753667182267,0.9101117149955826,1.870649070001673
A,rows_dc,20,P1_RF,9.006626592686048,0.39374657335658186,81.26660712590804,0.3146730150125222,1.870649070001673
A,rows_dc,35,P1_ERT,9.674667879753539,0.2346684151527007,93.6515143853516,0.11639708499715198,1.870649070001673
A,rows_dc,35,P1_GBT,9.513148574002516,0.4702333165533316,90.710059194443,1.6382419350004056,1.870649070001673
A,rows_dc,35,P1_RF,8.874337272624167,0.29192432715013017,78.8348208504295,0.5017706949991407,1.870649070001673
A,rows_dc,50,P1_ERT,10.091803090783554,0.17482001631628027,101.8735235593481,0.12843014499521815,1.870649070001673
A,rows_dc,50,P1_GBT,9.235023675619797,0.6878390683142851,85.73512874396268,2.3843963999941478,1.870649070001673
A,rows_dc,50,P1_RF,8.813972598057434,0.2210908028163199,77.73255004524279,0.7055502099974547,1.870649070001673
A,rows_dc,65,P1_ERT,10.34064024875614,0.22095812877614115,106.97522212413408,0.12345706500927918,1.870649070001673
A,rows_dc,65,P1_GBT,8.836635433140252,0.467225818259078,78.29351074521529,3.037328594995779,1.870649070001673
A,rows_dc,65,P1_RF,8.756829962117548,0.28623864137599137,76.75990691726557,0.9162908399972366,1.870649070001673
A,rows_dc,85,P1_ERT,10.636465046960955,0.2866643711094403,113.21245633380252,0.12363797999860253,1.870649070001673
