fold,model,mse
0,P2_Persistent,17.16722712126562
0,P2_KNN,11.5873407098536
0,P2_LR,8.966102896746103
0,P2_SVR,9.854567764075522
0,P2_Bagging,9.997863581197844
1,P2_Persistent,17.81120231849785
1,P2_KNN,14.177433949561404
1,P2_LR,6.998647991562956
1,P2_SVR,8.359466953194966
1,P2_Bagging,6.562805627258106
2,P2_Persistent,12.912946690499997
2,P2_KNN,9.855317741459066
2,P2_LR,8.53838389225667
2,P2_SVR,5.703826699630225
2,P2_Bagging,5.514243246184765
3,P2_Persistent,13.580167327593747
3,P2_KNN,10.775202911142191
3,P2_LR,6.752895981513527
3,P2_SVR,7.1313952952959765
3,P2_Bagging,6.745057632905658
4,P2_Persistent,17.563558423218748
4,P2_KNN,11.344341644849525
4,P2_LR,1146.7318717216835
4,P2_SVR,7.720553420553834
4,P2_Bagging,7.01961180888011
5,P2_Persistent,15.263378772760593
5,P2_KNN,8.903380652765156
5,P2_LR,6.6811132513042875
5,P2_SVR,7.627771945026401
5,P2_Bagging,5.7916067616280715
6,P2_Persistent,14.49189949373438
6,P2_KNN,9.376001209057495
6,P2_LR,28.40630920575702
6,P2_SVR,6.421932460822134
6,P2_Bagging,5.467181543170172
7,P2_Persistent,13.759217678249996
7,P2_KNN,9.257561315808754
7,P2_LR,6.315607013241136
7,P2_SVR,8.641804778609224
7,P2_Bagging,4.94839878760292
8,P2_Persistent,15.679612214993636
8,P2_KNN,12.983467102740002
8,P2_LR,11.569659199760496
8,P2_SVR,9.18780909589808
8,P2_Bagging,8.427873804455153
9,P2_Persistent,14.38861777210683
9,P2_KNN,10.761003532006884
9,P2_LR,11.594070417179845
9,P2_SVR,8.629361045784986
9,P2_Bagging,6.746946312773315
10,P2_Persistent,13.12022186901562
10,P2_KNN,9.577255022143591
10,P2_LR,6.64093125253711
10,P2_SVR,9.26253916659282
10,P2_Bagging,6.608246657504535
11,P2_Persistent,17.691862157835438
11,P2_KNN,8.881260445850621
11,P2_LR,6.371170884631595
11,P2_SVR,7.273970937637645
11,P2_Bagging,6.060821784612507
12,P2_Persistent,16.770568000640623
12,P2_KNN,10.308496701979681
12,P2_LR,7.3508780666210525
12,P2_SVR,8.240428008809142
12,P2_Bagging,6.073069322514394
13,P2_Persistent,11.791046857499998
13,P2_KNN,9.92351935050047
13,P2_LR,10.394851938035746
13,P2_SVR,7.77752099262386
13,P2_Bagging,6.631848016145963
14,P2_Persistent,15.611589945812781
14,P2_KNN,10.234344480662807
14,P2_LR,571.7908002939176
14,P2_SVR,7.50051512554017
14,P2_Bagging,6.311505727400468
15,P2_Persistent,13.44697906120312
15,P2_KNN,11.812301860692656
15,P2_LR,6.243225372561171
15,P2_SVR,9.472242883449253
15,P2_Bagging,5.5762233648535915
16,P2_Persistent,14.591663425125006
16,P2_KNN,8.681758995466401
16,P2_LR,5.231448849981361
16,P2_SVR,7.669853400501488
16,P2_Bagging,5.050721061866642
17,P2_Persistent,16.31670161087576
17,P2_KNN,12.682783325434222
17,P2_LR,6.084020314694929
17,P2_SVR,8.279955219423911
17,P2_Bagging,6.24293455478237
18,P2_Persistent,10.791160206524816
18,P2_KNN,8.736039011380777
18,P2_LR,333.86647851212456
18,P2_SVR,7.606011588350114
18,P2_Bagging,5.807381953372181
19,P2_Persistent,14.162200035749999
19,P2_KNN,11.347082072011407
19,P2_LR,9.654774320052367
19,P2_SVR,8.994186389663023
19,P2_Bagging,6.036194195292157
