fold,candidate,model,mse
0,svr_C1_gscale,P2_SVR,11.998281333856188
0,svr_C1_g0.01,P2_SVR,11.230424389572125
0,svr_C10_gscale,P2_SVR,9.921859544256613
0,svr_C10_g0.01,P2_SVR,9.52464358815297
0,svr_C100_gscale,P2_SVR,11.310026683175105
0,svr_C100_g0.01,P2_SVR,11.058983502385995
0,bag_T100_L1,P2_Bagging,9.949137354558678
0,bag_T100_L5,P2_Bagging,9.892486881607581
0,bag_T300_L1,P2_Bagging,9.740678487314124
0,bag_T300_L5,P2_Bagging,9.84447481905236
1,svr_C1_gscale,P2_SVR,11.381152653851299
1,svr_C1_g0.01,P2_SVR,10.439442243855709
1,svr_C10_gscale,P2_SVR,8.316584995022007
1,svr_C10_g0.01,P2_SVR,7.7393134946249615
1,svr_C100_gscale,P2_SVR,10.800020743642422
1,svr_C100_g0.01,P2_SVR,10.28308168805479
1,bag_T100_L1,P2_Bagging,6.722942866919942
1,bag_T100_L5,P2_Bagging,6.667158530047843
1,bag_T300_L1,P2_Bagging,6.679274404108829
1,bag_T300_L5,P2_Bagging,6.689032070633135
2,svr_C1_gscale,P2_SVR,8.091743182634543
2,svr_C1_g0.01,P2_SVR,7.550263050150422
2,svr_C10_gscale,P2_SVR,5.608599765224495
2,svr_C10_g0.01,P2_SVR,5.30964571069295
2,svr_C100_gscale,P2_SVR,7.104309444885897
2,svr_C100_g0.01,P2_SVR,6.781495527276116
2,bag_T100_L1,P2_Bagging,5.407511411710501
2,bag_T100_L5,P2_Bagging,5.5526822411023815
2,bag_T300_L1,P2_Bagging,5.364588168215837
2,bag_T300_L5,P2_Bagging,5.494305343944182
3,svr_C1_gscale,P2_SVR,8.441225804907267
3,svr_C1_g0.01,P2_SVR,7.912611379897942
3,svr_C10_gscale,P2_SVR,6.925169413239175
3,svr_C10_g0.01,P2_SVR,6.565906514946252
3,svr_C100_gscale,P2_SVR,8.305951530503567
3,svr_C100_g0.01,P2_SVR,8.180813779296951
3,bag_T100_L1,P2_Bagging,6.403492594230812
3,bag_T100_L5,P2_Bagging,6.474033118708938
3,bag_T300_L1,P2_Bagging,6.4358447214220575
3,bag_T300_L5,P2_Bagging,6.550169008958667
4,svr_C1_gscale,P2_SVR,9.623536634729065
4,svr_C1_g0.01,P2_SVR,8.960033228763741
4,svr_C10_gscale,P2_SVR,8.020409526515373
4,svr_C10_g0.01,P2_SVR,7.89237848760512
4,svr_C100_gscale,P2_SVR,9.279177200864728
4,svr_C100_g0.01,P2_SVR,9.328015481983943
4,bag_T100_L1,P2_Bagging,7.026466340460587
4,bag_T100_L5,P2_Bagging,7.099145065864074
4,bag_T300_L1,P2_Bagging,7.021269570313876
4,bag_T300_L5,P2_Bagging,7.016443111480565
5,svr_C1_gscale,P2_SVR,9.225319272694241
5,svr_C1_g0.01,P2_SVR,8.471561670772088
5,svr_C10_gscale,P2_SVR,7.654734258233409
5,svr_C10_g0.01,P2_SVR,7.341744130581313
5,svr_C100_gscale,P2_SVR,7.800995773268193
5,svr_C100_g0.01,P2_SVR,7.758378225792706
5,bag_T100_L1,P2_Bagging,5.521116105365748
5,bag_T100_L5,P2_Bagging,5.572072818630808
5,bag_T300_L1,P2_Bagging,5.524897839312418
5,bag_T300_L5,P2_Bagging,5.551705636427419
6,svr_C1_gscale,P2_SVR,7.663440823676187
6,svr_C1_g0.01,P2_SVR,7.296488186520375
6,svr_C10_gscale,P2_SVR,6.421761101937593
6,svr_C10_g0.01,P2_SVR,6.248294201210635
6,svr_C100_gscale,P2_SVR,8.981210237013892
6,svr_C100_g0.01,P2_SVR,8.808808776740722
6,bag_T100_L1,P2_Bagging,5.2343612413197125
6,bag_T100_L5,P2_Bagging,5.299381561253378
6,bag_T300_L1,P2_Bagging,5.134559219138734
6,bag_T300_L5,P2_Bagging,5.237982105969328
7,svr_C1_gscale,P2_SVR,11.225622529303227
7,svr_C1_g0.01,P2_SVR,10.634119570952985
7,svr_C10_gscale,P2_SVR,8.255253836649768
7,svr_C10_g0.01,P2_SVR,7.979824180770239
7,svr_C100_gscale,P2_SVR,8.609711673599055
7,svr_C100_g0.01,P2_SVR,8.296307417129535
7,bag_T100_L1,P2_Bagging,5.09324942769098
7,bag_T100_L5,P2_Bagging,5.058431149453409
7,bag_T300_L1,P2_Bagging,5.0424673619857
7,bag_T300_L5,P2_Bagging,5.040686776524805
8,svr_C1_gscale,P2_SVR,11.313108490075102
8,svr_C1_g0.01,P2_SVR,11.043578522639365
8,svr_C10_gscale,P2_SVR,8.980860532200182
8,svr_C10_g0.01,P2_SVR,8.884183728800071
8,svr_C100_gscale,P2_SVR,10.259575935238814
8,svr_C100_g0.01,P2_SVR,10.076441322234729
8,bag_T100_L1,P2_Bagging,8.17040301991132
8,bag_T100_L5,P2_Bagging,8.294068109115724
8,bag_T300_L1,P2_Bagging,8.17166252580839
8,bag_T300_L5,P2_Bagging,8.273076340374478
9,svr_C1_gscale,P2_SVR,12.25254166342441
9,svr_C1_g0.01,P2_SVR,11.463215740410948
9,svr_C10_gscale,P2_SVR,9.304604767394634
9,svr_C10_g0.01,P2_SVR,8.922790076299261
9,svr_C100_gscale,P2_SVR,10.284688221935982
9,svr_C100_g0.01,P2_SVR,9.98967036076689
9,bag_T100_L1,P2_Bagging,6.834310921536928
9,bag_T100_L5,P2_Bagging,6.7743614038266085
9,bag_T300_L1,P2_Bagging,6.730626536835134
9,bag_T300_L5,P2_Bagging,6.763311181207625
10,svr_C1_gscale,P2_SVR,11.11746359358168
10,svr_C1_g0.01,P2_SVR,10.834384267304657
10,svr_C10_gscale,P2_SVR,9.455470254555646
10,svr_C10_g0.01,P2_SVR,9.24538247560505
10,svr_C100_gscale,P2_SVR,10.65102791121863
10,svr_C100_g0.01,P2_SVR,10.568790139855574
10,bag_T100_L1,P2_Bagging,6.4337856321010864
10,bag_T100_L5,P2_Bagging,6.549408461828958
10,bag_T300_L1,P2_Bagging,6.529344962201608
10,bag_T300_L5,P2_Bagging,6.579746453445421
11,svr_C1_gscale,P2_SVR,10.854231544654649
11,svr_C1_g0.01,P2_SVR,10.023412831665683
11,svr_C10_gscale,P2_SVR,7.396635002516588
11,svr_C10_g0.01,P2_SVR,7.111629852590797
11,svr_C100_gscale,P2_SVR,8.098285895799474
11,svr_C100_g0.01,P2_SVR,7.879048009409777
11,bag_T100_L1,P2_Bagging,6.080548950056541
11,bag_T100_L5,P2_Bagging,6.126460438470032
11,bag_T300_L1,P2_Bagging,6.0153245968149145
11,bag_T300_L5,P2_Bagging,5.981903494447323
12,svr_C1_gscale,P2_SVR,10.115253671475092
12,svr_C1_g0.01,P2_SVR,9.795780719805526
12,svr_C10_gscale,P2_SVR,8.535885153218128
12,svr_C10_g0.01,P2_SVR,8.407656563613203
12,svr_C100_gscale,P2_SVR,9.267962495243221
12,svr_C100_g0.01,P2_SVR,9.271814322997312
12,bag_T100_L1,P2_Bagging,5.89306198907156
12,bag_T100_L5,P2_Bagging,5.953926736406491
12,bag_T300_L1,P2_Bagging,5.8494917488650024
12,bag_T300_L5,P2_Bagging,5.891649461360858
13,svr_C1_gscale,P2_SVR,10.030567333651087
13,svr_C1_g0.01,P2_SVR,9.735926312735213
13,svr_C10_gscale,P2_SVR,7.95573819943688
