candidate,model,mean,std,upper
bag_T100_L1,P2_Bagging,160823.39147984408,119923.85025417077,520594.94224235637
bag_T100_L5,P2_Bagging,133057.16761496733,127661.73776670938,516042.38091509545
bag_T300_L1,P2_Bagging,160227.76231640344,121666.52629938567,525227.3412145604
bag_T300_L5,P2_Bagging,133585.72326440687,129541.46698298701,522210.12421336793
svr_C100_g0.01,P2_SVR,133421.05237919383,166977.5459214176,634353.6901434467
svr_C100_gscale,P2_SVR,133395.83517772096,166957.43676570375,634268.1454748323
svr_C10_g0.01,P2_SVR,133449.46812367154,167004.0024294398,634461.4754119909
svr_C10_gscale,P2_SVR,133471.80075327924,167042.77469402485,634600.1248353538
svr_C1_g0.01,P2_SVR,133493.9134081534,167063.04060794192,634683.0352319791
svr_C1_gscale,P2_SVR,133508.49821669544,167083.44279046272,634758.8265880835
