fold,model,mse
0,P2_Persistent,11.963079044102004
0,P2_KNN,8.445826649653762
0,P2_LR,10.116712183924879
0,P2_SVR,10.136189086541927
0,P2_Bagging,9.512892014825589
1,P2_Persistent,12.98148364078767
1,P2_KNN,7.643510907013363
1,P2_LR,7.570484035348654
1,P2_SVR,8.426073077866498
1,P2_Bagging,6.705817507433745
2,P2_Persistent,11.339435055205481
2,P2_KNN,6.749500535839739
2,P2_LR,12.14374171455925
2,P2_SVR,7.2619106530553035
2,P2_Bagging,6.668657502865217
3,P2_Persistent,8.595936915410974
3,P2_KNN,11.247510846119203
3,P2_LR,10.54699539467542
3,P2_SVR,8.823426798635394
3,P2_Bagging,10.98803665993995
4,P2_Persistent,8.838253973665791
4,P2_KNN,8.087915192449332
4,P2_LR,7.2705854890482335
4,P2_SVR,7.870388289052361
4,P2_Bagging,7.236043210273674
5,P2_Persistent,11.14347520078767
5,P2_KNN,7.239123080087655
5,P2_LR,10.536356939257594
5,P2_SVR,7.686829566651741
5,P2_Bagging,6.269932314347866
6,P2_Persistent,10.552827058743182
6,P2_KNN,6.834649478224325
6,P2_LR,7.570238722273447
6,P2_SVR,6.462359484877699
6,P2_Bagging,5.472457172392009
7,P2_Persistent,10.285863489454194
7,P2_KNN,7.332991490225333
7,P2_LR,10.421475619397022
7,P2_SVR,8.445966899598657
7,P2_Bagging,7.8558953756864165
8,P2_Persistent,10.972829827004336
8,P2_KNN,6.598783971372953
8,P2_LR,6.179814441346713
8,P2_SVR,6.93282811780151
8,P2_Bagging,5.421632146311805
9,P2_Persistent,12.04660392441781
9,P2_KNN,9.279592031854108
9,P2_LR,10.386248931763188
9,P2_SVR,8.730719601325896
9,P2_Bagging,8.266688193477151
10,P2_Persistent,13.787796938424668
10,P2_KNN,8.357035665806517
10,P2_LR,8.568796443497423
10,P2_SVR,7.802361482051496
10,P2_Bagging,7.3135911228081465
11,P2_Persistent,9.345676329554795
11,P2_KNN,7.7210044468921275
11,P2_LR,9.560744400365106
11,P2_SVR,8.204073923871716
11,P2_Bagging,5.86522122256514
12,P2_Persistent,7.568745884040734
12,P2_KNN,6.110747744859241
12,P2_LR,7.516067314299344
12,P2_SVR,6.900300957689872
12,P2_Bagging,4.550516136772948
13,P2_Persistent,14.503357952876708
13,P2_KNN,7.511079567757189
13,P2_LR,8.02218359310695
13,P2_SVR,6.723379497422066
13,P2_Bagging,7.212440978725038
14,P2_Persistent,9.955162122519551
14,P2_KNN,8.332782575319841
14,P2_LR,9.019600574238979
14,P2_SVR,8.403357592689499
14,P2_Bagging,8.298752460519848
15,P2_Persistent,8.249110215719192
15,P2_KNN,7.963768461772632
15,P2_LR,6.715610930061848
15,P2_SVR,7.059050923534509
15,P2_Bagging,8.923625409848807
16,P2_Persistent,15.713399030239739
16,P2_KNN,10.279457807267516
16,P2_LR,11.419033244024243
16,P2_SVR,9.992622208614037
16,P2_Bagging,9.364213169853622
17,P2_Persistent,11.170725080705084
17,P2_KNN,7.688379513535285
17,P2_LR,9.407913180082327
17,P2_SVR,7.69417500743118
17,P2_Bagging,6.905208878965212
18,P2_Persistent,8.4156533724249
18,P2_KNN,9.543445702082884
18,P2_LR,7.038344089096679
18,P2_SVR,7.115371976235618
18,P2_Bagging,5.623501717509047
19,P2_Persistent,10.578416162671228
19,P2_KNN,7.729300568456514
19,P2_LR,36.24642983755497
19,P2_SVR,8.007739217645579
19,P2_Bagging,5.914182921279311
