fold,feature,selected,t_abs,oob_importance
0,lag_1,True,2.5245817089786033,1.0569363019880578
0,lag_2,True,2.2664574742692225,1.9791369176872213
0,lag_3,True,1.541262916239945,0.5065077191176486
0,lag_4,False,0.006668639219111887,0.05676647200794868
0,lag_5,True,2.7788164252675656,-0.16041805650380161
0,lag_6,True,1.0891035050277549,0.35506476739099596
0,lag_7,False,1.0361629368126337,-0.21373479991114172
0,lag_8,False,0.44300778060822016,0.07549566568972925
0,lag_9,True,0.5563666216871839,0.20933269182689937
0,lag_10,True,0.12766590909640238,0.18763729240471066
0,lag_11,True,0.19766105450710278,0.36747331549126666
0,neighbor_1,True,0.5514222130326475,0.6167000932427753
0,neighbor_2,False,0.2908807548876895,0.017108781583960935
0,neighbor_3,False,0.31817976814733895,-0.036130988044369684
0,neighbor_4,True,0.33108384484855646,0.32694889395532245
0,neighbor_5,True,2.659957258594713,0.26397156205907446
0,neighbor_6,True,0.5510196802653541,0.30843805765093496
0,neighbor_7,True,1.0782775870548449,0.22984451622293442
0,neighbor_8,True,1.5828182804860986,0.27406236324652794
0,neighbor_9,True,0.1306949442377297,0.29727188474775923
0,neighbor_10,True,1.5919024502126937,0.5442343412268127
0,p2_primary_CENTER_AIR_BAG_PRESSURE_auc,True,0.7560257254264935,0.318547595802297
0,p2_primary_CENTER_AIR_BAG_PRESSURE_mean,True,0.24589079682246676,0.15231811467745365
0,p2_primary_CENTER_AIR_BAG_PRESSURE_std,True,1.126608781792085,0.276350373117604
0,p2_primary_DRESSING_WATER_STATUS_auc,False,0.24640497957833474,0.12155931152611546
0,p2_primary_DRESSING_WATER_STATUS_mean,False,0.45167505236691435,-0.14500929310015945
0,p2_primary_DRESSING_WATER_STATUS_std,False,0.46538297314222526,-0.056199928152470324
0,p2_primary_EDGE_AIR_BAG_PRESSURE_auc,True,0.22253033200976466,0.350097214143895
0,p2_primary_EDGE_AIR_BAG_PRESSURE_mean,True,0.02043666267591326,0.29953747839698774
0,p2_primary_EDGE_AIR_BAG_PRESSURE_std,True,0.7498487476722108,0.24095023694036022
