stage,view,repeat,feature,importance,rank
A,rows_dc,1,c1_std_x17,0.5503778941295023,4
A,rows_dc,1,c1_std_x16,0.5413472297963308,5
A,rows_dc,1,c1_rows_dc_centroid_x21,0.5095325272123123,6
A,rows_dc,1,c1_std_x7,0.4952796980931377,7
A,rows_dc,1,c1_moment3_x9,0.4679266092578299,8
A,rows_dc,1,c1_moment3_x7,0.4433990894921323,9
A,rows_dc,1,c1_kurtosis_x9,0.39351108137575636,10
A,rows_dc,1,c1_skew_x21,0.3778965523129307,11
A,rows_dc,1,c1_moment3_x16,0.36898626726217426,12
A,rows_dc,1,c1_rows_dc_amplitude_x22,0.362499969816127,13
A,rows_dc,1,c1_moment3_x14,0.3480571730608246,14
A,rows_dc,1,c1_skew_x14,0.3467359830212121,15
A,rows_dc,1,c1_kurtosis_x16,0.3464222889896114,16
A,rows_dc,1,c1_rows_dc_amplitude_x21,0.34450317862272367,17
A,rows_dc,1,c1_kurtosis_x7,0.3420154890495806,18
A,rows_dc,1,c1_skew_x22,0.3345882831999167,19
A,rows_dc,1,c1_rows_dc_centroid_x23,0.3320555897140363,20
A,rows_dc,1,c1_std_x20,0.33030267056972384,21
A,rows_dc,1,c1_moment3_x17,0.3279866129952012,22
A,rows_dc,1,c1_rows_dc_centroid_x22,0.31111553516999135,23
A,rows_dc,1,c1_kurtosis_x17,0.3035466498380852,24
A,rows_dc,1,c1_moment3_x10,0.3015722942441128,25
A,rows_dc,1,c1_std_x14,0.29101206296710386,26
A,rows_dc,1,c1_moment3_x20,0.2878073692699284,27
A,rows_dc,1,c1_rows_dc_kurtosis_x22,0.28303902162815325,28
A,rows_dc,1,c1_moment3_x8,0.2781857166234948,29
A,rows_dc,1,c1_kurtosis_x10,0.2748036746952507,30
A,rows_dc,1,c1_moment3_x21,0.2705312481566719,31
A,rows_dc,1,c1_skew_x20,0.2673052539338203,32
A,rows_dc,1,c1_kurtosis_x13,0.26343276207156097,33
A,rows_dc,1,c1_skew_x16,0.2626200428757927,34
A,rows_dc,1,c1_std_x18,0.2562108586256371,35
A,rows_dc,1,c1_std_x21,0.2526367727653983,36
A,rows_dc,1,c1_kurtosis_x15,0.24365911518577563,37
A,rows_dc,1,c1_skew_x25,0.24217044712036476,38
A,rows_dc,1,c1_skew_x17,0.2354849119887929,39
A,rows_dc,1,c1_moment3_x22,0.23516726164666985,40
A,rows_dc,1,c1_skew_x9,0.23394955944449636,41
A,rows_dc,1,c1_kurtosis_x14,0.22759230393300725,42
