candidate,model,mean,std,upper
bag_T100_L1,P2_Bagging,9.29335644796879,0.9452936806905246,12.129237490040364
bag_T100_L5,P2_Bagging,9.35735023992001,0.9690393330853697,12.264468239176118
bag_T300_L1,P2_Bagging,9.21467343275776,0.9435572013521282,12.045345036814144
bag_T300_L5,P2_Bagging,9.28870108978346,0.9602002499835068,12.169301839733981
svr_C100_g0.01,P2_SVR,13.383895707960281,2.0084164188592273,19.409144964537965
svr_C100_gscale,P2_SVR,13.743081561532644,2.1318002150183153,20.13848220658759
svr_C10_g0.01,P2_SVR,11.740219308296108,1.9010658635839293,17.443416899047897
svr_C10_gscale,P2_SVR,12.144276132711335,2.0464749083156066,18.283700857658154
svr_C1_g0.01,P2_SVR,15.514941528091294,2.418525318774705,22.770517484415407
svr_C1_gscale,P2_SVR,16.238085042777136,2.588036451276535,24.00219439660674
