paper,table,pdf_page,split,stage,model,metric,direction,paper_value,implemented,stored_seed0,repeat20_mean,repeat20_sd,difference,relative_change_percent,repeat_mean_change_percent,s_score_minus_one,comparability,source_url
P1,8,11,test,B,P1_ERT,rmse,lower,4.792,True,4.6663779731496415,4.6843577655535995,0.043369308140361204,-0.12562202685035828,-2.6214947172445435,-2.2462903682470836,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,8,11,test,B,P1_ERT,relative_error,lower,0.048,True,0.04614225210850719,0.04616284593232652,0.0004634605437125965,-0.00185774789149281,-3.8703081072766876,-3.8274043076530817,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,8,11,test,B,P1_ERT,s_score,lower,0.444,True,1.4256392283369879,1.4271585272462468,0.004957345669696345,,,,0.4256392283369877,formula_table_ambiguity,https://doi.org/10.1115/1.4042051
P1,8,11,test,B,P1_CART_Stack,r2,higher,0.725,True,0.6547037791832664,0.6770692031745271,0.012845519700460212,-0.07029622081673359,,,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,8,11,test,B,P1_CART_Stack,rmse,lower,4.5,True,5.012667818633366,4.846700793974304,0.09636532638950683,0.512667818633366,11.392618191852577,7.704462088317876,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,8,11,test,B,P1_CART_Stack,relative_error,lower,0.044,True,0.04857099199217382,0.0472774464036182,0.0012209190002280077,0.004570991992173826,10.388618164031428,7.448741826405003,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,8,11,test,B,P1_CART_Stack,s_score,lower,0.404,True,1.4724997748832604,1.4510367990106734,0.013013629946341941,,,,0.4724997748832602,formula_table_ambiguity,https://doi.org/10.1115/1.4042051
P1,8,11,test,B,P1_ELM_Stack,r2,higher,0.727,True,0.721288074997234,0.7068855229479857,0.007659166939839657,-0.005711925002765961,,,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,8,11,test,B,P1_ELM_Stack,rmse,lower,4.485,True,4.503506443482079,4.6180252533373665,0.0604495187141917,0.01850644348207897,0.41262973204190256,2.966003418893326,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,8,11,test,B,P1_ELM_Stack,relative_error,lower,0.044,True,0.044115728379981026,0.044703680354474015,0.0005824911695253496,0.00011572837998102825,0.26301904541143895,1.5992735328954844,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,8,11,test,B,P1_ELM_Stack,s_score,lower,0.404,True,1.412844279568622,1.4205490086014199,0.008051460859092573,,,,0.4128442795686218,formula_table_ambiguity,https://doi.org/10.1115/1.4042051
P1,7,11,validation,A,P1_GBT,r2,higher,0.977,True,0.9170311399045579,0.9140153496530916,0.005881125176153451,-0.05996886009544211,,,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,7,11,validation,A,P1_GBT,rmse,lower,5.415,True,10.172528155742912,10.349863282871167,0.3583730142896898,4.757528155742912,87.85832235905653,91.13320928663282,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,7,11,validation,A,P1_GBT,relative_error,lower,0.043,True,0.06449707341890683,0.06500683474170321,0.0011927856031545348,0.02149707341890683,49.99319399745774,51.17868544582143,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,7,11,validation,A,P1_GBT,s_score,lower,0.5,True,14.286182235395485,14.247167851332545,1.2616990748477885,,,,13.286182235395485,formula_table_ambiguity,https://doi.org/10.1115/1.4042051
P1,7,11,validation,A,P1_RF,r2,higher,0.976,True,0.9037974968426888,0.9041036999481437,0.0035196312502448614,-0.07220250315731114,,,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,7,11,validation,A,P1_RF,rmse,lower,5.514,True,10.953792886839315,10.93460649831136,0.2001500475393953,5.439792886839315,98.65420541964663,98.30624770241857,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,7,11,validation,A,P1_RF,relative_error,lower,0.045,True,0.07173281177498908,0.0712724348054925,0.0008466662906115656,0.026732811774989082,59.40624838886463,58.383188456650004,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,7,11,validation,A,P1_RF,s_score,lower,0.511,True,8.970725855548316,7.27992350330905,1.2583708868594168,,,,7.970725855548317,formula_table_ambiguity,https://doi.org/10.1115/1.4042051
P1,7,11,validation,A,P1_ERT,r2,higher,0.973,True,0.9080864490773267,0.9106611621679599,0.0033057222791969504,-0.06491355092267326,,,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,7,11,validation,A,P1_ERT,rmse,lower,5.92,True,10.706835031369634,10.554085339086114,0.19565882555377334,4.786835031369634,80.85869985421678,78.27846856564382,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,7,11,validation,A,P1_ERT,relative_error,lower,0.046,True,0.07459533492395996,0.07412222756999863,0.001122033059337189,0.028595334923959964,62.16377157382602,61.135277326083994,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,7,11,validation,A,P1_ERT,s_score,lower,0.564,True,11.78863720214636,10.938295446465656,1.636877488342522,,,,10.78863720214636,formula_table_ambiguity,https://doi.org/10.1115/1.4042051
P1,7,11,validation,A,P1_CART_Stack,r2,higher,0.987,True,0.8840400988080528,0.8910088498246251,0.00586881856699492,-0.1029599011919472,,,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,7,11,validation,A,P1_CART_Stack,rmse,lower,3.987,True,12.026112361505595,11.65515975287039,0.3130021055513034,8.039112361505595,201.63311666680696,192.32906327741134,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,7,11,validation,A,P1_CART_Stack,relative_error,lower,0.035,True,0.07139581150712007,0.06970365076587724,0.001536714321590083,0.03639581150712007,103.9880328774859,99.15328790250639,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,7,11,validation,A,P1_CART_Stack,s_score,lower,0.335,True,56.058244613223856,54.15151800153224,4.743042798716396,,,,55.058244613223856,formula_table_ambiguity,https://doi.org/10.1115/1.4042051
P1,7,11,validation,A,P1_ELM_Stack,r2,higher,0.986,True,0.9156409033103462,0.9209412704789299,0.0064124457185134225,-0.07035909668965379,,,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,7,11,validation,A,P1_ELM_Stack,rmse,lower,4.208,True,10.25740017804948,9.922333832190182,0.39845981297678523,6.0494001780494795,143.7595099346359,135.7969066585119,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,7,11,validation,A,P1_ELM_Stack,relative_error,lower,0.037,True,0.07170085087026958,0.06965913626597166,0.0021943036723293084,0.03470085087026958,93.78608343316101,88.26793585397745,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,7,11,validation,A,P1_ELM_Stack,s_score,lower,0.37,True,10.390545092182705,11.113132386938346,2.6586756069175603,,,,9.390545092182705,formula_table_ambiguity,https://doi.org/10.1115/1.4042051
P1,8,11,validation,B,P1_GBT,r2,higher,0.721,True,0.6736955767594184,0.6735348103415022,0.0027642330602018488,-0.047304423240581595,,,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,8,11,validation,B,P1_GBT,rmse,lower,5.032,True,5.424155703309809,5.4254455034725835,0.02298279440988977,0.3921557033098093,7.7932373471742755,7.81886930589395,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,8,11,validation,B,P1_GBT,relative_error,lower,0.052,True,0.056010293177435506,0.055877958163033446,0.00021502524896454574,0.004010293177435509,7.712102264299059,7.457611851987411,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,8,11,validation,B,P1_GBT,s_score,lower,0.493,True,1.5529249776574463,1.551931526711711,0.0031285920526698003,,,,0.5529249776574461,formula_table_ambiguity,https://doi.org/10.1115/1.4042051
P1,8,11,validation,B,P1_RF,r2,higher,0.734,True,0.7166739525515238,0.7154390749933515,0.004410530555348086,-0.01732604744847621,,,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,8,11,validation,B,P1_RF,rmse,lower,5.059,True,5.0543337811929865,5.065191623235514,0.03930159834224932,-0.004666218807013678,-0.0922359914412696,0.12238828297121973,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,8,11,validation,B,P1_RF,relative_error,lower,0.051,True,0.0507131441800266,0.05058280298593152,0.00036984555233475686,-0.00028685581997339726,-0.5624623921047012,-0.8180333609185797,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,8,11,validation,B,P1_RF,s_score,lower,0.49,True,1.4961979165826564,1.4924236623675178,0.006401755593369317,,,,0.4961979165826566,formula_table_ambiguity,https://doi.org/10.1115/1.4042051
P1,8,11,validation,B,P1_ERT,r2,higher,0.763,True,0.7109089050739441,0.7170551613079421,0.004418083302416666,-0.0520910949260559,,,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,8,11,validation,B,P1_ERT,rmse,lower,4.947,True,5.1054969869806035,5.050786530603348,0.039382624176893054,0.15849698698060344,3.2039010911785626,2.0979690843611953,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,8,11,validation,B,P1_ERT,relative_error,lower,0.051,True,0.053393229656061546,0.05270822674620399,0.0005654901078077504,0.002393229656061549,4.692607168748131,3.349464208243136,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,8,11,validation,B,P1_ERT,s_score,lower,0.487,True,1.5107155654182107,1.5018108624387867,0.006298837425699833,,,,0.5107155654182108,formula_table_ambiguity,https://doi.org/10.1115/1.4042051
P1,8,11,validation,B,P1_CART_Stack,r2,higher,0.826,True,0.7293783887705836,0.7113475814489258,0.015437634532335695,-0.09662161122941637,,,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,8,11,validation,B,P1_CART_Stack,rmse,lower,4.082,True,4.939715138628591,5.099897626211411,0.1360732233740338,0.8577151386285911,21.01212980471805,24.936247579897387,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,8,11,validation,B,P1_CART_Stack,relative_error,lower,0.041,True,0.05104686180657658,0.05087086886815776,0.0013498129474370712,0.01004686180657658,24.504540991650202,24.075289922336008,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,8,11,validation,B,P1_CART_Stack,s_score,lower,0.37,True,1.4863113169777673,1.4987622000084062,0.018142642341381517,,,,0.4863113169777674,formula_table_ambiguity,https://doi.org/10.1115/1.4042051
P1,8,11,validation,B,P1_ELM_Stack,r2,higher,0.788,True,0.7460817504979189,0.7349564661615644,0.011375312852241352,-0.04191824950208112,,,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,8,11,validation,B,P1_ELM_Stack,rmse,lower,4.405,True,4.784842257827484,4.88748860658572,0.1040725795773682,0.3798422578274838,8.622979746367388,10.953203327712124,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,8,11,validation,B,P1_ELM_Stack,relative_error,lower,0.047,True,0.04805392278569498,0.04859246977208561,0.0010120684647063046,0.00105392278569498,2.242388905734005,3.3882335576289613,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,8,11,validation,B,P1_ELM_Stack,s_score,lower,0.41,True,1.4562666603491687,1.4657217209777218,0.01567244792555946,,,,0.4562666603491686,formula_table_ambiguity,https://doi.org/10.1115/1.4042051
P2,5,7,test,all,P2_Integrated,mse,lower,7.07,True,7.074313480095851,,,0.0043134800958508634,0.06101103388755913,,,partial_reproduction,https://papers.phmsociety.org/index.php/ijphm/article/view/2641
P2,5,7,test,all,P2_Persistent,mse,lower,8.23,True,12.98903367810142,,,4.759033678101419,57.825439588109596,,,partial_reproduction,https://papers.phmsociety.org/index.php/ijphm/article/view/2641
P2,5,7,test,all,P2_KNN,mse,lower,9.6,True,11.471022391472408,,,1.8710223914724082,19.489816577837594,,,partial_reproduction,https://papers.phmsociety.org/index.php/ijphm/article/view/2641
P2,5,7,test,all,P2_SVR,mse,lower,7.44,True,9.080986326813624,,,1.640986326813624,22.05626783351644,,,partial_reproduction,https://papers.phmsociety.org/index.php/ijphm/article/view/2641
P2,5,7,test,all,P2_LR,mse,lower,7.32,True,351.1078911688693,,,343.7878911688693,4696.555890285099,,,partial_reproduction,https://papers.phmsociety.org/index.php/ijphm/article/view/2641
P2,5,7,test,all,P2_Bagging,mse,lower,7.22,True,7.1702106761961035,,,-0.049789323803896224,-0.6896028227686424,,,partial_reproduction,https://papers.phmsociety.org/index.php/ijphm/article/view/2641
P2,5,7,test,all,P2_DBN,mse,lower,7.29,False,,,,,,,,not_implemented,https://papers.phmsociety.org/index.php/ijphm/article/view/2641
P3,II,5,test,all,P3_RF,mse,lower,7.6,True,9.477434967180155,,,1.8774349671801556,24.703091673423106,,,partial_reproduction,https://www.atlantis-press.com/proceedings/iceea-18/25894228
P3,II,5,test,all,P3_RF_CPP,mse,lower,7.4,True,8.685100884166745,,,1.285100884166745,17.366228164415464,,,partial_reproduction,https://www.atlantis-press.com/proceedings/iceea-18/25894228
P3,II,5,test,all,P3_Ensemble_NN,mse,lower,8.2,False,,,,,,,,not_implemented,https://www.atlantis-press.com/proceedings/iceea-18/25894228
