procedure,nested_oof,temporal,test,validation
Stable v1,22.428854947504465,12.420051911737461,9.345806829946223,8.995549971273991
Robust v2,21.769422961718107,11.771405848313242,8.949090955954565,8.540213130821956
Group selection v3,18.643066187065592,14.3295787867202,11.310693687200155,8.991572477211498
Time selection v4,24.463366915229887,14.673438242637186,13.80807620545069,12.585288667874401
