split,model,n,accuracy,macro_f1,micro_f1,hamming_loss,macro_average_precision,brier_score,binary_log_loss
calibration,WaferCNN,3791,0.98100764969665,0.9869714566327943,0.9953938015353995,0.0026707992614085994,0.9981828829458355,0.002195600885897875,0.010071412660181522
calibration,SpatialLogistic,3791,0.21076233183856502,0.8514979505823925,0.7886002173268793,0.14112371405961488,0.8736385349126754,0.07698668539524078,0.2399531453847885
calibration,TrainPrior,3791,0.02637826431020839,0.08346512036548936,0.3020187569543793,0.2895673964653126,0.28986415193880244,0.17578455206071192,0.5053764347037365
test,WaferCNN,7582,0.9794249538380374,0.9901994628038333,0.9949362767410105,0.0029345819045106833,0.9989664815522938,0.0024030318018049,0.011898636817932129
test,SpatialLogistic,7582,0.20324452651015562,0.8574320687270195,0.7873607233737678,0.14189857557372726,0.8863085598111597,0.07813805341720581,0.24432231485843658
test,TrainPrior,7582,0.02637826431020839,0.08346512036548936,0.3020187569543793,0.2895673964653126,0.28986415193880244,0.17578455206071192,0.5053764347037365
