epoch,train_loss,validation_macro_f1,validation_accuracy,elapsed_seconds
1,0.39712186710355274,0.8275033523334654,0.4320759694012134,8.828000000008615
2,0.14665264667133893,0.9542504973843913,0.8216829332629912,17.17200000002049
3,0.10865408545927459,0.8908507889877834,0.5950936428383012,25.703000000008615
4,0.07502856405672502,0.9571617455118795,0.7691901872856766,33.984000000025844
5,0.06285712261342188,0.9624352027016011,0.858348720654181,42.203000000008615
6,0.054238586752472145,0.969016392601492,0.9047744658401478,50.5
7,0.050210127518384155,0.964616783791,0.8501714587180164,58.67200000002049
8,0.04823748879760286,0.9792260292202544,0.9382748615141123,66.93700000000536
9,0.040125204735817724,0.9801420083856971,0.9398575573727249,75.10900000002584
10,0.03662414971965395,0.9766349275070119,0.9604326035346874,83.375
11,0.035247807424644215,0.9839705964224614,0.9601688208915853,91.78100000001723
12,0.03628618745245468,0.9575758273014885,0.943286731733052,100.06200000000536
13,0.03226095515961783,0.9766584296484404,0.9380110788710103,108.43700000000536
14,0.031434550967532934,0.9834698411716953,0.9657082563967291,116.79700000002049
15,0.03001943307571787,0.9396673793222672,0.9380110788710103,125.0
16,0.028152307882809362,0.9801357397007342,0.9638617778950145,133.57800000000861
17,0.026243062007602,0.985562321892647,0.9683460828277499,142.18700000000536
18,0.03324761171380983,0.9748498651256288,0.934054339224479,151.01500000001397
19,0.02755500608838156,0.9782714923830351,0.9691374307570562,159.81200000000536
20,0.024309081245948456,0.9834900505746638,0.9541018201002374,168.76500000001397
21,0.02383909042841771,0.9866898832213062,0.9459245581640728,177.2970000000205
22,0.02357229547244121,0.9790850613733747,0.9517277763123186,185.78100000001723
23,0.022531032056182395,0.9830687556972384,0.9778422579794249,194.07800000000861
24,0.021296624245496634,0.9779213076395419,0.9388024268003166,202.4220000000205
25,0.02144820930856016,0.9760954978189889,0.9691374307570562,210.93700000000536
26,0.02140142642971101,0.9896174185254627,0.9709839092587708,219.70300000000861
27,0.018853973115126228,0.9860326491489756,0.9701925613294645,228.15600000001723
28,0.01791548598121243,0.9913540040854064,0.9796887364811395,236.35900000002584
29,0.018179747456573175,0.9834914492579998,0.9788973885518333,244.59400000001187
30,0.01847899179968871,0.9823132801312564,0.971511474544975,252.84400000001187
31,0.01810562070765392,0.9822318525427544,0.9704563439725666,261.10900000002584
32,0.01652928857091193,0.9872434834491721,0.9807438670535479,269.35900000002584
33,0.01533973440763756,0.9873390801219477,0.9807438670535479,277.5940000000119
34,0.01634461587449051,0.9873545980047866,0.98100764969665,285.81200000000536
35,0.016136303151796615,0.9915326536855589,0.9823265629121604,294.01500000001397
36,0.015437397232186975,0.9914934854152877,0.9820627802690582,302.2190000000119
37,0.015439132521328433,0.98766847372877,0.9831179108414666,310.40600000001723
38,0.015584283992733289,0.9876122212695497,0.9825903455552625,318.68700000000536
39,0.01538903128880158,0.991571988153239,0.9820627802690582,326.93700000000536
40,0.015434989383367051,0.9916055696639653,0.9823265629121604,335.25
