fold,model,mse,train_n,validation_n
0,P2_Persistent,7.4567149686695045,203,51
0,P2_KNN,4.499125722035289,203,51
0,P2_LR,303.7199252805148,203,51
0,P2_SVR,5.622234973765763,203,51
0,P2_Bagging,3.717758136767153,203,51
1,P2_Persistent,18.505966056766137,203,51
1,P2_KNN,8.769958983811748,203,51
1,P2_LR,10.127228887593533,203,51
1,P2_SVR,8.09465845289482,203,51
1,P2_Bagging,5.73084095175576,203,51
2,P2_Persistent,11.861750881210769,203,51
2,P2_KNN,6.656466484032341,203,51
2,P2_LR,15.522565515611946,203,51
2,P2_SVR,8.88028309036069,203,51
2,P2_Bagging,7.555429965819348,203,51
3,P2_Persistent,11.721633181422575,203,51
3,P2_KNN,9.180371975797078,203,51
3,P2_LR,16.280044726927567,203,51
3,P2_SVR,8.399010233824539,203,51
3,P2_Bagging,7.335277173512693,203,51
4,P2_Persistent,8.129054812058827,203,51
4,P2_KNN,7.111004886736767,203,51
4,P2_LR,7.867133673470912,203,51
4,P2_SVR,6.92434558004174,203,51
4,P2_Bagging,4.262633708524002,203,51
5,P2_Persistent,6.405389826617658,203,51
5,P2_KNN,5.032309645985299,203,51
5,P2_LR,10.914261202683676,203,51
5,P2_SVR,5.336171562535413,203,51
5,P2_Bagging,3.5761101898682535,203,51
6,P2_Persistent,5.990349871764702,203,51
6,P2_KNN,5.818953874751471,203,51
6,P2_LR,7.457807390838454,203,51
6,P2_SVR,6.652487071804546,203,51
6,P2_Bagging,5.595454239323202,203,51
7,P2_Persistent,15.625618882979822,203,51
7,P2_KNN,9.189565270120601,203,51
7,P2_LR,10.593324983481613,203,51
7,P2_SVR,9.45235205353158,203,51
7,P2_Bagging,5.595824042696603,203,51
8,P2_Persistent,8.053911027370956,203,51
8,P2_KNN,6.569124298411777,203,51
8,P2_LR,7.491812119957625,203,51
8,P2_SVR,7.977769486599169,203,51
8,P2_Bagging,5.821279538501292,203,51
9,P2_Persistent,10.251180911857483,203,51
9,P2_KNN,7.589938558089704,203,51
9,P2_LR,5.921217596297451,203,51
9,P2_SVR,6.573093657716936,203,51
9,P2_Bagging,5.645036931211084,203,51
10,P2_Persistent,11.793523267500017,203,51
10,P2_KNN,9.81816062525297,203,51
10,P2_LR,12.99217185547534,203,51
10,P2_SVR,12.151116573974676,203,51
10,P2_Bagging,9.827895513982044,203,51
11,P2_Persistent,13.608229255811093,203,51
11,P2_KNN,10.265681613657378,203,51
11,P2_LR,16.049129538658338,203,51
11,P2_SVR,11.70017175615898,203,51
11,P2_Bagging,11.657421906502769,203,51
12,P2_Persistent,16.754345914411765,203,51
12,P2_KNN,14.910694408552986,203,51
12,P2_LR,15.307667663752234,203,51
12,P2_SVR,13.954020654662926,203,51
12,P2_Bagging,11.112871881737615,203,51
13,P2_Persistent,12.791358037058837,203,51
13,P2_KNN,7.515281541075008,203,51
13,P2_LR,11.290724663731094,203,51
13,P2_SVR,8.811769908655526,203,51
13,P2_Bagging,6.2448519983657285,203,51
14,P2_Persistent,13.123289936470597,203,51
14,P2_KNN,7.972736671676487,203,51
14,P2_LR,9.875038905768049,203,51
14,P2_SVR,7.489154191935886,203,51
14,P2_Bagging,6.509128903423707,203,51
15,P2_Persistent,9.455905117499992,203,51
15,P2_KNN,7.539292607148563,203,51
15,P2_LR,6.32521210414475,203,51
15,P2_SVR,5.858415716387494,203,51
15,P2_Bagging,6.040609481731456,203,51
16,P2_Persistent,9.477599948823531,203,51
16,P2_KNN,7.113080152027938,203,51
16,P2_LR,9.146110244119711,203,51
16,P2_SVR,7.5935973366801095,203,51
16,P2_Bagging,6.532514240881246,203,51
17,P2_Persistent,8.74968391191177,203,51
17,P2_KNN,7.946514407338261,203,51
17,P2_LR,9.513604067670066,203,51
17,P2_SVR,6.7442065461442855,203,51
17,P2_Bagging,6.116380744005045,203,51
18,P2_Persistent,10.247685494117645,203,51
18,P2_KNN,7.547271241252917,203,51
18,P2_LR,12.931391487276102,203,51
18,P2_SVR,5.951233173894738,203,51
18,P2_Bagging,4.696272577914,203,51
19,P2_Persistent,12.083300565441188,203,51
19,P2_KNN,13.139316618405864,203,51
19,P2_LR,14.772501946233698,203,51
19,P2_SVR,11.075365216999751,203,51
19,P2_Bagging,8.492844597676285,203,51
