fold,model,mse,train_n,validation_n
0,P2_Persistent,12.790511554882073,423,106
0,P2_KNN,12.708364383507298,423,106
0,P2_LR,6.105524173050836,423,106
0,P2_SVR,9.584177191399176,423,106
0,P2_Bagging,7.014651607872212,423,106
1,P2_Persistent,14.52122962620283,423,106
1,P2_KNN,26.864400621116047,423,106
1,P2_LR,12.12969545984508,423,106
1,P2_SVR,15.879383057635849,423,106
1,P2_Bagging,10.621789201683937,423,106
2,P2_Persistent,16.865895694245285,423,106
2,P2_KNN,14.730854837467932,423,106
2,P2_LR,12.236717951053823,423,106
2,P2_SVR,11.182038262370158,423,106
2,P2_Bagging,10.250237343265502,423,106
3,P2_Persistent,10.681063232476411,423,106
3,P2_KNN,9.559126730572654,423,106
3,P2_LR,7.539615961938093,423,106
3,P2_SVR,7.7031170471785755,423,106
3,P2_Bagging,4.9171421387683285,423,106
4,P2_Persistent,17.173565414560844,423,106
4,P2_KNN,12.01733721388656,423,106
4,P2_LR,18567.23169299223,423,106
4,P2_SVR,7.870357070261314,423,106
4,P2_Bagging,7.377358186783557,423,106
5,P2_Persistent,17.1591008863298,423,106
5,P2_KNN,11.14643638209481,423,106
5,P2_LR,7.816467316362715,423,106
5,P2_SVR,8.056325605575662,423,106
5,P2_Bagging,6.399938554075886,423,106
6,P2_Persistent,14.163607497099058,423,106
6,P2_KNN,13.518881830381835,423,106
6,P2_LR,8.22887154425779,423,106
6,P2_SVR,11.39157236302454,423,106
6,P2_Bagging,7.041937406885201,423,106
7,P2_Persistent,23.737031010864467,423,106
7,P2_KNN,22.153259507712026,423,106
7,P2_LR,11.781115204065506,423,106
7,P2_SVR,11.770184058320329,423,106
7,P2_Bagging,9.940396414499396,423,106
8,P2_Persistent,14.914477162995274,423,106
8,P2_KNN,17.759711750745986,423,106
8,P2_LR,9.668588643261224,423,106
8,P2_SVR,9.120752449399236,423,106
8,P2_Bagging,7.592715428653347,423,106
9,P2_Persistent,12.1611596506132,423,106
9,P2_KNN,16.22141916159482,423,106
9,P2_LR,39983.32183353344,423,106
9,P2_SVR,9.55251667822235,423,106
9,P2_Bagging,5.576466265319632,423,106
10,P2_Persistent,16.55939362075472,423,106
10,P2_KNN,10.853145973345757,423,106
10,P2_LR,8.837153446783088,423,106
10,P2_SVR,10.773700154776243,423,106
10,P2_Bagging,7.721922008993752,423,106
11,P2_Persistent,13.290033217287734,423,106
11,P2_KNN,9.21095535836676,423,106
11,P2_LR,14.19623832755641,423,106
11,P2_SVR,8.424909014650247,423,106
11,P2_Bagging,6.1197237388906744,423,106
12,P2_Persistent,20.192065783780514,423,106
12,P2_KNN,14.038951427966047,423,106
12,P2_LR,12.217712085274728,423,106
12,P2_SVR,9.224759849480849,423,106
12,P2_Bagging,9.41610535692579,423,106
13,P2_Persistent,23.10044210108491,423,106
13,P2_KNN,15.510684084444337,423,106
13,P2_LR,115.01202032550393,423,106
13,P2_SVR,11.196190846014925,423,106
13,P2_Bagging,6.902617387234427,423,106
14,P2_Persistent,18.801063745683955,423,106
14,P2_KNN,11.690880518888914,423,106
14,P2_LR,7.421664631813533,423,106
14,P2_SVR,9.169442926764363,423,106
14,P2_Bagging,5.354249786818116,423,106
15,P2_Persistent,11.864572435825465,423,106
15,P2_KNN,13.468071616669093,423,106
15,P2_LR,7101.823871486089,423,106
15,P2_SVR,9.726987320436427,423,106
15,P2_Bagging,9.393856939843925,423,106
16,P2_Persistent,13.964256437837447,423,106
16,P2_KNN,14.427733113885147,423,106
16,P2_LR,12.282726000841246,423,106
16,P2_SVR,10.703193863581102,423,106
16,P2_Bagging,5.984846563943218,423,106
17,P2_Persistent,13.467361629700214,423,106
17,P2_KNN,12.485625236579713,423,106
17,P2_LR,29209.699262467595,423,106
17,P2_SVR,8.481090521417002,423,106
17,P2_Bagging,7.424884330162357,423,106
18,P2_Persistent,14.644727349621835,423,106
18,P2_KNN,12.732695547926172,423,106
18,P2_LR,14727.21929916823,423,106
18,P2_SVR,9.857227952949492,423,106
18,P2_Bagging,9.108903541479188,423,106
19,P2_Persistent,10.711458037358483,423,106
19,P2_KNN,11.219896771501421,423,106
19,P2_LR,6.5891668218660016,423,106
19,P2_SVR,6.886022629482031,423,106
19,P2_Bagging,5.441738733013005,423,106
