fold,model,mse,train_n,validation_n
0,P2_Persistent,12.429077396727285,219,55
0,P2_KNN,10.936540854625951,219,55
0,P2_LR,15.548763671108986,219,55
0,P2_SVR,11.376715072940755,219,55
0,P2_Bagging,9.739937603097001,219,55
1,P2_Persistent,11.281030629545466,219,55
1,P2_KNN,8.251288605376397,219,55
1,P2_LR,11.400929012894284,219,55
1,P2_SVR,10.161974134586751,219,55
1,P2_Bagging,8.687109929498323,219,55
2,P2_Persistent,9.675887496954562,219,55
2,P2_KNN,6.2046825029795665,219,55
2,P2_LR,8.107345940143329,219,55
2,P2_SVR,8.148876274863987,219,55
2,P2_Bagging,5.500164627672834,219,55
3,P2_Persistent,12.78038239322727,219,55
3,P2_KNN,6.852891302901833,219,55
3,P2_LR,8.471554546468536,219,55
3,P2_SVR,7.09542221997919,219,55
3,P2_Bagging,6.6748017333443475,219,55
4,P2_Persistent,11.345028718500009,219,55
4,P2_KNN,8.950529302228636,219,55
4,P2_LR,12.225023126266448,219,55
4,P2_SVR,7.66442912668999,219,55
4,P2_Bagging,6.456406216168358,219,55
5,P2_Persistent,9.891808540495385,219,55
5,P2_KNN,7.434121952724566,219,55
5,P2_LR,6.811577230522335,219,55
5,P2_SVR,8.325836927784131,219,55
5,P2_Bagging,7.0760064304017485,219,55
6,P2_Persistent,9.032778626727277,219,55
6,P2_KNN,5.491212898082726,219,55
6,P2_LR,9.126240239364293,219,55
6,P2_SVR,6.121600619086979,219,55
6,P2_Bagging,6.271988790216667,219,55
7,P2_Persistent,9.7346440804091,219,55
7,P2_KNN,9.225059593937758,219,55
7,P2_LR,6.456853400889791,219,55
7,P2_SVR,6.462475490899904,219,55
7,P2_Bagging,7.171464778407866,219,55
8,P2_Persistent,11.731036351499991,219,55
8,P2_KNN,7.876345924979979,219,55
8,P2_LR,6.804579579045366,219,55
8,P2_SVR,6.4395877958479,219,55
8,P2_Bagging,6.342123412724989,219,55
9,P2_Persistent,9.636572495863636,219,55
9,P2_KNN,7.075792296683181,219,55
9,P2_LR,7.557224168754012,219,55
9,P2_SVR,5.9610317935123325,219,55
9,P2_Bagging,5.354747511924161,219,55
10,P2_Persistent,14.945879650909074,219,55
10,P2_KNN,8.639823112486368,219,55
10,P2_LR,11.2080967642538,219,55
10,P2_SVR,9.498670209725452,219,55
10,P2_Bagging,7.549390350840908,219,55
11,P2_Persistent,9.269898401045456,219,55
11,P2_KNN,12.535066778494135,219,55
11,P2_LR,11.7680390713579,219,55
11,P2_SVR,8.387239419077106,219,55
11,P2_Bagging,9.014669052730737,219,55
12,P2_Persistent,10.492083287181801,219,55
12,P2_KNN,8.479125855507275,219,55
12,P2_LR,7.186547284701583,219,55
12,P2_SVR,8.593968528937756,219,55
12,P2_Bagging,7.723683478826994,219,55
13,P2_Persistent,10.058763543136376,219,55
13,P2_KNN,7.164217327622745,219,55
13,P2_LR,12.567859648611043,219,55
13,P2_SVR,7.506917179793178,219,55
13,P2_Bagging,7.528335204420498,219,55
14,P2_Persistent,13.30049523845454,219,55
14,P2_KNN,8.399072705138206,219,55
14,P2_LR,5.670777226796499,219,55
14,P2_SVR,6.87012858393415,219,55
14,P2_Bagging,7.1015227162457695,219,55
15,P2_Persistent,11.283979497954547,219,55
15,P2_KNN,6.4066356706213625,219,55
15,P2_LR,6.992548323015027,219,55
15,P2_SVR,8.543626072273163,219,55
15,P2_Bagging,7.166327174737585,219,55
16,P2_Persistent,9.864242655136367,219,55
16,P2_KNN,6.714528439115474,219,55
16,P2_LR,10.779795097894544,219,55
16,P2_SVR,6.705960215870362,219,55
16,P2_Bagging,6.379520002279596,219,55
17,P2_Persistent,9.606394159772739,219,55
17,P2_KNN,8.153491902962728,219,55
17,P2_LR,9.987826798471488,219,55
17,P2_SVR,8.579080686671258,219,55
17,P2_Bagging,7.589622901377212,219,55
18,P2_Persistent,9.70586917603801,219,55
18,P2_KNN,10.358062420585947,219,55
18,P2_LR,11.181928882930146,219,55
18,P2_SVR,10.23906805751279,219,55
18,P2_Bagging,8.994270780607478,219,55
19,P2_Persistent,11.063203449545469,219,55
19,P2_KNN,9.681554272111386,219,55
19,P2_LR,10.111991635620846,219,55
19,P2_SVR,9.13793883796543,219,55
19,P2_Bagging,8.104414766723501,219,55
