fold,model,mse,train_n,validation_n
0,P2_Persistent,15.612355966237864,410,103
0,P2_KNN,20.599402098763825,410,103
0,P2_LR,15.571881983250526,410,103
0,P2_SVR,13.952388904960397,410,103
0,P2_Bagging,9.557349799715329,410,103
1,P2_Persistent,19.80549228779126,410,103
1,P2_KNN,28.797934449586897,410,103
1,P2_LR,12.922596890389423,410,103
1,P2_SVR,11.501059887373028,410,103
1,P2_Bagging,9.916652190974483,410,103
2,P2_Persistent,20.496103369077666,410,103
2,P2_KNN,28.261292551130115,410,103
2,P2_LR,466.9744464461999,410,103
2,P2_SVR,19.832274807939044,410,103
2,P2_Bagging,10.856002624015526,410,103
3,P2_Persistent,18.60910837973301,410,103
3,P2_KNN,29.022029606243443,410,103
3,P2_LR,20.681752869081695,410,103
3,P2_SVR,14.929405806235584,410,103
3,P2_Bagging,10.862488128684896,410,103
4,P2_Persistent,22.677341241407763,410,103
4,P2_KNN,23.008303687113354,410,103
4,P2_LR,17.13738438474698,410,103
4,P2_SVR,15.714250081241051,410,103
4,P2_Bagging,8.905776949452605,410,103
5,P2_Persistent,31.556841709402367,410,103
5,P2_KNN,27.151493007715775,410,103
5,P2_LR,1092.3844367051072,410,103
5,P2_SVR,12.504828966336765,410,103
5,P2_Bagging,13.058749945890343,410,103
6,P2_Persistent,21.71522959929611,410,103
6,P2_KNN,23.244976795161396,410,103
6,P2_LR,11.275616467848028,410,103
6,P2_SVR,12.298065967448629,410,103
6,P2_Bagging,9.852368397040442,410,103
7,P2_Persistent,23.381582580000007,410,103
7,P2_KNN,18.831062171523048,410,103
7,P2_LR,27.218759241906575,410,103
7,P2_SVR,12.247190681612503,410,103
7,P2_Bagging,9.666402339418294,410,103
8,P2_Persistent,18.409073875995148,410,103
8,P2_KNN,19.490773276824033,410,103
8,P2_LR,9.953580054889214,410,103
8,P2_SVR,10.06505012370064,410,103
8,P2_Bagging,7.932635040806017,410,103
9,P2_Persistent,30.909287318155343,410,103
9,P2_KNN,20.831839425063347,410,103
9,P2_LR,899.8827574221813,410,103
9,P2_SVR,16.318988446721523,410,103
9,P2_Bagging,13.773995421011048,410,103
10,P2_Persistent,19.034310863009708,410,103
10,P2_KNN,25.954325188339823,410,103
10,P2_LR,10932.40694982565,410,103
10,P2_SVR,12.370675972915244,410,103
10,P2_Bagging,10.493848289952181,410,103
11,P2_Persistent,11.423852192621364,410,103
11,P2_KNN,24.65335790720827,410,103
11,P2_LR,85.46794156329736,410,103
11,P2_SVR,15.145664056775429,410,103
11,P2_Bagging,11.000685389168941,410,103
12,P2_Persistent,21.44094938150079,410,103
12,P2_KNN,27.75504007324878,410,103
12,P2_LR,22.97915234553621,410,103
12,P2_SVR,14.372131673278808,410,103
12,P2_Bagging,10.02752749252768,410,103
13,P2_Persistent,17.975428310315525,410,103
13,P2_KNN,20.821672592226694,410,103
13,P2_LR,188.04788742626636,410,103
13,P2_SVR,13.331441067716723,410,103
13,P2_Bagging,8.762208908282533,410,103
14,P2_Persistent,12.943680527402911,410,103
14,P2_KNN,18.220609180585914,410,103
14,P2_LR,10.046570507617881,410,103
14,P2_SVR,10.24424750234285,410,103
14,P2_Bagging,7.413876135763347,410,103
15,P2_Persistent,17.21890062109223,410,103
15,P2_KNN,23.80673498663664,410,103
15,P2_LR,14.816166712014816,410,103
15,P2_SVR,14.452593012198504,410,103
15,P2_Bagging,9.053996439605788,410,103
16,P2_Persistent,27.889256777499472,410,103
16,P2_KNN,27.719138775440534,410,103
16,P2_LR,13.215248624625486,410,103
16,P2_SVR,15.337591600224194,410,103
16,P2_Bagging,11.252044764777766,410,103
17,P2_Persistent,23.30168560449029,410,103
17,P2_KNN,19.466256476464075,410,103
17,P2_LR,17.11444473150784,410,103
17,P2_SVR,15.594909311755671,410,103
17,P2_Bagging,12.069323414144636,410,103
18,P2_Persistent,20.08999266461889,410,103
18,P2_KNN,24.771216716512868,410,103
18,P2_LR,2169.7927235319935,410,103
18,P2_SVR,13.507529981928213,410,103
18,P2_Bagging,9.94735575289025,410,103
19,P2_Persistent,20.21840132264563,410,103
19,P2_KNN,21.826316210922084,410,103
19,P2_LR,15.79891228615118,410,103
19,P2_SVR,14.221589887360723,410,103
19,P2_Bagging,13.07301280489407,410,103
