fold,model,mse,train_n,validation_n
0,P2_Persistent,11.668661398877951,504,127
0,P2_KNN,11.213784283049996,504,127
0,P2_LR,7.357955691923888,504,127
0,P2_SVR,8.738498368323773,504,127
0,P2_Bagging,7.967452452177975,504,127
1,P2_Persistent,12.70477681582677,504,127
1,P2_KNN,11.00828976348897,504,127
1,P2_LR,1354.673828432246,504,127
1,P2_SVR,8.518238557435152,504,127
1,P2_Bagging,8.260060820163313,504,127
2,P2_Persistent,14.803869368334878,504,127
2,P2_KNN,9.787977147734644,504,127
2,P2_LR,6.625919095251699,504,127
2,P2_SVR,6.327216164210605,504,127
2,P2_Bagging,6.412284743384725,504,127
3,P2_Persistent,13.129085376673231,504,127
3,P2_KNN,10.917428671137408,504,127
3,P2_LR,6.808833820152233,504,127
3,P2_SVR,8.099278311070094,504,127
3,P2_Bagging,5.881928568833545,504,127
4,P2_Persistent,15.054926482381893,504,127
4,P2_KNN,13.216928333601983,504,127
4,P2_LR,806.6681831175462,504,127
4,P2_SVR,9.854601551317751,504,127
4,P2_Bagging,9.403319997477546,504,127
5,P2_Persistent,10.731285817972445,504,127
5,P2_KNN,10.472917307440744,504,127
5,P2_LR,16.395609948787737,504,127
5,P2_SVR,6.624651461627619,504,127
5,P2_Bagging,5.7125659498309345,504,127
6,P2_Persistent,12.348260648681105,504,127
6,P2_KNN,12.589151684109451,504,127
6,P2_LR,6.1088321632198985,504,127
6,P2_SVR,7.429359863704129,504,127
6,P2_Bagging,7.005519433537279,504,127
7,P2_Persistent,15.87340759111237,504,127
7,P2_KNN,10.503984469981898,504,127
7,P2_LR,11.28476663717404,504,127
7,P2_SVR,6.769536150988833,504,127
7,P2_Bagging,7.520046107393805,504,127
8,P2_Persistent,10.223828145708666,504,127
8,P2_KNN,14.04137836403327,504,127
8,P2_LR,637.722547333464,504,127
8,P2_SVR,8.142899957325083,504,127
8,P2_Bagging,7.111149890212575,504,127
9,P2_Persistent,17.82551511425197,504,127
9,P2_KNN,12.576484297268511,504,127
9,P2_LR,1990.4275600533604,504,127
9,P2_SVR,9.8167290936128,504,127
9,P2_Bagging,8.522437685250084,504,127
10,P2_Persistent,15.062919072696852,504,127
10,P2_KNN,13.046937591398038,504,127
10,P2_LR,48.69872011019849,504,127
10,P2_SVR,10.356742118775204,504,127
10,P2_Bagging,9.852950110703228,504,127
11,P2_Persistent,13.106004737952748,504,127
11,P2_KNN,9.591204091335243,504,127
11,P2_LR,6.804625381636118,504,127
11,P2_SVR,8.53945855861958,504,127
11,P2_Bagging,6.37572913360903,504,127
12,P2_Persistent,18.49516353744094,504,127
12,P2_KNN,14.124191613765953,504,127
12,P2_LR,8.744759205398804,504,127
12,P2_SVR,8.667449182615865,504,127
12,P2_Bagging,9.100381620391747,504,127
13,P2_Persistent,22.5016435787709,504,127
13,P2_KNN,12.011645162712401,504,127
13,P2_LR,478.11543760832654,504,127
13,P2_SVR,13.240367857939331,504,127
13,P2_Bagging,8.623227904287155,504,127
14,P2_Persistent,15.577135361043307,504,127
14,P2_KNN,13.479406296487795,504,127
14,P2_LR,9.42550777019791,504,127
14,P2_SVR,9.855222902523492,504,127
14,P2_Bagging,9.790056780180826,504,127
15,P2_Persistent,12.699123885531495,504,127
15,P2_KNN,7.659400731450589,504,127
15,P2_LR,10.876473915964896,504,127
15,P2_SVR,7.235099495547342,504,127
15,P2_Bagging,5.971450893830817,504,127
16,P2_Persistent,9.993946440295279,504,127
16,P2_KNN,11.284590652708467,504,127
16,P2_LR,127.09029699264258,504,127
16,P2_SVR,6.831460625640402,504,127
16,P2_Bagging,7.084192111464531,504,127
17,P2_Persistent,12.143179417677164,504,127
17,P2_KNN,10.27142908118681,504,127
17,P2_LR,9.598367841553674,504,127
17,P2_SVR,8.709875977793176,504,127
17,P2_Bagging,6.758409924630439,504,127
18,P2_Persistent,12.773195342544296,504,127
18,P2_KNN,10.597517716181105,504,127
18,P2_LR,35.480341434959314,504,127
18,P2_SVR,9.103537620031222,504,127
18,P2_Bagging,6.808833007524025,504,127
19,P2_Persistent,11.20999210299213,504,127
19,P2_KNN,14.732335342628152,504,127
19,P2_LR,686.8117837039837,504,127
19,P2_SVR,9.941728038399887,504,127
19,P2_Bagging,9.883691561004,504,127
