evaluation,model,strong_match_observed,n,mse,rmse,mae,r2
nested_oof,original,False,1240,33.823769114216724,5.81582058820737,4.42644287062891,0.9699676894293977
nested_oof,original,True,737,40.7510193136638,6.383652505710488,4.96672107542158,0.9008787510405551
nested_oof,primary_only,False,1240,33.265235568216234,5.767602237344063,4.400775095468764,0.9704636144358907
nested_oof,primary_only,True,737,39.60763385809723,6.293459609634214,4.922344340456665,0.9036598788824254
temporal,original,False,117,33.09030001054871,5.752416884279921,4.438759360178534,0.9618231823734371
temporal,original,True,49,30.875249583022303,5.556550151219937,4.501443522201335,0.18629981194573597
temporal,primary_only,False,117,38.40488207250523,6.197167261943576,4.899018376925031,0.9556916625601977
temporal,primary_only,True,49,30.935392588047293,5.561959419849024,4.53884281395779,0.1847147761918584
