evaluation,n,groups,original_mse,primary_only_mse,mse_change,relative_mse_change_percent,descriptive_group_bootstrap_2_5,descriptive_group_bootstrap_97_5,bootstrap_status
nested_oof,1977,54.0,36.406158288213945,35.62959952352341,-0.7765587646905345,-2.1330423236168183,-1.40999835673164,-0.08154096507235123,computed_on_observed_file_groups
temporal,166,11.0,32.436459824110194,36.20003276685198,3.7635729427417886,11.602909081786738,2.233849927059314,5.810335421233602,computed_on_observed_file_groups
test,424,,7.074313480095856,7.031662476631636,-0.04265100346421935,-0.6028995404885773,,,not_computed_missing_group_metadata
validation,424,,6.827695951448246,6.960253247840528,0.13255729639228253,1.9414645487276783,,,not_computed_missing_group_metadata
