policy,model,nested_oof,temporal,test,validation
completed,gap_guarded,21.62753858403691,11.771405848313242,9.027151491036218,8.565092597078989
completed,phase_guarded,34.45766409396806,15.252414605067893,10.490542582993784,10.031536949957639
completed,previous_control,22.428854947504465,12.420051911737461,9.345806829946223,8.995549971273991
completed,previous_proposed,58.465666598934526,12.463494235853128,9.272973705301716,8.762743038459913
completed,raw_guarded,21.85132041823678,11.53180587699628,8.983580526294938,8.527361561921428
completed,raw_unprotected,22.08284182917847,11.759083073458537,8.976766993746285,8.936409224321785
completed,selected,21.769422961718107,11.771405848313242,8.949090955954565,8.540213130821956
retrospective,gap_guarded,26.564348147689223,30.54920410205575,7.297972627524647,7.293952380601345
retrospective,paper_v2,36.406158288213945,32.436459824110194,7.074313480095856,6.827695951448246
retrospective,phase_guarded,38.5847649328483,36.68827909568819,8.62085566742268,8.722551443360443
retrospective,previous_control,31.112248067864446,39.323954539524884,7.727472077593047,7.611467318975251
retrospective,previous_proposed,28.90924988360173,39.72571345551108,7.827875288254085,7.978812212560368
retrospective,raw_guarded,26.66728410985575,29.64326833404958,7.257486922209385,7.3422705298841455
retrospective,raw_unprotected,29.350114021163343,33.04844591357928,7.697117712996105,7.771663356344782
retrospective,selected,26.564177001386593,30.21455123635806,7.297972627524649,7.293952380601348
