model,n,mae,rmse,r2,negative_predictions,groups,macro_group_mae,worst_group_mae,fold_mae_min,fold_mae_max,fold_mae_std
CatBoost,489,3.41230159809741,4.316714784136883,0.7380687751453454,0,31,3.6414516391356484,11.70816300413263,2.815998868177469,4.253766764538793,0.6656264950867264
LightGBM,489,3.3941581127434506,4.254384673030805,0.7455783439371334,0,31,3.167378840479092,7.474899536875526,2.969534449258005,4.022778265975368,0.43833289149144106
Physics+CatBoost,489,4.810105094520186,6.057278140593442,0.4842543224379159,0,31,5.638289071655136,16.919483157997846,2.869169728756404,6.105559510201029,1.283500104961077
Physics+LightGBM,489,4.651516205648881,5.965762672885008,0.4997207278307725,0,31,5.598812639198772,16.56035484861242,3.411107280139017,6.022951721195047,1.0147218595426517
PrestonInspired,489,6.336543087584157,7.652625127589021,0.17680742736785304,0,31,6.572731707027301,15.307568367024068,4.520003182098512,7.196414687794871,1.1786942756988714
RandomForest,489,3.400510737069307,4.360884926479088,0.7326810060368049,0,31,3.543809981850197,8.235493951218075,3.0087068635188925,4.396630113114457,0.5729556926670517
StageMean,489,6.452503374216994,8.561180626171138,-0.030262480947813142,0,31,10.53857518820795,24.09668316326531,5.303011177151273,7.892795789501367,1.1088345903206398
XGBoost,489,3.3887221245326877,4.250508935659532,0.7460416882002667,0,31,3.432593361272608,8.241803076171877,3.087999347467705,4.17237800387353,0.4501432457773827
InnerSelected,489,3.563613322022114,4.477366920863353,0.7182097664087033,0,31,3.803710635520694,11.70816300413263,3.087999347467705,4.396630113114457,0.5906722936394766
