비교,전체 MAE 차이,그룹 평균 MAE 차이,결합 우세 그룹,단독 우세 그룹,동률 그룹
Physics+CatBoost − CatBoost,1.3978034964227763,1.996837432519489,4,27,0
Physics+LightGBM − LightGBM,1.2573580929054304,2.431433798719678,5,26,0
