task,calls,p95_seconds,max_seconds
MRR_A,100,0.06560063500073739,0.0807589000032749
MRR_B,100,0.06758337001083418,0.1538843000016641
wm811k,100,0.018990920019859914,0.02127579998341389
mixedwm38,100,0.019450920008239336,0.03601199999684468
