cohort,stage,model,primary,slice,n,mae,rmse,r2,negative_predictions,coverage_90,mean_interval_width,groups
test,A,CatBoost,True,all,89,2.313143250841616,3.09538046352896,0.994048400572022,0,0.9662921348314608,16.09490141342128,56
test,B,Physics+CatBoost,True,all,32,2.724996765522596,3.3802796721832093,0.8954778429785327,0,1.0,17.846510951907646,20
validation,A,CatBoost,True,all,72,2.581505158776029,3.5518133481760046,0.9914369646970206,0,0.9722222222222222,16.094901413421276,47
validation,B,Physics+CatBoost,True,all,68,3.010272085675961,3.764984168462772,0.8168493613374193,0,0.9852941176470588,17.84651095190765,38
