stage,selected_model,test_n,test_mae,stage_mean_mae,mae_improvement_percent,test_rmse,test_r2,interval_coverage,mean_interval_width
A,CatBoost,174,2.816434919055342,42.67575505780346,93.40038643665346,3.626188033627332,0.9888375541188168,0.9655172413793104,16.094901413421276
B,Physics+CatBoost,122,4.645549772784235,5.948039195916728,21.897794890568978,5.617996275114932,0.1774386063203467,0.9098360655737704,17.846510951907643
