model,nested_oof,temporal,test,validation
base_direct,17.719550720207653,13.279710478334719,14.686776512154635,12.696668979821096
base_residual,27.896677381171823,14.673438242637186,16.09401484560094,14.10754574176497
group_selected_v3,18.643066187065592,14.3295787867202,11.310693687200155,8.991572477211498
history_anchor,67.41609717218927,24.43793398693509,17.933856823878465,16.62946286916014
joint_direct,20.138330087786308,10.215070544565483,13.672687826704927,11.961169893608341
joint_residual,31.913945953884934,18.544920357005978,16.103012233621797,14.752480274824183
previous_control,22.428854947504465,12.420051911737461,9.345806829946223,8.995549971273991
robust_reference,21.769422961718107,11.771405848313254,8.949090955954563,8.540213130821957
selected,24.463366915229887,14.673438242637186,13.80807620545069,12.585288667874401
