policy,condition,variant,feature,importance
completed,Cond1,base_direct,p2_secondary_CENTER_AIR_BAG_PRESSURE_std,0.0
completed,Cond1,base_direct,p2_secondary_DRESSING_WATER_STATUS_auc,0.0
completed,Cond1,base_direct,p2_secondary_DRESSING_WATER_STATUS_mean,0.029435367192773423
completed,Cond1,base_direct,p2_secondary_DRESSING_WATER_STATUS_std,1.1979955270715972
completed,Cond1,base_direct,p2_secondary_EDGE_AIR_BAG_PRESSURE_auc,0.006466691415827266
completed,Cond1,base_direct,p2_secondary_EDGE_AIR_BAG_PRESSURE_mean,0.01359873419862802
completed,Cond1,base_direct,p2_secondary_EDGE_AIR_BAG_PRESSURE_std,0.0
completed,Cond1,base_direct,p2_secondary_HEAD_ROTATION_mean,0.028613341876025336
completed,Cond1,base_direct,p2_secondary_MAIN_OUTER_AIR_BAG_PRESSURE_auc,0.0
completed,Cond1,base_direct,p2_secondary_MAIN_OUTER_AIR_BAG_PRESSURE_mean,0.04458878850467439
completed,Cond1,base_direct,p2_secondary_MAIN_OUTER_AIR_BAG_PRESSURE_std,0.0
completed,Cond1,base_direct,p2_secondary_PRESSURIZED_CHAMBER_PRESSURE_auc,0.0005142205381142929
completed,Cond1,base_direct,p2_secondary_PRESSURIZED_CHAMBER_PRESSURE_mean,0.0
completed,Cond1,base_direct,p2_secondary_PRESSURIZED_CHAMBER_PRESSURE_std,0.005914334899967614
completed,Cond1,base_direct,p2_secondary_RETAINER_RING_PRESSURE_auc,0.0
completed,Cond1,base_direct,p2_secondary_RETAINER_RING_PRESSURE_mean,0.047728329126668405
completed,Cond1,base_direct,p2_secondary_RETAINER_RING_PRESSURE_std,0.0
completed,Cond1,base_direct,p2_secondary_RIPPLE_AIR_BAG_PRESSURE_auc,0.0
completed,Cond1,base_direct,p2_secondary_RIPPLE_AIR_BAG_PRESSURE_mean,0.0027519863492059785
completed,Cond1,base_direct,p2_secondary_RIPPLE_AIR_BAG_PRESSURE_std,0.0
completed,Cond1,base_direct,p2_secondary_SLURRY_FLOW_LINE_A_auc,0.0015866615648352362
completed,Cond1,base_direct,p2_secondary_SLURRY_FLOW_LINE_A_mean,0.0
completed,Cond1,base_direct,p2_secondary_SLURRY_FLOW_LINE_A_std,0.01471127917160583
completed,Cond1,base_direct,p2_secondary_SLURRY_FLOW_LINE_B_auc,0.0009358131430482621
completed,Cond1,base_direct,p2_secondary_SLURRY_FLOW_LINE_B_mean,0.0
completed,Cond1,base_direct,p2_secondary_SLURRY_FLOW_LINE_B_std,0.041952448396685334
completed,Cond1,base_direct,p2_secondary_SLURRY_FLOW_LINE_C_auc,0.005558601566067795
completed,Cond1,base_direct,p2_secondary_SLURRY_FLOW_LINE_C_mean,0.001914440779437215
completed,Cond1,base_direct,p2_secondary_SLURRY_FLOW_LINE_C_std,0.004250062913423077
completed,Cond1,base_direct,p2_secondary_STAGE_ROTATION_mean,0.023280694259221715
completed,Cond1,base_direct,p2_secondary_USAGE_OF_BACKING_FILM_decreasing,0.0022225101814002607
completed,Cond1,base_direct,p2_secondary_USAGE_OF_BACKING_FILM_mean,0.27899941669353123
completed,Cond1,base_direct,p2_secondary_USAGE_OF_BACKING_FILM_std,0.006064148509597547
completed,Cond1,base_direct,p2_secondary_USAGE_OF_DRESSER_TABLE_decreasing,0.0
completed,Cond1,base_direct,p2_secondary_USAGE_OF_DRESSER_TABLE_mean,0.7809734813824744
completed,Cond1,base_direct,p2_secondary_USAGE_OF_DRESSER_TABLE_std,0.0
completed,Cond1,base_direct,p2_secondary_USAGE_OF_DRESSER_decreasing,0.0025482994523886946
completed,Cond1,base_direct,p2_secondary_USAGE_OF_DRESSER_mean,6.5220743994878445
completed,Cond1,base_direct,p2_secondary_USAGE_OF_DRESSER_std,0.007818496266445308
completed,Cond1,base_direct,p2_secondary_USAGE_OF_MEMBRANE_decreasing,0.003595391297823525
completed,Cond1,base_direct,p2_secondary_USAGE_OF_MEMBRANE_mean,0.0
completed,Cond1,base_direct,p2_secondary_USAGE_OF_MEMBRANE_std,0.002511444484989445
completed,Cond1,base_direct,p2_secondary_USAGE_OF_POLISHING_TABLE_decreasing,0.00958037683799571
completed,Cond1,base_direct,p2_secondary_USAGE_OF_POLISHING_TABLE_mean,0.03415035133749502
completed,Cond1,base_direct,p2_secondary_USAGE_OF_POLISHING_TABLE_std,0.0011008376138853147
completed,Cond1,base_direct,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_decreasing,0.0
completed,Cond1,base_direct,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_mean,0.0
completed,Cond1,base_direct,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_std,0.010124855155600335
completed,Cond1,base_direct,p2_secondary_WAFER_ROTATION_mean,0.004306357118473537
completed,Cond1,base_direct,p2_secondary_duration,0.010309833844470359
completed,Cond1,joint_direct,lag_1,18.073430461801102
completed,Cond1,joint_direct,lag_2,0.0
completed,Cond1,joint_direct,lag_3,0.8608434198559864
completed,Cond1,joint_direct,lag_4,0.07208901676988592
completed,Cond1,joint_direct,lag_5,0.08230055021298795
completed,Cond1,joint_direct,lag_6,0.0
completed,Cond1,joint_direct,lag_7,0.0
completed,Cond1,joint_direct,lag_8,0.0
completed,Cond1,joint_direct,lag_9,0.0
completed,Cond1,joint_direct,lag_10,0.17406861602539764
completed,Cond1,joint_direct,lag_11,0.6133322041487344
completed,Cond1,joint_direct,neighbor_1,1.3238319199918211
completed,Cond1,joint_direct,neighbor_2,0.2604301904707242
completed,Cond1,joint_direct,neighbor_3,0.5318619544609401
completed,Cond1,joint_direct,neighbor_4,1.8345394829313317
completed,Cond1,joint_direct,neighbor_5,0.24315972672985076
completed,Cond1,joint_direct,neighbor_6,0.42391273405356167
completed,Cond1,joint_direct,neighbor_7,0.0
completed,Cond1,joint_direct,neighbor_8,0.06123802192667989
completed,Cond1,joint_direct,neighbor_9,0.40769714185272454
completed,Cond1,joint_direct,neighbor_10,0.9121514508144639
completed,Cond1,joint_direct,p2_primary_CENTER_AIR_BAG_PRESSURE_auc,1.145288325809586
completed,Cond1,joint_direct,p2_primary_CENTER_AIR_BAG_PRESSURE_mean,0.024643527290361514
completed,Cond1,joint_direct,p2_primary_CENTER_AIR_BAG_PRESSURE_std,0.0
completed,Cond1,joint_direct,p2_primary_DRESSING_WATER_STATUS_auc,0.484835393821879
completed,Cond1,joint_direct,p2_primary_DRESSING_WATER_STATUS_mean,0.7145916618636479
completed,Cond1,joint_direct,p2_primary_DRESSING_WATER_STATUS_std,0.0
completed,Cond1,joint_direct,p2_primary_EDGE_AIR_BAG_PRESSURE_auc,1.5153722760774908
completed,Cond1,joint_direct,p2_primary_EDGE_AIR_BAG_PRESSURE_mean,0.09616055631768407
completed,Cond1,joint_direct,p2_primary_EDGE_AIR_BAG_PRESSURE_std,0.08203693381196361
completed,Cond1,joint_direct,p2_primary_HEAD_ROTATION_mean,0.0
completed,Cond1,joint_direct,p2_primary_MAIN_OUTER_AIR_BAG_PRESSURE_auc,7.595141807149612
completed,Cond1,joint_direct,p2_primary_MAIN_OUTER_AIR_BAG_PRESSURE_mean,0.0
completed,Cond1,joint_direct,p2_primary_MAIN_OUTER_AIR_BAG_PRESSURE_std,1.4753912148041382
completed,Cond1,joint_direct,p2_primary_PRESSURIZED_CHAMBER_PRESSURE_auc,17.57435803980865
completed,Cond1,joint_direct,p2_primary_PRESSURIZED_CHAMBER_PRESSURE_mean,0.7563637219058967
completed,Cond1,joint_direct,p2_primary_PRESSURIZED_CHAMBER_PRESSURE_std,0.08390818066883894
completed,Cond1,joint_direct,p2_primary_RETAINER_RING_PRESSURE_auc,0.0
completed,Cond1,joint_direct,p2_primary_RETAINER_RING_PRESSURE_mean,0.093826428947229
completed,Cond1,joint_direct,p2_primary_RETAINER_RING_PRESSURE_std,0.1775778796961686
completed,Cond1,joint_direct,p2_primary_RIPPLE_AIR_BAG_PRESSURE_auc,0.21702295999159038
completed,Cond1,joint_direct,p2_primary_RIPPLE_AIR_BAG_PRESSURE_mean,0.0
completed,Cond1,joint_direct,p2_primary_RIPPLE_AIR_BAG_PRESSURE_std,0.7973983844905984
completed,Cond1,joint_direct,p2_primary_SLURRY_FLOW_LINE_A_auc,1.1084325161076332
