condition,feature_1,feature_2,correlation,coefficient_1,coefficient_2
Cond2,p2_primary_USAGE_OF_BACKING_FILM_std,p2_primary_USAGE_OF_PRESSURIZED_SHEET_std,0.9999984845596509,-1045.5812417807444,3830.501126335376
Cond2,p2_primary_USAGE_OF_DRESSER_TABLE_mean,p2_secondary_USAGE_OF_DRESSER_TABLE_mean,0.9999979211930705,178.7787585737433,-179.1930075344172
Cond2,p2_primary_USAGE_OF_DRESSER_mean,p2_secondary_USAGE_OF_DRESSER_mean,0.9999411845675245,92.99742837806124,-93.43315336390461
Cond2,p2_primary_USAGE_OF_MEMBRANE_decreasing,p2_primary_USAGE_OF_PRESSURIZED_SHEET_decreasing,0.9999913233832364,-588.1470555899618,778.2924763832619
Cond2,p2_primary_USAGE_OF_MEMBRANE_mean,p2_primary_USAGE_OF_PRESSURIZED_SHEET_mean,0.9999999999999769,-228.09976239189757,-234.88804276331027
Cond2,p2_primary_USAGE_OF_MEMBRANE_std,p2_primary_USAGE_OF_PRESSURIZED_SHEET_std,0.9999996336053142,-2800.301144920516,3830.501126335376
Cond2,p2_secondary_USAGE_OF_BACKING_FILM_decreasing,p2_secondary_USAGE_OF_MEMBRANE_decreasing,0.9999991334512398,-359.93119078495573,-103.31646978645367
Cond2,p2_secondary_USAGE_OF_BACKING_FILM_decreasing,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_decreasing,0.999999055388566,-359.93119078495573,461.9625367527701
Cond2,p2_secondary_USAGE_OF_BACKING_FILM_mean,p2_secondary_USAGE_OF_MEMBRANE_mean,0.9999999999999134,235.0550143679831,227.82462796522705
Cond2,p2_secondary_USAGE_OF_BACKING_FILM_mean,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_mean,0.999999999999892,235.0550143679831,227.50882660029515
Cond2,p2_secondary_USAGE_OF_BACKING_FILM_std,p2_secondary_USAGE_OF_MEMBRANE_std,0.999999771413464,-823.0419332112278,543.6746202800161
Cond2,p2_secondary_USAGE_OF_BACKING_FILM_std,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_std,0.9999997510761677,-823.0419332112278,280.2389380310142
Cond2,p2_secondary_USAGE_OF_MEMBRANE_decreasing,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_decreasing,0.9999998895564307,-103.31646978645367,461.9625367527701
