condition,feature,ols_standardized_coefficient,ridge_standardized_coefficient,train_min,train_max,imputation_value,scaler_mean,scaler_scale
Cond1,lag_1,0.08637436194416637,0.423325411447563,53.42655,88.70205,73.08145501882058,73.08145501882058,6.649599277169714
Cond1,lag_2,-0.08107352547999369,-0.04452800426295904,53.42655,88.70205,73.08078015075375,73.08078015075377,6.649572051305482
Cond1,lag_3,-0.10823418740064739,-0.08181104438973852,53.42655,88.70205,73.07905358490565,73.07905358490567,6.649394294715448
Cond1,lag_4,0.43419629714426833,0.348789208781675,53.42655,88.70205,73.0794515743073,73.0794515743073,6.649384873303806
Cond1,lag_5,0.015274416613173969,0.001773573913375463,53.42655,88.70205,73.07913253467844,73.07913253467844,6.6493788342514915
Cond1,lag_6,0.18934506848411914,0.08184503189311647,53.42655,88.70205,73.07710965909091,73.07710965909091,6.649136658497511
Cond1,lag_7,-0.16144956138733235,-0.1663450695916489,53.42655,88.70205,73.07836042983566,73.07836042983566,6.649044303167507
Cond1,lag_8,-0.20319825898703314,-0.10907304670286648,53.42655,88.70205,73.07714392405063,73.07714392405063,6.648957158129397
Cond1,lag_9,0.3926509232177864,0.36987971359185495,53.42655,88.70205,73.07693403041824,73.07693403041826,6.648954570415345
Cond1,lag_11,-0.19595638165819906,-0.20105385554330768,53.42655,88.70205,73.07424968233799,73.07424968233799,6.648733193345934
Cond1,neighbor_1,3.276435712686826,2.805315311875713,53.42655,88.70205,72.89205037593985,72.89205037593985,6.528210504051369
Cond1,neighbor_2,0.6282133783732853,0.631376643567138,53.42655,88.70205,73.11473909774436,73.11473909774436,6.674316560336939
Cond1,neighbor_3,0.5337846507128887,0.5905234340157477,53.6943,88.70205,73.13349849624059,73.13349849624059,6.752814825465586
Cond1,neighbor_4,0.39986920694818906,0.46336529181719377,53.64735,86.8872,72.72948496240602,72.72948496240602,6.879049324891132
Cond1,neighbor_5,0.43638635289904215,0.35736304138125724,53.6943,88.70205,73.0942644736842,73.0942644736842,6.939895444589204
Cond1,neighbor_6,0.16607148821895024,0.2182920702694871,53.42655,86.8872,72.95502687969925,72.95502687969925,6.745657859237463
Cond1,neighbor_7,-0.18282149345535714,-0.12111022183245158,53.64735,88.0587,73.25779323308271,73.25779323308271,6.703667214091481
Cond1,neighbor_8,0.18177047678507208,0.21707841175996653,53.42655,86.77335,73.1776969924812,73.1776969924812,6.742583517137453
Cond1,neighbor_9,0.0963376015375843,0.08313345287160358,53.64735,86.8872,73.2499007518797,73.2499007518797,6.839015674371857
Cond1,neighbor_10,0.0780951137497361,0.046382254556616744,53.64735,86.77335,73.3357447368421,73.3357447368421,6.621684676582035
Cond1,p2_primary_CENTER_AIR_BAG_PRESSURE_std,0.505380470047541,0.1734599710984095,24.6642717289444,34.95435849148916,30.91148551234688,30.91148551234688,1.1217631293535786
Cond1,p2_primary_DRESSING_WATER_STATUS_auc,0.241957172960916,0.027651494864815346,0.5,199.0,83.47411340837341,83.47411340837341,68.22538302099788
Cond1,p2_primary_DRESSING_WATER_STATUS_mean,-0.30528072276214147,-0.12494466263401705,0.006622516556291391,1.0,0.45603726478447737,0.45603726478447737,0.36906767191114587
Cond1,p2_primary_EDGE_AIR_BAG_PRESSURE_auc,0.18804735291941554,0.030937965810017242,5637.027272634688,7704.810757406771,6688.619943334524,6688.619943334524,288.39772638605916
Cond1,p2_primary_EDGE_AIR_BAG_PRESSURE_mean,0.38530163481548385,0.2892594440082803,25.991473672088972,41.85631145895318,36.170989208915756,36.170989208915756,1.3493336084868017
Cond1,p2_primary_EDGE_AIR_BAG_PRESSURE_std,-0.6149710095864371,-0.10841766256897584,17.1174095962901,24.857955809253436,21.82190532359683,21.82190532359683,0.8280333936995361
Cond1,p2_primary_MAIN_OUTER_AIR_BAG_PRESSURE_auc,2.3610024948503323,-0.03692536179229038,31570.999800002573,40922.8685991168,35317.36360494438,35317.36360494438,1393.629401115781
Cond1,p2_primary_MAIN_OUTER_AIR_BAG_PRESSURE_mean,-1.6169853681246025,0.16438791870099637,136.32547528517114,227.87284768211921,190.99309933973117,190.99309933973117,6.026677323811806
Cond1,p2_primary_MAIN_OUTER_AIR_BAG_PRESSURE_std,-0.14505776039054297,0.028627479055892215,95.18556706065748,131.1949360766281,116.22134052388506,116.22134052388506,3.340351280759773
Cond1,p2_primary_PRESSURIZED_CHAMBER_PRESSURE_auc,0.8995176124838764,0.3523793039146966,10284.5219047899,13608.88047630165,11448.986414243234,11448.986414243234,532.3413738339086
Cond1,p2_primary_PRESSURIZED_CHAMBER_PRESSURE_mean,-1.4906601708016893,-0.8775134493666804,43.97609994567641,74.99303815094913,61.90354409111269,61.90354409111269,2.3239619069617294
Cond1,p2_primary_RETAINER_RING_PRESSURE_auc,0.015371543889727945,0.013849514563836911,202406.74155010883,326590.2549205363,286664.6726562804,286664.6726562804,11342.544222761062
Cond1,p2_primary_RIPPLE_AIR_BAG_PRESSURE_auc,-3.146756977400493,-0.6470733064272549,1193.7699773081652,1536.1608863410015,1329.8822186460811,1329.8822186460811,52.05346853543226
Cond1,p2_primary_RIPPLE_AIR_BAG_PRESSURE_mean,1.8151172118786363,0.049541974497665814,5.1422398893893915,8.457254665865419,7.192107516776515,7.192107516776515,0.23343046781572907
Cond1,p2_primary_RIPPLE_AIR_BAG_PRESSURE_std,0.3842692280478565,0.24786724403730637,3.519028983670203,4.904543672227092,4.310086350898242,4.310086350898242,0.1380560698377225
Cond1,p2_primary_SLURRY_FLOW_LINE_A_auc,-1.077537396865969,-0.9544629438391667,407.0833333331201,1268.7011111439792,981.6546187948551,981.6546187948551,108.40057603866236
Cond1,p2_primary_SLURRY_FLOW_LINE_A_mean,-0.5831855463290978,-0.4821357359165712,2.7786975717425832,7.092836257307473,5.3260333351376365,5.3260333351376365,0.6288527394158214
Cond1,p2_primary_SLURRY_FLOW_LINE_A_std,0.5658268273641802,0.3515586477823639,3.0257044382989156,8.904330695278556,7.015903667835331,7.015903667835331,0.5663452518905178
Cond1,p2_primary_SLURRY_FLOW_LINE_B_auc,0.5645429015114014,0.42089031262103566,136.36363636365002,190.00000000001899,166.55635680106144,166.55635680106144,6.291975374815929
Cond1,p2_primary_SLURRY_FLOW_LINE_C_auc,-0.8031499945896119,-0.37482191894193984,48769.467599987984,66273.24199945928,57084.69210441985,57084.69210441985,2613.110394511424
Cond1,p2_primary_SLURRY_FLOW_LINE_C_mean,0.4021261118331836,0.18063437227612017,238.5003802281369,401.1046357615894,309.27122598427826,309.27122598427826,10.113592293296605
Cond1,p2_primary_SLURRY_FLOW_LINE_C_std,-0.19867463858012258,-0.14260824188194893,105.49496792101228,231.5422134778499,191.68110699285702,191.68110699285702,7.74307053878803
Cond1,p2_primary_STAGE_ROTATION_mean,0.3489252765980657,0.3777577030771894,0.0,117.06035297812944,53.65725951227626,53.65725951227626,12.13659449422532
