condition,train_n,selected_features,design_columns,retained_rank,largest_singular_value,smallest_singular_value,effective_condition_number,rcond,high_correlation_pairs,max_abs_ols_coefficient,max_abs_ridge_coefficient
Cond1,798,91,92,88,134.67403893417475,3.3737661398154736e-06,573285.0313750528,1e-06,26,5504.176349957736,2.805315311875713
Cond2,815,86,87,82,122.60874381650474,2.035675789583381e-06,284416.8091206141,1e-06,20,3830.501126335376,3.4852565003720866
Cond3,364,54,55,49,75.26724695193062,4.0928047124683995e-11,723556.218867857,1e-06,29,19952.297325621497,1.3892858658819511
