evaluation,procedure,original_mse,candidate_mse,relative_mse_change_percent,descriptive_delta_low,descriptive_delta_high
nested_oof,no_lr,36.406158288213945,36.356540429836905,-0.1362897397309326,-0.15774549538807414,0.019581405695631826
nested_oof,ridge10,36.406158288213945,36.35281669530673,-0.14651804918534017,-0.29195762562270666,0.2921332610441158
temporal,no_lr,32.436459824110194,32.43867415354111,0.006826668023940385,-0.15361621957653623,0.12299756959707486
temporal,ridge10,32.436459824110194,32.42760166302144,-0.027309272148645647,-0.3258514718966594,0.39375646172821815
test,no_lr,7.074313480095854,7.077753716074884,0.0486299623095654,,
test,ridge10,7.074313480095854,7.16865352459668,1.3335575920724985,,
validation,no_lr,6.827695951448247,6.810852537821798,-0.2466924969451223,,
validation,ridge10,6.827695951448247,6.853547832791989,0.3786325801203638,,
