split,model,repeat,stage,n_v2,mse_v2,rmse_v2,mae_v2,r2_v2,relative_error_v2,mape_percent_v2,s_score_literal_mean_v2,s_score_minus_one_mean_v2,s_score_overflow,n_v1,mse_v1,rmse_v1,mae_v1,r2_v1,relative_error_v1,mape_percent_v1,s_score_literal_mean_v1,s_score_minus_one_mean_v1,mse_reduction_percent
test,P1_CART_Stack,0,all,424,58.24470496390916,7.631821864005288,4.246005606033204,0.9333473375489337,0.05459107114654728,5.459107114654728,21.048879582388288,20.048879582388288,False,424,67.33497542412367,8.205789140851943,4.91236986986186,0.9229448343694772,0.06236664669101201,6.236664669101201,22.927368938107342,21.927368938107342,13.500072440744958
test,P1_CART_Stack,0,A,238,84.12673493253966,9.17206274141971,4.549875894615082,0.939638601246868,0.05929583888904081,5.929583888904081,36.34806716304348,35.348067163043474,False,238,93.5882706291236,9.674103091714684,5.238815444677871,0.9328498969252695,0.0671329536259246,6.71329536259246,39.61785824891399,38.61785824891399,10.109745198817265
test,P1_CART_Stack,0,B,186,25.126838659962587,5.012667818633366,3.8571823335467164,0.6547037791832664,0.04857099199217382,4.857099199217382,1.4724997748832604,0.4724997748832602,False,186,33.742049301596865,5.808790691839126,4.49465994079621,0.5363124560107058,0.05626782383881204,5.6267823838812046,1.5707213253547527,0.5707213253547525,25.532564915156343
test,P1_ELM_Stack,0,all,424,53.98466595228067,7.347425804476059,4.400343838511236,0.9382223376445886,0.053326286697853824,5.332628669785382,5.708893483030396,4.708893483030396,False,424,46.737908401085214,6.836512883121425,4.029845266346941,0.9465152062448132,0.05058924327971689,5.058924327971689,6.080789001550174,5.080789001550174,-15.505095968366422
test,P1_ELM_Stack,0,A,238,80.32406004403722,8.962369108892872,5.113240622304353,0.9423670415632249,0.06052445412274603,6.0524454122746025,9.066310087416486,8.066310087416486,False,238,65.93324807082631,8.119929068090823,4.367853223631074,0.952692528943579,0.054681608286054756,5.468160828605476,9.71610328534044,8.71610328534044,-21.826335565558864
test,P1_ELM_Stack,0,B,186,20.28157028648461,4.503506443482079,3.4881425775286448,0.721288074997234,0.044115728379981026,4.4115728379981025,1.412844279568622,0.4128442795686218,False,186,22.176129683889627,4.709153818244805,3.5973404607898227,0.6952527981806894,0.045352776228596396,4.535277622859639,1.429150294334673,0.4291502943346728,8.543237365631773
test,P1_ERT,0,all,424,57.41991805186652,7.577593156924335,4.614781875000003,0.9342911871860209,0.05595194152373,5.595194152373,5.461348477307715,4.461348477307716,False,424,57.41991805186655,7.577593156924338,4.614781875000004,0.9342911871860209,0.05595194152373001,5.595194152373001,5.461348477307717,4.461348477307717,6.661338147750939e-14
test,P1_ERT,0,A,238,85.2768056460854,9.234544149338689,5.356358048319331,0.9388134191333544,0.06361833745327386,6.361833745327386,8.61530612566299,7.615306125662991,False,238,85.27680564608544,9.23454414933869,5.356358048319333,0.9388134191333544,0.06361833745327389,6.361833745327389,8.615306125662991,7.615306125662993,3.3306690738754696e-14
test,P1_ERT,0,B,186,21.775083388296153,4.6663779731496415,3.6658833306451637,0.7007640275126004,0.04614225210850719,4.614225210850719,1.4256392283369879,0.4256392283369877,False,186,21.775083388296146,4.666377973149641,3.6658833306451646,0.7007640275126004,0.04614225210850719,4.614225210850719,1.4256392283369879,0.42563922833698764,-2.220446049250313e-14
test,P1_GBT,0,all,424,42.079152634437015,6.486844582263168,3.975123475200813,0.951846480147716,0.04866202304101965,4.866202304101965,5.092913641205355,4.092913641205354,False,424,42.079152634437015,6.486844582263168,3.975123475200813,0.951846480147716,0.04866202304101965,4.866202304101965,5.092913641205355,4.092913641205355,0.0
test,P1_GBT,0,A,238,56.46518725851099,7.514332123250275,4.166050338814708,0.9594859150718931,0.05000537113293155,5.000537113293155,7.941759060597181,6.941759060597181,False,238,56.46518725851099,7.514332123250275,4.166050338814708,0.9594859150718931,0.05000537113293155,5.000537113293155,7.941759060597181,6.941759060597181,0.0
test,P1_GBT,0,B,186,23.671215857396124,4.865307375428209,3.730819208856151,0.6747071333442394,0.04694311526749797,4.694311526749797,1.447616814241622,0.4476168142416217,False,186,23.671215857396124,4.865307375428209,3.730819208856151,0.6747071333442394,0.04694311526749797,4.694311526749797,1.447616814241622,0.4476168142416217,0.0
test,P1_RF,0,all,424,44.47447272839373,6.668918407687541,4.208447143688811,0.9491053818490177,0.05223253914021696,5.223253914021695,3.02379074116253,2.0237907411625304,False,424,44.47447272839373,6.668918407687541,4.20844714368881,0.9491053818490177,0.05223253914021696,5.223253914021695,3.023790741162527,2.0237907411625264,0.0
