split,model,stage,rmse_mean,rmse_std,mse_mean,mse_std
test,P1_CART_Stack,A,8.900813231417002,0.2518019302132975,79.28471018202417,4.4195131132374375
test,P1_CART_Stack,B,4.846700793974305,0.09636532638950679,23.499330548634802,0.9347548034362761
test,P1_CART_Stack,all,7.401603360891842,0.17498762259030337,54.81282194662223,2.567385216871341
test,P1_ELM_Stack,A,8.602216117751073,0.34169000287115076,74.10903659165534,5.945860317814612
test,P1_ELM_Stack,B,4.6180252533373665,0.060449518714191616,21.329628677558787,0.5573494303293105
test,P1_ELM_Stack,all,7.134748568303264,0.23208126641416213,50.95580576141487,3.3460019218406463
test,P1_ERT,A,9.303593946092196,0.1588764154552919,86.58083994338189,2.957657306374045
test,P1_ERT,B,4.6843577655535995,0.04336930814036112,21.944994527746456,0.4066860772741386
test,P1_ERT,all,7.629856104625524,0.11112762189040129,58.226436058221054,1.6955028087246968
test,P1_GBT,A,7.386713005165753,0.21517992314024587,54.60751630004138,3.1929785890510574
test,P1_GBT,B,4.86820176345893,0.01883541998248176,23.69972544413826,0.18343886485023092
test,P1_GBT,all,6.405500102656805,0.13946653577895474,41.04890993400841,1.7925426349036302
test,P1_RF,A,7.760241647706453,0.2113629867573069,60.26379102736016,3.275507533700925
test,P1_RF,B,4.629442138128873,0.04759893736119326,21.43388688617925,0.44022334179030614
test,P1_RF,all,6.5735602421677,0.1385022397199816,43.22991798429495,1.8152026259240706
validation,P1_CART_Stack,A,11.655159752870391,0.3130021055513037,135.93582066710536,7.3197013424219195
validation,P1_CART_Stack,B,5.099897626211412,0.13607322337403377,26.02654592385022,1.3919450463234508
validation,P1_CART_Stack,all,9.555208270313814,0.22472839861053862,91.34998279955846,4.30788192260315
validation,P1_ELM_Stack,A,9.92233383219018,0.39845981297678523,98.6035403888555,7.997723391548679
validation,P1_ELM_Stack,B,4.88748860658572,0.10407257957736826,23.89783442623411,1.0256629888401185
validation,P1_ELM_Stack,all,8.259554147986124,0.2868353529397867,68.29839551722607,4.779999826822695
validation,P1_ERT,A,10.554085339086114,0.19565882555377306,111.42508560192871,4.122959251252128
validation,P1_ERT,B,5.050786530603349,0.03938262417689304,25.511918019256925,0.39835955140420026
validation,P1_ERT,all,8.749532669566797,0.14214775286427228,76.57351762027884,2.4821573955562086
validation,P1_GBT,A,10.349863282871166,0.3583730142896892,107.2416796306272,7.335050377760117
validation,P1_GBT,B,5.4254455034725835,0.022982794409889797,29.43596070954782,0.24923899493618257
validation,P1_GBT,all,8.695873043534329,0.2529288295705186,75.6789823324535,4.361735266118021
validation,P1_RF,A,10.934606498311357,0.20015004753939525,119.6036763123665,4.3897505593598565
validation,P1_RF,B,5.065191623235514,0.03930159834224923,25.657633564945865,0.3976785527158179
validation,P1_RF,all,9.026226448187028,0.14770263925208169,81.49348916011095,2.671224989168875
