split,model,repeat,stage,n,mse,rmse,mae,r2,relative_error,mape_percent,s_score_literal_mean,s_score_minus_one_mean,s_score_overflow
test,P1_CART_Stack,0,all,424,58.24470496390916,7.631821864005288,4.246005606033204,0.9333473375489337,0.05459107114654728,5.459107114654728,21.048879582388288,20.048879582388288,False
test,P1_CART_Stack,0,A,238,84.12673493253966,9.17206274141971,4.549875894615082,0.939638601246868,0.05929583888904081,5.929583888904081,36.34806716304348,35.348067163043474,False
test,P1_CART_Stack,0,B,186,25.126838659962587,5.012667818633366,3.8571823335467164,0.6547037791832664,0.04857099199217382,4.857099199217382,1.4724997748832604,0.4724997748832602,False
test,P1_CART_Stack,1,all,424,54.69251745316311,7.39543896284481,4.0960208475581785,0.9374123037164739,0.05235068954190846,5.235068954190846,15.760796751286886,14.760796751286886,False
test,P1_CART_Stack,1,A,238,79.05395658210004,8.891229194104719,4.416929668918013,0.9432783478392287,0.05687350380277988,5.687350380277988,26.94949300064524,25.94949300064524,False
test,P1_CART_Stack,1,B,186,23.52035340645885,4.849778696647801,3.6853955815170982,0.6767803043816607,0.04656343258444932,4.656343258444932,1.444077894581039,0.4440778945810392,False
test,P1_CART_Stack,2,all,424,56.7468669915698,7.533051638716531,4.170995525069409,0.9350613970301962,0.0534424578925136,5.34424578925136,19.05775469367628,18.05775469367628,False
test,P1_CART_Stack,2,A,238,81.5046165975032,9.027990728700557,4.419570070149999,0.9415199856905404,0.05740092953184022,5.740092953184022,32.802935710202554,31.80293571020255,False
test,P1_CART_Stack,2,B,186,25.06759599042922,5.006755035991797,3.8529270211490845,0.6555178995020935,0.04837731676262256,4.837731676262256,1.4698348983362142,0.469834898336214,False
test,P1_CART_Stack,3,all,424,54.36314285808994,7.37313656852292,4.074119409956715,0.9377892254249618,0.05191986175669955,5.191986175669955,16.30317413663721,15.303174136637208,False
test,P1_CART_Stack,3,A,238,79.44412836680165,8.91314357377921,4.415829050970859,0.9429983974204055,0.05687416341852871,5.687416341852871,27.927569293872608,26.927569293872608,False
test,P1_CART_Stack,3,B,186,22.270268927587868,4.719138578976874,3.6368780413472193,0.6939591246899871,0.04558048651199341,4.558048651199341,1.4289480752284758,0.42894807522847583,False
test,P1_CART_Stack,4,all,424,53.60034697255215,7.321225783470426,4.138702447813362,0.9386621352750385,0.05274138200704646,5.274138200704646,13.512665374158482,12.512665374158482,False
test,P1_CART_Stack,4,A,238,77.01488282032082,8.775812373810234,4.362016090684204,0.9447413945689098,0.05613945932415681,5.613945932415681,22.93349869643699,21.93349869643699,False
test,P1_CART_Stack,4,B,186,23.6398118555148,4.862078964343833,3.8529570338173373,0.6751386911424523,0.04839330457977622,4.8393304579776215,1.4580506929634098,0.4580506929634099,False
test,P1_CART_Stack,5,all,424,52.32357611249175,7.2335037231269705,4.158092951231667,0.9401232153374356,0.0531188340259205,5.31188340259205,11.319067518925399,10.319067518925399,False
test,P1_CART_Stack,5,A,238,75.55913168711858,8.692475578747322,4.523553805749025,0.945785904078366,0.05840756954898,5.840756954898,19.04401416230908,18.04401416230908,False
test,P1_CART_Stack,5,B,186,22.592058764313347,4.753110430477431,3.6904602449137562,0.6895370477219207,0.04635152728136051,4.635152728136051,1.4344583730903726,0.4344583730903727,False
test,P1_CART_Stack,6,all,424,52.716357282974315,7.260603093612425,4.122091440598186,0.9396737339504231,0.05246600761755279,5.246600761755279,12.586337629156846,11.586337629156848,False
test,P1_CART_Stack,6,A,238,75.69663844088358,8.70038151122602,4.3441173832377595,0.9456872422201362,0.055740724998245096,5.57407249982451,21.286598898888546,20.286598898888546,False
test,P1_CART_Stack,6,B,186,23.311481392746337,4.828196494835969,3.8379937290486232,0.6796506502276041,0.048275777850860464,4.827577785086047,1.453745251758224,0.4537452517582236,False
test,P1_CART_Stack,7,all,424,56.66694961439629,7.527745320771438,4.160653062238728,0.9351528509394919,0.053549863549700524,5.354986354970053,17.67149533629469,16.67149533629469,False
test,P1_CART_Stack,7,A,238,82.23164695221423,9.06816668087956,4.540893883944214,0.9409983373800297,0.059074916915462926,5.9074916915462925,30.351390933020678,29.351390933020678,False
test,P1_CART_Stack,7,B,186,23.95513259073675,4.89439808257734,3.674108354895147,0.6708055133921298,0.046480171608563686,4.6480171608563685,1.4466826910216515,0.4466826910216511,False
test,P1_CART_Stack,8,all,424,53.45037978856123,7.310976664479324,4.105738709948547,0.9388337510828528,0.052610124200514766,5.261012420051476,15.330832602978106,14.330832602978106,False
test,P1_CART_Stack,8,A,238,77.89256201857174,8.825676292419281,4.400437327679857,0.9441116548778896,0.056866441974807586,5.686644197480758,26.183640607086563,25.183640607086563,False
test,P1_CART_Stack,8,B,186,22.174899300698325,4.709023179036001,3.7286512313461198,0.6952697062633919,0.04716386812373146,4.716386812373146,1.4439062321296408,0.4439062321296409,False
test,P1_CART_Stack,9,all,424,54.67959149745474,7.39456499717561,4.156495285404098,0.937427095608084,0.053095573052630185,5.309557305263018,16.38812211466009,15.388122114660089,False
test,P1_CART_Stack,9,A,238,79.60991038179009,8.922438589409852,4.459938150109032,0.9428794479054761,0.05738747504593511,5.738747504593511,28.063649776133218,27.063649776133218,False
test,P1_CART_Stack,9,B,186,22.779506043305215,4.7727880786082695,3.7682189316418695,0.6869611233124004,0.04760378448055185,4.760378448055185,1.4484684403019945,0.4484684403019944,False
test,P1_CART_Stack,10,all,424,58.52151280693356,7.649935477305253,4.066372506803084,0.933030570904887,0.05208519735476778,5.208519735476778,32.5776170972902,31.5776170972902,False
test,P1_CART_Stack,10,A,238,86.26975451618594,9.288151297012012,4.432757505976955,0.9381009728136717,0.05739387825784185,5.739387825784185,56.915612514893134,55.915612514893134,False
test,P1_CART_Stack,10,B,186,23.015698146707393,4.797467889075173,3.597557292806412,0.6837153413103264,0.04529236910244717,4.529236910244717,1.4354509177767691,0.43545091777676925,False
test,P1_CART_Stack,11,all,424,56.429506723875555,7.511957582672812,4.204448027055084,0.9354245700741856,0.0542569174277639,5.42569174277639,16.46297243967251,15.46297243967251,False
test,P1_CART_Stack,11,A,238,82.12087863921242,9.062057086512555,4.588856051618423,0.9410778142587612,0.05991170838641255,5.9911708386412545,28.192663772343224,27.192663772343224,False
