fold,model,mse,train_n,validation_n
0,P2_Persistent,20.654698581303677,652,163
0,P2_KNN,15.531503089827144,652,163
0,P2_LR,43.01473181165995,652,163
0,P2_SVR,12.371660210354566,652,163
0,P2_Bagging,9.02092196966623,652,163
1,P2_Persistent,15.603885565536812,652,163
1,P2_KNN,18.53832765328206,652,163
1,P2_LR,9.208618471479369,652,163
1,P2_SVR,11.687319100103034,652,163
1,P2_Bagging,9.061308267662284,652,163
2,P2_Persistent,17.62300209119632,652,163
2,P2_KNN,15.794118823689116,652,163
2,P2_LR,9.40625147024046,652,163
2,P2_SVR,11.446945346961284,652,163
2,P2_Bagging,9.45216661218797,652,163
3,P2_Persistent,21.7200328952105,652,163
3,P2_KNN,21.429633895343564,652,163
3,P2_LR,9.800401781016593,652,163
3,P2_SVR,10.172047159235323,652,163
3,P2_Bagging,9.012083842715773,652,163
4,P2_Persistent,22.44991762559815,652,163
4,P2_KNN,18.72053269767194,652,163
4,P2_LR,830.4288949468216,652,163
4,P2_SVR,16.474164863887683,652,163
4,P2_Bagging,10.593557322412249,652,163
5,P2_Persistent,15.873801871078445,652,163
5,P2_KNN,17.925020456850007,652,163
5,P2_LR,9.324157032679798,652,163
5,P2_SVR,12.794140597153229,652,163
5,P2_Bagging,9.110226705806777,652,163
6,P2_Persistent,12.070393886042941,652,163
6,P2_KNN,15.326413553299698,652,163
6,P2_LR,7.956782127132475,652,163
6,P2_SVR,10.076309478544646,652,163
6,P2_Bagging,7.307781689314854,652,163
7,P2_Persistent,17.5346020354141,652,163
7,P2_KNN,19.19310719604984,652,163
7,P2_LR,200.77379462100654,652,163
7,P2_SVR,12.667457364390817,652,163
7,P2_Bagging,9.321914629680146,652,163
8,P2_Persistent,18.02933924383435,652,163
8,P2_KNN,17.09233987447822,652,163
8,P2_LR,36.570881759659066,652,163
8,P2_SVR,11.774629686791931,652,163
8,P2_Bagging,8.806329516686795,652,163
9,P2_Persistent,20.68787705631082,652,163
9,P2_KNN,22.137391759921,652,163
9,P2_LR,2636.283504186425,652,163
9,P2_SVR,10.723064737179167,652,163
9,P2_Bagging,9.076387604963738,652,163
10,P2_Persistent,20.169571673465786,652,163
10,P2_KNN,24.059031794621777,652,163
10,P2_LR,5962.988529842742,652,163
10,P2_SVR,11.244306646020553,652,163
10,P2_Bagging,10.30698945572431,652,163
11,P2_Persistent,19.293869575984882,652,163
11,P2_KNN,18.207842221660588,652,163
11,P2_LR,1144.1993921953333,652,163
11,P2_SVR,9.188017507155363,652,163
11,P2_Bagging,8.883955390150136,652,163
12,P2_Persistent,16.471307485904898,652,163
12,P2_KNN,16.788385672636203,652,163
12,P2_LR,11.47110710691979,652,163
12,P2_SVR,11.048771271345187,652,163
12,P2_Bagging,8.67128908622082,652,163
13,P2_Persistent,17.850430736529905,652,163
13,P2_KNN,20.267979512068713,652,163
13,P2_LR,9.228707588896345,652,163
13,P2_SVR,11.777757875308561,652,163
13,P2_Bagging,10.328935420376634,652,163
14,P2_Persistent,18.87616553935583,652,163
14,P2_KNN,25.003355213354894,652,163
14,P2_LR,709.2504636555376,652,163
14,P2_SVR,11.95132388075642,652,163
14,P2_Bagging,9.024246389188638,652,163
15,P2_Persistent,15.786623981733126,652,163
15,P2_KNN,21.395782652745105,652,163
15,P2_LR,8.618973974057708,652,163
15,P2_SVR,11.788184147411254,652,163
15,P2_Bagging,7.775671819327959,652,163
16,P2_Persistent,20.436674254923314,652,163
16,P2_KNN,18.2597720157994,652,163
16,P2_LR,25.607075712199048,652,163
16,P2_SVR,16.44631654804411,652,163
16,P2_Bagging,11.620424524594918,652,163
17,P2_Persistent,20.412181873435586,652,163
17,P2_KNN,26.151404723902008,652,163
17,P2_LR,340.4097013064937,652,163
17,P2_SVR,9.808839016218949,652,163
17,P2_Bagging,9.98409130105881,652,163
18,P2_Persistent,17.475281348822218,652,163
18,P2_KNN,25.55861172413325,652,163
18,P2_LR,231.73212993884596,652,163
18,P2_SVR,14.105980111292137,652,163
18,P2_Bagging,10.11178161970109,652,163
19,P2_Persistent,19.665621426533743,652,163
19,P2_KNN,25.846236969435274,652,163
19,P2_LR,44.70971584987042,652,163
19,P2_SVR,15.338287106072492,652,163
19,P2_Bagging,9.676941630960059,652,163
