model,stage,metric,paper_value,v1,v2,v2_minus_paper
P1_CART_Stack,A,rmse,5.065,9.674103091714684,9.17206274141971,4.10706274141971
P1_CART_Stack,B,rmse,4.5,5.808790691839126,5.012667818633366,0.512667818633366
P1_ELM_Stack,A,rmse,4.795,8.119929068090823,8.962369108892872,4.167369108892872
P1_ELM_Stack,B,rmse,4.485,4.709153818244805,4.503506443482079,0.01850644348207897
P2_Integrated,all,mse,7.07,8.00582199024939,7.074313480095851,0.0043134800958508634
P2_LR,all,mse,7.32,512.774705894672,351.1078911688693,343.7878911688693
P2_SVR,all,mse,7.44,10.770076841268065,9.080986326813624,1.640986326813624
P2_Bagging,all,mse,7.22,8.042517494755117,7.170210676196104,-0.049789323803895336
P2_KNN,all,mse,9.6,16.49239315816468,11.471022391472408,1.8710223914724082
P2_Persistent,all,mse,8.23,15.90132945168043,12.98903367810142,4.759033678101419
P3_RF,all,mse,7.6,9.477434967180152,9.477434967180155,1.8774349671801556
P3_RF_CPP,all,mse,7.4,8.685100884166744,8.685100884166745,1.285100884166745
