track,split,model,repeat,stage,n,mse,rmse,mae,r2,relative_error,mape_percent,s_score_literal_mean,s_score_minus_one_mean
grouped,test,P1_CART_Stack,0,all,296,40.81615578053621,6.388752286678222,4.94174045909749,0.9474692095111976,0.061376528416906086,6.137652841690609,1.673148935692489,0.673148935692489
grouped,test,P1_CART_Stack,0,A,174,30.78235303687217,5.548184661389,4.387590994458128,0.97386872862013,0.05244544233359247,5.244544233359247,1.528761954934789,0.5287619549347888
grouped,test,P1_CART_Stack,0,B,122,55.12666133297508,7.424733081597956,5.732084777517564,-0.4367033994825773,0.07411430692917303,7.411430692917303,1.8790779082485531,0.8790779082485529
grouped,test,P1_CART_Stack,1,all,296,39.58375275285009,6.291562028053931,4.757654022884491,0.9490553242250193,0.05970826656745943,5.970826656745943,1.742963793667912,0.7429637936679118
grouped,test,P1_CART_Stack,1,A,174,34.092566887898286,5.838884044738197,4.29811801758347,0.9710586738993958,0.052338209238048994,5.233820923804899,1.709304958021547,0.709304958021547
grouped,test,P1_CART_Stack,1,B,122,47.41544406843709,6.885887311627826,5.413057833723651,-0.23573472497510228,0.07021965980776611,7.021965980776611,1.7909690182783011,0.7909690182783012
grouped,test,P1_CART_Stack,2,all,296,35.49526499839486,5.957790278148003,4.58626527027027,0.954317247831939,0.05738431140053599,5.738431140053598,1.6067361965874787,0.6067361965874786
grouped,test,P1_CART_Stack,2,A,174,26.078958710228893,5.106756182766992,3.9696080678708254,0.9778614602156918,0.048114052341579956,4.811405234157996,1.4669706189783116,0.4669706189783115
grouped,test,P1_CART_Stack,2,B,122,48.92507888479551,6.994646444588569,5.465759968774397,-0.2750786181149183,0.07060582841904706,7.060582841904706,1.8060739876038316,0.8060739876038315
grouped,test,P1_CART_Stack,3,all,296,34.03211305285659,5.8337049165051695,4.385788980252573,0.9562003386530744,0.05478115825675953,5.478115825675952,1.5778134127978525,0.5778134127978528
grouped,test,P1_CART_Stack,3,A,174,24.016448678998685,4.900657984291363,3.8185600608921724,0.979612333818019,0.045991241465149366,4.599124146514937,1.4347528177965543,0.4347528177965544
grouped,test,P1_CART_Stack,3,B,122,48.316749127047366,6.95102504146312,5.194787602946914,-0.25922441236710214,0.06731759695954781,6.731759695954781,1.781850654848885,0.7818506548488849
grouped,test,P1_CART_Stack,4,all,296,39.871793834196694,6.314411598414907,4.812219312057593,0.9486846125446311,0.060601025868052355,6.060102586805235,1.699304503233276,0.6993045032332761
grouped,test,P1_CART_Stack,4,A,174,35.949195375389394,5.995764786529688,4.492862657703885,0.9694825740216472,0.05537682268245146,5.537682268245146,1.6681693647576368,0.668169364757637
grouped,test,P1_CART_Stack,4,B,122,45.466319504954654,6.7428717550428505,5.267695196135834,-0.18493691101978582,0.06805193860817166,6.805193860817166,1.743710356469024,0.7437103564690238
grouped,test,P1_CART_Stack,5,all,296,31.685621095049925,5.628998231928122,4.2468458880308875,0.9592202966834673,0.05320535278053495,5.3205352780534945,1.548232117528849,0.5482321175288487
grouped,test,P1_CART_Stack,5,A,174,23.604588267320107,4.858455337586228,3.7379427357006016,0.9799619638861073,0.04541774764033768,4.541774764033768,1.4422622000496554,0.44226220004965544
grouped,test,P1_CART_Stack,5,B,122,43.2110285706646,6.573509608319182,4.972658580698671,-0.12615983158547261,0.06431226502966876,6.431226502966876,1.6993695408188456,0.6993695408188458
grouped,test,P1_CART_Stack,6,all,296,34.369246734798324,5.862529039143288,4.649038187138031,0.9557664443170172,0.05811122691713729,5.811122691713729,1.597762557712644,0.5977625577126442
grouped,test,P1_CART_Stack,6,A,174,24.83816397606907,4.983790121591103,4.036815043103449,0.9789147761817001,0.04884918623964077,4.884918623964077,1.4634365937061158,0.46343659370611573
grouped,test,P1_CART_Stack,6,B,122,47.962758210363,6.925515014088338,5.522208900761125,-0.2499987502085601,0.07132102263750122,7.132102263750122,1.7893422112957256,0.7893422112957255
