track,split,model,stage,repeats,mse_mean,mse_std,rmse_mean,rmse_std
grouped,test,P1_CART_Stack,A,20,29.253907419269446,5.096442637046552,5.390056232335359,0.4602073120169787
grouped,test,P1_CART_Stack,B,20,46.68182725061338,4.729887310495524,6.824146309450339,0.344665204187452
grouped,test,P1_CART_Stack,all,20,36.43703653894498,3.6245810665803475,6.029372595059678,0.2968300043145491
grouped,test,P1_ELM_Stack,A,20,950.4667333348882,986.4203558136858,27.15070326700205,14.984414550216119
grouped,test,P1_ELM_Stack,B,20,61.244816041321045,23.180014062616454,7.710505092170438,1.3737874136219543
grouped,test,P1_ELM_Stack,all,20,583.9631052611882,582.1023733209739,21.582103532234182,11.153281904779748
grouped,test,P1_ERT,A,20,50.81082323906391,2.7561639096506396,7.125592166172581,0.19670849510421415
grouped,test,P1_ERT,B,20,25.07679052474176,0.5507468303487236,5.007385064453508,0.055110807323910334
grouped,test,P1_ERT,all,20,40.20422867437708,1.6668964557339698,6.339351983615588,0.13316037899023894
grouped,test,P1_GBT,A,20,197.42675444098006,3.247625400885245,14.050412239979005,0.11548673939915496
grouped,test,P1_GBT,B,20,34.38841403279943,0.27870520291795847,5.8641177045244595,0.023788105878372243
grouped,test,P1_GBT,all,20,130.22851954301373,1.8936893352239828,11.411484881331418,0.08292257744878687
grouped,test,P1_RF,A,20,61.9339847888691,4.740420290625555,7.864401986218238,0.29941379224241865
grouped,test,P1_RF,B,20,31.004586376529254,0.7776246966200437,5.567761466349266,0.06972600787544776
grouped,test,P1_RF,all,20,49.186057064864166,2.976104907922192,7.01025788994983,0.2111157857927079
grouped,validation,P1_CART_Stack,A,20,55.6678115189717,18.38640769900176,7.364425399092225,1.2281993924256585
grouped,validation,P1_CART_Stack,B,20,43.807442432919274,3.3316206364396668,6.614240630394571,0.24976476544919243
grouped,validation,P1_CART_Stack,all,20,50.79587539608148,10.832022517654146,7.089202544248719,0.75329639284453
grouped,validation,P1_ELM_Stack,A,20,882.622303205181,1247.3806782507702,25.294268334001025,15.987570588387321
grouped,validation,P1_ELM_Stack,B,20,39.443802476430506,5.136294263705764,6.2677437470135775,0.40935224595207287
grouped,validation,P1_ELM_Stack,all,20,536.2661513906775,734.5368102180806,19.96320302760659,12.041012209122997
grouped,validation,P1_ERT,A,20,110.52618269572773,5.395263240072637,10.510157927186171,0.25703377073512196
grouped,validation,P1_ERT,B,20,34.428053333255846,0.8254999348669037,5.86714064710045,0.07044191633107257
grouped,validation,P1_ERT,all,20,79.26701844582344,3.118203068306316,8.90156716449507,0.17508031782933625
grouped,validation,P1_GBT,A,20,155.02145752649744,1.5462909486258765,12.450614516086679,0.062033083780129235
grouped,validation,P1_GBT,B,20,36.39457010443357,0.34810171573485243,6.032725816077372,0.028824924652835832
grouped,validation,P1_GBT,all,20,106.29256774369681,0.8533480316601514,10.309749866061736,0.041364145888274535
grouped,validation,P1_RF,A,20,114.25785120383213,7.065923743131358,10.684351167981449,0.3284594392737307
grouped,validation,P1_RF,B,20,32.88728477598503,0.610605846486781,5.734509127449181,0.053211031573489685
grouped,validation,P1_RF,all,20,80.83290472505318,4.219161216228844,8.987839644123454,0.2331551472979824
official,test,P1_CART_Stack,A,20,85.89714813991768,6.7346572938912415,9.261232472899513,0.36522699910177375
official,test,P1_CART_Stack,B,20,32.48529454193848,2.6402925329379023,5.694946361882126,0.23593147360157618
official,test,P1_CART_Stack,all,20,62.46647651438907,3.824440041260567,7.9000329850339615,0.24269398050448962
official,test,P1_ELM_Stack,A,20,75.98319086643275,14.183742546119744,8.67925553137191,0.8295301698665327
official,test,P1_ELM_Stack,B,20,22.59827548458541,1.0634246533390623,4.752542300721219,0.11058297404346203
official,test,P1_ELM_Stack,all,20,52.56433647722613,8.110490402693594,7.229118441638024,0.5658556948227453
official,test,P1_ERT,A,20,86.58083994338189,2.957657306374049,9.303593946092196,0.15887641545529238
official,test,P1_ERT,B,20,21.944994527746452,0.4066860772741376,4.6843577655535995,0.04336930814036107
official,test,P1_ERT,all,20,58.226436058221054,1.6955028087246942,7.629856104625526,0.11112762189040087
official,test,P1_GBT,A,20,54.60751630004138,3.1929785890510574,7.386713005165753,0.21517992314024587
official,test,P1_GBT,B,20,23.69972544413826,0.18343886485023092,4.86820176345893,0.01883541998248176
official,test,P1_GBT,all,20,41.04890993400841,1.79254263490363,6.405500102656805,0.13946653577895468
official,test,P1_RF,A,20,60.26379102736016,3.275507533700925,7.760241647706453,0.21136298675730705
official,test,P1_RF,B,20,21.43388688617925,0.440223341790305,4.629442138128873,0.04759893736119303
official,test,P1_RF,all,20,43.22991798429495,1.8152026259240708,6.5735602421677,0.1385022397199818
official,validation,P1_CART_Stack,A,20,147.79113269526835,13.2068948508054,12.14561325932531,0.5382341988484961
official,validation,P1_CART_Stack,B,20,34.940224200507586,3.252668303134664,5.90502787921268,0.2731299020585362
official,validation,P1_CART_Stack,all,20,102.01199057003521,7.878442405261119,10.093033907625154,0.38751177851588253
official,validation,P1_ELM_Stack,A,20,232.27807393900653,210.64619266307986,14.5408565547851,4.683854080176832
official,validation,P1_ELM_Stack,B,20,27.842539071604087,4.175770199318117,5.2631070201865775,0.3869496984402425
official,validation,P1_ELM_Stack,all,20,149.3466777192112,125.38028896078058,11.725942092263221,3.531655310131473
official,validation,P1_ERT,A,20,111.42508560192871,4.122959251252125,10.554085339086114,0.1956588255537731
official,validation,P1_ERT,B,20,25.511918019256925,0.39835955140420376,5.050786530603349,0.03938262417689319
official,validation,P1_ERT,all,20,76.57351762027882,2.482157395556207,8.749532669566797,0.14214775286427195
official,validation,P1_GBT,A,20,107.2416796306272,7.335050377760117,10.349863282871166,0.3583730142896892
official,validation,P1_GBT,B,20,29.43596070954782,0.24923899493618257,5.4254455034725835,0.022982794409889797
official,validation,P1_GBT,all,20,75.6789823324535,4.361735266118019,8.695873043534329,0.2529288295705177
official,validation,P1_RF,A,20,119.6036763123665,4.389750559359848,10.934606498311357,0.20015004753939478
official,validation,P1_RF,B,20,25.657633564945865,0.39767855271582275,5.065191623235514,0.03930159834224983
official,validation,P1_RF,all,20,81.49348916011095,2.671224989168873,9.026226448187028,0.14770263925208132
