track,split,model,mse_mean,mse_std,rmse_mean,rmse_std
grouped,test,P1_CART_Stack,36.43703653894498,3.624581066580347,6.029372595059678,0.29683000431454903
grouped,test,P1_ELM_Stack,583.9631052611882,582.1023733209739,21.582103532234182,11.153281904779748
grouped,test,P1_ERT,40.20422867437708,1.66689645573397,6.339351983615588,0.13316037899023916
grouped,test,P1_GBT,130.22851954301373,1.8936893352239823,11.411484881331418,0.08292257744878688
grouped,test,P1_RF,49.186057064864166,2.976104907922192,7.01025788994983,0.2111157857927079
grouped,validation,P1_CART_Stack,50.79587539608148,10.832022517654146,7.089202544248719,0.75329639284453
grouped,validation,P1_ELM_Stack,536.2661513906775,734.5368102180806,19.96320302760659,12.041012209122998
grouped,validation,P1_ERT,79.26701844582344,3.118203068306316,8.90156716449507,0.17508031782933633
grouped,validation,P1_GBT,106.29256774369681,0.8533480316601546,10.309749866061736,0.04136414588827451
grouped,validation,P1_RF,80.83290472505318,4.219161216228845,8.987839644123454,0.2331551472979826
official,test,P1_CART_Stack,62.46647651438907,3.824440041260567,7.9000329850339615,0.24269398050448962
official,test,P1_ELM_Stack,52.56433647722613,8.110490402693596,7.229118441638024,0.5658556948227453
official,test,P1_ERT,58.226436058221054,1.695502808724694,7.629856104625526,0.11112762189040096
official,test,P1_GBT,41.048909934008414,1.7925426349036304,6.405500102656805,0.13946653577895468
official,test,P1_RF,43.22991798429495,1.8152026259240706,6.5735602421677,0.1385022397199818
official,validation,P1_CART_Stack,102.01199057003521,7.878442405261117,10.093033907625154,0.38751177851588253
official,validation,P1_ELM_Stack,149.3466777192112,125.38028896078058,11.725942092263221,3.5316553101314736
official,validation,P1_ERT,76.57351762027882,2.482157395556207,8.749532669566797,0.14214775286427175
official,validation,P1_GBT,75.6789823324535,4.361735266118019,8.695873043534329,0.2529288295705179
official,validation,P1_RF,81.49348916011095,2.671224989168873,9.026226448187028,0.14770263925208132
