track,split,model,stage,n,mse,rmse,mae,r2,relative_error,mape_percent,s_score_literal_mean,s_score_minus_one_mean
grouped,test,P1_CART_Stack,all,296,40.81615578053621,6.388752286678222,4.94174045909749,0.9474692095111976,0.061376528416906086,6.137652841690609,1.673148935692489,0.673148935692489
grouped,test,P1_CART_Stack,A,174,30.78235303687217,5.548184661389,4.387590994458128,0.97386872862013,0.05244544233359247,5.244544233359247,1.528761954934789,0.5287619549347888
grouped,test,P1_CART_Stack,B,122,55.12666133297508,7.424733081597956,5.732084777517564,-0.4367033994825773,0.07411430692917303,7.411430692917303,1.8790779082485531,0.8790779082485529
grouped,test,P1_ELM_Stack,all,296,477.8832310173257,21.860540501490938,6.140133996224998,0.3849596218305763,0.07822902506452784,7.822902506452784,554468041.5533645,554468040.5533645
grouped,test,P1_ELM_Stack,A,174,760.4794924454939,27.576792642464675,6.576552698473407,0.35442570059165623,0.08177413987507347,8.177413987507347,943232987.8068322,943232986.8068322
grouped,test,P1_ELM_Stack,B,122,74.83610406239757,8.650786326247896,5.5177007651494,-0.9503681614428721,0.07317287771178244,7.317287771178243,3.454156619008624,2.454156619008624
grouped,test,P1_ERT,all,296,41.065952149780166,6.408272165707396,4.3985472972973,0.9471477191482106,0.0507668093805416,5.07668093805416,1.6378967511365294,0.6378967511365293
grouped,test,P1_ERT,A,174,52.77411476774335,7.26457946255276,4.787179866379314,0.9551998278631776,0.05096583995579368,5.096583995579368,1.7262495940466887,0.7262495940466885
grouped,test,P1_ERT,B,122,24.367425137275294,4.936337218755956,3.8442680594262315,0.36493954676664864,0.05048294610108371,5.048294610108371,1.5118853194449904,0.5118853194449907
grouped,test,P1_GBT,all,296,129.58415185519172,11.383503496515988,5.402858375978358,0.8332239329843912,0.0653955644223642,6.53955644223642,25.035758890021434,24.035758890021434
grouped,test,P1_GBT,A,174,196.019622106342,14.000700771973595,5.988871180597437,0.8335981029486341,0.06985225904180381,6.985225904180381,41.45159694495088,40.45159694495088
grouped,test,P1_GBT,B,122,34.831923792075756,5.901857656033036,4.56706962184951,0.09221523465163994,0.05903929504709788,5.903929504709788,1.623006254302385,0.6230062543023848
grouped,test,P1_RF,all,296,49.14641263488485,7.0104502448048835,4.760458676166825,0.936748087711129,0.05651499993562713,5.651499993562712,1.8075334106621785,0.8075334106621784
grouped,test,P1_RF,A,174,61.94165070427166,7.870301817863891,5.053772865753093,0.9474174673283875,0.05641478606656386,5.641478606656386,1.9616676556618202,0.96166765566182
grouped,test,P1_RF,B,122,30.89746653592332,5.558548959568794,4.342125323806082,0.19475451380170616,0.05665792791281571,5.665792791281571,1.5877026022200666,0.5877026022200665
grouped,test,P2_Bagging,all,296,23.232363475840632,4.819996211185298,3.5316156718262732,0.9700997216672947,0.04452779235621894,4.452779235621894,1.4191694770406804,0.4191694770406807
grouped,test,P2_Bagging,A,174,28.512281246170723,5.339689246217492,3.799511754254756,0.9757958022893699,0.04704771985907049,4.704771985907049,1.4504529191894964,0.4504529191894963
grouped,test,P2_Bagging,B,122,15.70198895094363,3.9625735262507913,3.1495343739364707,0.5907769424272313,0.040933797393135574,4.093379739313558,1.3745521087300745,0.3745521087300747
grouped,test,P2_Integrated,all,296,17.497278492838817,4.182974837700893,3.188201857866914,0.9774808319633607,0.03996075821101705,3.996075821101705,1.362107612808139,0.3621076128081393
grouped,test,P2_Integrated,A,174,18.70380635358135,4.324789746748546,3.2309694543859093,0.9841222586500608,0.03950696719195361,3.950696719195361,1.35764893962154,0.3576489396215402
grouped,test,P2_Integrated,B,122,15.776492855386351,3.971963350206841,3.1272054497168718,0.5888352320061877,0.04060796835295999,4.060796835295999,1.3684667040742722,0.36846670407427246
grouped,test,P2_KNN,all,296,33.41230595315879,5.780337875345938,4.553199324324325,0.9569980364341384,0.05744170142029525,5.744170142029525,1.5630697246077068,0.5630697246077067
grouped,test,P2_KNN,A,174,19.523957462829316,4.4185922489894125,3.3808727586206895,0.983426028859486,0.04135654772630394,4.135654772630394,1.3644455111308182,0.3644455111308184
grouped,test,P2_KNN,B,122,53.22027839018609,7.295222984267587,6.225206065573772,-0.3870195117158748,0.08038282226254514,8.038282226254514,1.8463534389108096,0.8463534389108097
grouped,test,P2_LR,all,296,21.746293129489995,4.663292091376005,3.6588827029285693,0.9720123086937533,0.04432115157446497,4.432115157446497,1.4257705265193785,0.4257705265193785
grouped,test,P2_LR,A,174,24.729193652265465,4.972845629241417,3.915491950498947,0.9790072815564599,0.04593176208345796,4.593176208345795,1.4640253520677062,0.46402535206770634
grouped,test,P2_LR,B,122,17.491992383892196,4.1823429299726484,3.29289902196754,0.5441261212996987,0.04202405134032744,4.202405134032744,1.3712103654914354,0.37121036549143555
grouped,test,P2_Persistent,all,296,40.4538425927027,6.360333528416784,5.272347972972973,0.9479355101168634,0.06607266436935529,6.607266436935529,1.7577310120752212,0.7577310120752211
grouped,test,P2_Persistent,A,174,34.93427682323274,5.9105225507760935,4.985119827586207,0.9703441427289875,0.0609245152149632,6.0924515214963195,1.6565539561020068,0.6565539561020068
grouped,test,P2_Persistent,B,122,48.3260101655533,6.951691173056618,5.682001229508198,-0.25946577226778333,0.07341510660594727,7.341510660594727,1.9020327148566907,0.9020327148566906
grouped,test,P2_SVR,all,296,20.576873135380882,4.536173843161314,3.627670514386821,0.9735173636292124,0.04518676888189891,4.518676888189891,1.4120053790100917,0.41200537901009165
grouped,test,P2_SVR,A,174,15.512005860563947,3.9385283876803463,3.1778500756708925,0.9868317917638398,0.03855210238894047,3.855210238894047,1.3475984899250097,0.3475984899250101
grouped,test,P2_SVR,B,122,27.8005362978247,5.272621387680392,4.269217697473472,0.2754662800043004,0.054649326011200296,5.464932601120029,1.5038643847543882,0.5038643847543882
grouped,test,P3_RF,all,296,28.575758509035452,5.345629851480128,4.082396479078184,0.963222720156008,0.05093155472446374,5.093155472446374,1.4540415771859265,0.45404157718592664
grouped,test,P3_RF,A,174,16.2309476151577,4.028765023572075,2.9412551138341536,0.986221479028062,0.03629857380470419,3.629857380470419,1.3220479438061192,0.3220479438061192
grouped,test,P3_RF,B,122,46.182292078992255,6.795755445790575,5.709925967213111,-0.20359648891156001,0.07180154390510443,7.1801543905104435,1.6422947920063076,0.6422947920063076
grouped,test,P3_RF_CPP,all,296,28.575758509035452,5.345629851480128,4.082396479078184,0.963222720156008,0.05093155472446374,5.093155472446374,1.4540415771859265,0.45404157718592664
grouped,test,P3_RF_CPP,A,174,16.2309476151577,4.028765023572075,2.9412551138341536,0.986221479028062,0.03629857380470419,3.629857380470419,1.3220479438061192,0.3220479438061192
grouped,test,P3_RF_CPP,B,122,46.182292078992255,6.795755445790575,5.709925967213111,-0.20359648891156001,0.07180154390510443,7.1801543905104435,1.6422947920063076,0.6422947920063076
grouped,validation,P1_CART_Stack,all,297,73.22615330806967,8.557228132290833,5.333758308281224,0.9333379430787356,0.06252833838848797,6.2528338388487965,3.535695527865237,2.535695527865237
grouped,validation,P1_CART_Stack,A,175,92.0082667862368,9.592093972967362,5.258219893197279,0.9399480828747632,0.05505611650145044,5.505611650145044,4.710528412344983,3.710528412344983
grouped,validation,P1_CART_Stack,B,122,46.284597089387276,6.8032784074582215,5.442112592213115,0.44223997012458627,0.07324668945595983,7.324668945595983,1.8504844230787145,0.8504844230787147
grouped,validation,P1_ELM_Stack,all,297,172.33325609245384,13.127576169744888,6.343759636183389,0.8431149417513376,0.06742370083117832,6.742370083117832,17.503611106870967,16.503611106870967
grouped,validation,P1_ELM_Stack,A,175,263.19589475382026,16.223313309981418,7.074385154832734,0.8282174133746073,0.0648648667469056,6.48648667469056,28.46218788542658,27.46218788542658
grouped,validation,P1_ELM_Stack,B,122,41.997503914264264,6.4805481183511215,5.2957312282847395,0.49390228043523543,0.07109415955861867,7.109415955861867,1.7843411376313565,0.7843411376313564
grouped,validation,P1_ERT,all,297,84.26050321203196,9.179352003928816,5.679707623737381,0.9232927279724271,0.06260610054683403,6.260610054683403,2.341105539348745,1.3411055393487452
grouped,validation,P1_ERT,A,175,119.12431310605133,10.914408509216216,6.197160895714296,0.9222499930917573,0.059190516025197135,5.919051602519714,2.794930959581025,1.7949309595810259
grouped,validation,P1_ERT,B,122,34.250939839463214,5.852430250713221,4.937459077868856,0.5872535048490166,0.06750550457377218,6.7505504573772175,1.6901264529499824,0.6901264529499823
grouped,validation,P1_GBT,all,297,106.14928845884279,10.30287767853442,5.357706235256882,0.9033660845241301,0.05934798678307549,5.9347986783075495,6.112285862511495,5.112285862511495
grouped,validation,P1_GBT,A,175,154.161563086849,12.416181501848666,5.501702618684932,0.8993818954127583,0.05209531000984762,5.209531000984762,9.163184751671313,8.163184751671313
grouped,validation,P1_GBT,B,122,37.27922239407983,6.105671330335414,5.151154045913369,0.5507606956997404,0.06975141658073844,6.975141658073844,1.7359964723232302,0.7359964723232301
grouped,validation,P1_RF,all,297,87.37312407714103,9.34735920338686,5.622206213228297,0.9204591268625714,0.06146477719154542,6.146477719154541,2.635838820325733,1.635838820325733
grouped,validation,P1_RF,A,175,124.56815566992084,11.161010512938372,6.16488811465463,0.9186969082015936,0.058187865937286504,5.8187865937286505,3.297727487686987,2.297727487686987
grouped,validation,P1_RF,B,122,34.019595153071656,5.832631923332009,4.843769059542983,0.5900413614429517,0.06616526464642505,6.616526464642505,1.6864083548485254,0.6864083548485256
grouped,validation,P2_Bagging,all,297,36.17862272309568,6.014866808425244,4.781490578887461,0.9670644804028757,0.059967340045924064,5.9967340045924065,1.6767200425252162,0.6767200425252163
grouped,validation,P2_Bagging,A,175,20.746266470768845,4.554806963063181,3.6603437200912206,0.9864593354675925,0.040946514658962464,4.094651465896247,1.4102677841451536,0.410267784145154
grouped,validation,P2_Bagging,B,122,58.3151993145481,7.636438915787129,6.38969304027551,0.2972632504706191,0.08725131088787717,8.725131088787718,2.058926150857273,1.0589261508572732
grouped,validation,P2_Integrated,all,297,35.739187724705474,5.9782261352934345,4.703336055332577,0.9674645238238737,0.058785091771104483,5.878509177110448,1.6746327649703465,0.6746327649703465
grouped,validation,P2_Integrated,A,175,17.278088572036477,4.156692022755172,3.3174027919026514,0.9887229443695418,0.0359135967071549,3.5913596707154904,1.3641798926966417,0.36417989269664175
grouped,validation,P2_Integrated,B,122,62.220272574845424,7.887982795039897,6.691355080744354,0.2502045329857794,0.09159256419890101,9.1592564198901,2.119954507985906,1.1199545079859066
grouped,validation,P2_KNN,all,297,71.16983364584165,8.436221526598365,6.262913484848484,0.935209931325818,0.08153176020371306,8.153176020371305,2.2184516093677633,1.218451609367763
grouped,validation,P2_KNN,A,175,18.156133560257985,4.261001473862452,3.453991028571428,0.9881498623334741,0.03771190922660472,3.7711909226604723,1.3827875544207395,0.3827875544207395
grouped,validation,P2_KNN,B,122,147.21407557188382,12.133180768944467,10.292105532786884,-0.77402704900898,0.14438810381841763,14.438810381841764,3.417150048840953,2.417150048840953
grouped,validation,P2_LR,all,297,33.36315515183373,5.776084759751516,4.657065402291614,0.9696275654621964,0.05696872162457695,5.696872162457695,1.6348731817091757,0.6348731817091757
grouped,validation,P2_LR,A,175,20.609979378874186,4.539821513988649,3.6061181889359184,0.9865482872697898,0.03868685751534044,3.868685751534044,1.3996614802626157,0.39966148026261555
grouped,validation,P2_LR,B,122,51.65664499009538,7.1872557342907575,6.164571650957571,0.37750323725847823,0.0831927070271703,8.31927070271703,1.9722670157513726,0.9722670157513728
grouped,validation,P2_Persistent,all,297,62.08483500416664,7.879393060646653,5.992069191919191,0.9434805377856852,0.07736409941690721,7.736409941690721,2.0556252473379533,1.0556252473379533
grouped,validation,P2_Persistent,A,175,21.19878891437141,4.604214255915053,3.630018857142855,0.9861639833081646,0.04145526821027869,4.145526821027869,1.436723856648065,0.43672385664806485
grouped,validation,P2_Persistent,B,122,120.73285193625,10.987850196296362,9.380256147540983,-0.45491077675055047,0.1288726687706776,12.88726687706776,2.943393635622629,1.943393635622629
grouped,validation,P2_SVR,all,297,46.972511186755355,6.853649479420096,5.280504760529109,0.9572381714318299,0.06612917687435807,6.612917687435807,1.8349802931778185,0.8349802931778183
grouped,validation,P2_SVR,A,175,17.295267908227366,4.158757976635256,3.2763566040917405,0.9887117317675742,0.03440527141880595,3.4405271418805947,1.3580912277357262,0.35809122773572627
grouped,validation,P2_SVR,B,122,89.54232736497175,9.462680770530714,8.15530744394337,-0.07904431121541133,0.1116347789622402,11.16347789622402,2.5190424772136057,1.519042477213606
grouped,validation,P3_RF,all,297,50.006519400163185,7.07152878804599,5.483022101455032,0.9544761360239221,0.06887955232349488,6.887955232349488,1.8800302285370483,0.8800302285370483
grouped,validation,P3_RF,A,175,19.980896015028414,4.469999554253715,3.4806667207550994,0.9869588771368754,0.037881743996165305,3.7881743996165307,1.4022397165204843,0.4022397165204843
grouped,validation,P3_RF,B,122,93.0760611411352,9.647593541455569,8.355253180327885,-0.1216281421334644,0.11334362164548406,11.334362164548406,2.5653854711837587,1.565385471183759
grouped,validation,P3_RF_CPP,all,297,50.006519400163185,7.07152878804599,5.483022101455032,0.9544761360239221,0.06887955232349488,6.887955232349488,1.8800302285370483,0.8800302285370483
grouped,validation,P3_RF_CPP,A,175,19.980896015028414,4.469999554253715,3.4806667207550994,0.9869588771368754,0.037881743996165305,3.7881743996165307,1.4022397165204843,0.4022397165204843
grouped,validation,P3_RF_CPP,B,122,93.0760611411352,9.647593541455569,8.355253180327885,-0.1216281421334644,0.11334362164548406,11.334362164548406,2.5653854711837587,1.565385471183759
official,test,P1_CART_Stack,all,424,67.33497542412367,8.205789140851943,4.91236986986186,0.9229448343694772,0.06236664669101201,6.236664669101201,22.927368938107342,21.927368938107342
official,test,P1_CART_Stack,A,238,93.5882706291236,9.674103091714684,5.238815444677871,0.9328498969252695,0.0671329536259246,6.71329536259246,39.61785824891399,38.61785824891399
official,test,P1_CART_Stack,B,186,33.742049301596865,5.808790691839126,4.49465994079621,0.5363124560107058,0.05626782383881204,5.6267823838812046,1.5707213253547527,0.5707213253547525
official,test,P1_ELM_Stack,all,424,46.737908401085214,6.836512883121425,4.029845266346941,0.9465152062448132,0.05058924327971689,5.058924327971689,6.080789001550174,5.080789001550174
official,test,P1_ELM_Stack,A,238,65.93324807082631,8.119929068090823,4.367853223631074,0.952692528943579,0.054681608286054756,5.468160828605476,9.71610328534044,8.71610328534044
official,test,P1_ELM_Stack,B,186,22.176129683889627,4.709153818244805,3.5973404607898227,0.6952527981806894,0.045352776228596396,4.535277622859639,1.429150294334673,0.4291502943346728
official,test,P1_ERT,all,424,57.41991805186655,7.577593156924338,4.614781875000004,0.9342911871860209,0.05595194152373001,5.595194152373001,5.461348477307717,4.461348477307717
official,test,P1_ERT,A,238,85.27680564608544,9.23454414933869,5.356358048319333,0.9388134191333544,0.06361833745327389,6.361833745327389,8.615306125662991,7.615306125662993
official,test,P1_ERT,B,186,21.775083388296146,4.666377973149641,3.6658833306451646,0.7007640275126004,0.04614225210850719,4.614225210850719,1.4256392283369879,0.42563922833698764
official,test,P1_GBT,all,424,42.079152634437015,6.486844582263168,3.975123475200813,0.951846480147716,0.04866202304101965,4.866202304101965,5.092913641205355,4.092913641205355
official,test,P1_GBT,A,238,56.46518725851099,7.514332123250275,4.166050338814708,0.9594859150718931,0.05000537113293155,5.000537113293155,7.941759060597181,6.941759060597181
official,test,P1_GBT,B,186,23.671215857396124,4.865307375428209,3.730819208856151,0.6747071333442394,0.04694311526749797,4.694311526749797,1.447616814241622,0.4476168142416217
