evaluation,policy,reference,reference_mse,selected_mse,mse_reduction_percent,delta_low,delta_high
nested_oof,completed,robust_reference,21.769422961718107,18.643066187065592,14.361229418667943,-5.820513138056303,-0.6762048974933548
nested_oof,completed,previous_control,22.428854947504465,18.643066187065592,16.879099576414603,-6.5489083415640525,-0.8444184558797271
nested_oof,completed,base_direct,17.84928362741062,18.643066187065592,-4.44713959520473,-0.7203686521906584,2.202556198040334
nested_oof,completed,joint_direct,19.400310191285616,18.643066187065592,3.903257199259469,-2.720960810839596,0.9956811854652091
nested_oof,completed,base_residual,28.309852689799055,18.643066187065592,34.146368081303066,-15.600755362966321,-4.121521666923556
nested_oof,completed,joint_residual,33.9004685286226,18.643066187065592,45.006464523270495,-24.437519081853807,-6.6796532398352575
nested_oof,retrospective,robust_reference,26.564177001386593,17.447916156756353,34.31787419634491,-13.719423007364671,-4.61022745926527
nested_oof,retrospective,previous_control,31.112248067864446,17.447916156756353,43.91946181871009,-19.2148199672744,-7.934129958739043
nested_oof,retrospective,paper_v2,36.406158288213945,17.447916156756353,52.074272658412,-27.26146543026928,-10.463146875419923
nested_oof,retrospective,base_direct,17.10498698590628,17.447916156756353,-2.0048490602923685,0.046960457411303363,0.6734927240684451
nested_oof,retrospective,joint_direct,18.190392356269157,17.447916156756353,4.081694253598201,-1.4740652476956555,0.1193800444381111
nested_oof,retrospective,base_residual,24.80327361860701,17.447916156756353,29.654784989078177,-10.08028047513582,-3.7728578345099733
nested_oof,retrospective,joint_residual,24.467981427466345,17.447916156756353,28.690823113138674,-9.864033873761246,-3.5381035242303156
temporal,completed,robust_reference,11.77140584831324,14.3295787867202,-21.732093612026194,-1.4055813600138078,4.587166106448946
temporal,completed,previous_control,12.420051911737461,14.3295787867202,-15.374548259159493,-2.6613446413111586,3.9713964593235187
temporal,completed,base_direct,15.095524250661352,14.3295787867202,5.073990483686552,-2.7219412359978286,0.16061080578807196
temporal,completed,joint_direct,12.66104697920057,14.3295787867202,-13.17846628529753,-1.0282167128000186,2.758074109203395
temporal,completed,base_residual,15.628904888995393,14.3295787867202,8.313609376368225,-11.627553556389039,2.7108646195473463
temporal,completed,joint_residual,19.430855106977006,14.3295787867202,26.25348340138206,-27.73889380140664,3.6860075571826614
temporal,retrospective,robust_reference,30.214551236358066,19.06466386788581,36.90237621353537,-23.245428441575893,-5.289656144464543
temporal,retrospective,previous_control,39.323954539524884,19.06466386788581,51.51895558030988,-32.803819824185354,-7.1636450750812255
temporal,retrospective,paper_v2,32.436459824110194,19.06466386788581,41.22458501554802,-30.267436817651955,-6.543950856960115
temporal,retrospective,base_direct,16.048999644368326,19.06466386788581,-18.7903563483204,0.8059858189715988,9.535932784525118
temporal,retrospective,joint_direct,11.762130915267768,19.06466386788581,-62.08511880393228,2.8498837066969562,11.900588529346026
temporal,retrospective,base_residual,26.28527926840468,19.06466386788581,27.470187121801537,-10.605022573820808,0.7910964807414426
temporal,retrospective,joint_residual,14.336961058629075,19.06466386788581,-32.97562705180985,-3.0450992263752683,7.9908886862701465
test,completed,robust_reference,8.949090955954565,11.310693687200155,-26.389303035010748,,
test,completed,previous_control,9.345806829946223,11.310693687200155,-21.024261393440735,,
test,completed,base_direct,13.004498856535285,11.310693687200155,13.02476310714522,,
test,completed,joint_direct,12.642379978718557,11.310693687200155,10.533509463883261,,
test,completed,base_residual,15.387599961094654,11.310693687200155,26.494750865647497,,
test,completed,joint_residual,16.25667903773481,11.310693687200155,30.424327988847487,,
test,retrospective,robust_reference,7.297972627524649,12.461484136980019,-70.75268397117497,,
test,retrospective,previous_control,7.727472077593047,12.461484136980019,-61.262105017680256,,
test,retrospective,paper_v2,7.074313480095856,12.461484136980019,-76.151144164609,,
test,retrospective,base_direct,12.461484136980019,12.461484136980019,0.0,,
test,retrospective,joint_direct,12.557736854656065,12.461484136980019,0.7664814033776945,,
test,retrospective,base_residual,14.292682819288732,12.461484136980019,12.812141047707392,,
test,retrospective,joint_residual,14.235041130942212,12.461484136980019,12.459092865612275,,
validation,completed,robust_reference,8.540213130821959,8.991572477211498,-5.285106348933688,,
validation,completed,previous_control,8.995549971273991,8.991572477211498,0.044216241088035346,,
validation,completed,base_direct,11.712935212369475,8.991572477211498,23.233823852146596,,
validation,completed,joint_direct,11.769616096535938,8.991572477211498,23.603519405718586,,
validation,completed,base_residual,13.80311776461753,8.991572477211498,34.85839481671158,,
validation,completed,joint_residual,14.690285100400654,8.991572477211498,38.79238955705313,,
validation,retrospective,robust_reference,7.293952380601344,11.76910372882993,-61.35427152130153,,
validation,retrospective,previous_control,7.611467318975251,11.76910372882993,-54.623323409531906,,
validation,retrospective,paper_v2,6.827695951448246,11.76910372882993,-72.37299101366024,,
validation,retrospective,base_direct,11.76910372882993,11.76910372882993,0.0,,
validation,retrospective,joint_direct,11.932546087876265,11.76910372882993,1.3697190678559124,,
validation,retrospective,base_residual,12.984119507233109,11.76910372882993,9.357706371435714,,
validation,retrospective,joint_residual,13.474618457648676,11.76910372882993,12.657239492006811,,
