policy,model,nested_oof,temporal,test,validation
completed,base_direct,17.84928362741062,15.095524250661352,13.004498856535283,11.712935212369477
completed,base_residual,28.30985268979905,15.628904888995391,15.387599961094654,13.80311776461753
completed,history_anchor,67.41609717218927,24.43793398693509,17.933856823878465,16.62946286916014
completed,joint_direct,19.400310191285616,12.66104697920057,12.642379978718555,11.769616096535938
completed,joint_residual,33.9004685286226,19.43085510697701,16.25667903773481,14.690285100400654
completed,previous_control,22.428854947504465,12.42005191173746,9.345806829946223,8.995549971273991
completed,robust_reference,21.769422961718107,11.77140584831324,8.949090955954565,8.540213130821959
completed,selected,18.643066187065592,14.3295787867202,11.310693687200157,8.991572477211498
retrospective,base_direct,17.10498698590628,16.048999644368326,12.46148413698002,11.76910372882993
retrospective,base_residual,24.80327361860701,26.28527926840468,14.292682819288732,12.984119507233109
retrospective,history_anchor,44.25194703256016,24.43793398693509,11.275583287761089,11.07235455237643
retrospective,joint_direct,18.19039235626916,11.762130915267768,12.557736854656063,11.932546087876265
retrospective,joint_residual,24.467981427466345,14.336961058629075,14.235041130942212,13.474618457648676
retrospective,paper_v2,36.406158288213945,32.436459824110194,7.074313480095856,6.827695951448246
retrospective,previous_control,31.11224806786445,39.32395453952488,7.727472077593047,7.611467318975251
retrospective,robust_reference,26.564177001386597,30.214551236358066,7.297972627524649,7.293952380601344
retrospective,selected,17.447916156756353,19.06466386788581,12.46148413698002,11.76910372882993
