policy,condition,variant,feature,importance
retrospective,Cond1,base_direct,p2_primary_duration,0.0
retrospective,Cond1,base_direct,p2_secondary_CENTER_AIR_BAG_PRESSURE_auc,0.0
retrospective,Cond1,base_direct,p2_secondary_CENTER_AIR_BAG_PRESSURE_mean,0.0
retrospective,Cond1,base_direct,p2_secondary_CENTER_AIR_BAG_PRESSURE_std,0.0895040851030593
retrospective,Cond1,base_direct,p2_secondary_DRESSING_WATER_STATUS_auc,0.00788867048534765
retrospective,Cond1,base_direct,p2_secondary_DRESSING_WATER_STATUS_mean,0.0
retrospective,Cond1,base_direct,p2_secondary_DRESSING_WATER_STATUS_std,0.0
retrospective,Cond1,base_direct,p2_secondary_EDGE_AIR_BAG_PRESSURE_auc,0.062065372127421664
retrospective,Cond1,base_direct,p2_secondary_EDGE_AIR_BAG_PRESSURE_mean,0.07524437091244433
retrospective,Cond1,base_direct,p2_secondary_EDGE_AIR_BAG_PRESSURE_std,0.0
retrospective,Cond1,base_direct,p2_secondary_HEAD_ROTATION_mean,0.33667827876768064
retrospective,Cond1,base_direct,p2_secondary_MAIN_OUTER_AIR_BAG_PRESSURE_auc,0.0
retrospective,Cond1,base_direct,p2_secondary_MAIN_OUTER_AIR_BAG_PRESSURE_mean,0.0
retrospective,Cond1,base_direct,p2_secondary_MAIN_OUTER_AIR_BAG_PRESSURE_std,0.0
retrospective,Cond1,base_direct,p2_secondary_PRESSURIZED_CHAMBER_PRESSURE_auc,0.031618221797762684
retrospective,Cond1,base_direct,p2_secondary_PRESSURIZED_CHAMBER_PRESSURE_mean,0.0
retrospective,Cond1,base_direct,p2_secondary_PRESSURIZED_CHAMBER_PRESSURE_std,0.0
retrospective,Cond1,base_direct,p2_secondary_RETAINER_RING_PRESSURE_auc,0.09274295923193547
retrospective,Cond1,base_direct,p2_secondary_RETAINER_RING_PRESSURE_mean,0.0
retrospective,Cond1,base_direct,p2_secondary_RETAINER_RING_PRESSURE_std,0.09256350826003587
retrospective,Cond1,base_direct,p2_secondary_RIPPLE_AIR_BAG_PRESSURE_auc,0.29095716859703524
retrospective,Cond1,base_direct,p2_secondary_RIPPLE_AIR_BAG_PRESSURE_mean,0.0
retrospective,Cond1,base_direct,p2_secondary_RIPPLE_AIR_BAG_PRESSURE_std,0.0
retrospective,Cond1,base_direct,p2_secondary_SLURRY_FLOW_LINE_A_auc,0.18937140138668326
retrospective,Cond1,base_direct,p2_secondary_SLURRY_FLOW_LINE_A_mean,0.05224327982679999
retrospective,Cond1,base_direct,p2_secondary_SLURRY_FLOW_LINE_A_std,0.3942184089106346
retrospective,Cond1,base_direct,p2_secondary_SLURRY_FLOW_LINE_B_auc,0.0
retrospective,Cond1,base_direct,p2_secondary_SLURRY_FLOW_LINE_B_mean,0.024448039931164935
retrospective,Cond1,base_direct,p2_secondary_SLURRY_FLOW_LINE_B_std,0.03787076638471844
retrospective,Cond1,base_direct,p2_secondary_SLURRY_FLOW_LINE_C_auc,0.4996433037294224
retrospective,Cond1,base_direct,p2_secondary_SLURRY_FLOW_LINE_C_mean,0.0
retrospective,Cond1,base_direct,p2_secondary_SLURRY_FLOW_LINE_C_std,0.04864990036488558
retrospective,Cond1,base_direct,p2_secondary_STAGE_ROTATION_mean,0.22103270906649086
retrospective,Cond1,base_direct,p2_secondary_USAGE_OF_BACKING_FILM_decreasing,0.0
retrospective,Cond1,base_direct,p2_secondary_USAGE_OF_BACKING_FILM_mean,0.23219759762873018
retrospective,Cond1,base_direct,p2_secondary_USAGE_OF_BACKING_FILM_std,0.0
retrospective,Cond1,base_direct,p2_secondary_USAGE_OF_DRESSER_TABLE_decreasing,0.0
retrospective,Cond1,base_direct,p2_secondary_USAGE_OF_DRESSER_TABLE_mean,0.6777366054621249
retrospective,Cond1,base_direct,p2_secondary_USAGE_OF_DRESSER_TABLE_std,0.0
retrospective,Cond1,base_direct,p2_secondary_USAGE_OF_DRESSER_decreasing,0.1348665458349442
retrospective,Cond1,base_direct,p2_secondary_USAGE_OF_DRESSER_mean,2.2429028162019087
retrospective,Cond1,base_direct,p2_secondary_USAGE_OF_DRESSER_std,0.0
