evaluation,policy,model,dimension,value,n,mse,rmse,mae,r2
nested_oof,completed,control,cold_history,False,1771,20.905894286395426,4.572296390917306,3.5696346782047415,0.9761820680234718
nested_oof,completed,control,cold_history,True,206,35.5218808252914,5.960023559122178,4.939026356808237,0.9649813535495998
nested_oof,completed,control,missing_physical_feature,False,1975,22.4487070334094,4.738006651895858,3.7144410808433794,0.9751463717982696
nested_oof,completed,control,missing_physical_feature,True,2,2.824920116381615,1.6807498672859134,1.6206549687099,0.5709815767583564
nested_oof,completed,features,cold_history,False,1771,21.239215199651913,4.608602304349109,3.58664916731994,0.9758023179525331
nested_oof,completed,features,cold_history,True,206,31.886557379717548,5.646818341306682,4.49632074064815,0.9685651757886171
nested_oof,completed,features,missing_physical_feature,False,1975,22.075789169217003,4.698487966273512,3.6722178381035335,0.9755592402067987
nested_oof,completed,features,missing_physical_feature,True,2,291.79866480088816,17.082115349127232,12.783758821326948,-43.31523650914545
nested_oof,completed,proposed,cold_history,False,1771,62.00654345061542,7.874423372578809,3.7364289275631712,0.9293563999810585
nested_oof,completed,proposed,cold_history,True,206,28.02443890802752,5.293811378206398,4.167105590896909,0.9723725800748614
nested_oof,completed,proposed,missing_physical_feature,False,1975,21.5477608963088,4.641956580614343,3.6473285042570645,0.9761438359412137
nested_oof,completed,proposed,missing_physical_feature,True,2,36514.89754794184,191.08871643281776,136.0827932657185,-5544.48912020701
nested_oof,completed,tuned,cold_history,False,1771,21.154726463003943,4.599426753738333,3.576049796037285,0.9758985753503127
nested_oof,completed,tuned,cold_history,True,206,32.52065625806793,5.702688511401261,4.599707770447931,0.9679400601156953
nested_oof,completed,tuned,missing_physical_feature,False,1975,22.067142239456672,4.697567693972773,3.6740149884074915,0.9755688134787485
nested_oof,completed,tuned,missing_physical_feature,True,2,290.8349161075274,17.05388272820965,12.272193694754286,-43.16887274387324
nested_oof,retrospective,control,cold_history,False,1771,30.02869388239549,5.479844330124305,4.2478483496202095,0.965788529376602
nested_oof,retrospective,control,cold_history,True,206,40.42765807983298,6.358274772281628,5.133560045707666,0.9601450758737035
nested_oof,retrospective,control,missing_physical_feature,False,1975,31.037517995484006,5.571132559496678,4.33421425405167,0.9656374448908686
nested_oof,retrospective,control,missing_physical_feature,True,2,104.90819454354573,10.242470138767588,10.189822420561761,-14.932325996477694
nested_oof,retrospective,features,cold_history,False,1771,46.11468267520928,6.790779239174933,4.213065369210516,0.9474618803658605
nested_oof,retrospective,features,cold_history,True,206,37.78296090761673,6.146784599090546,4.969253581801862,0.9627523059271379
nested_oof,retrospective,features,missing_physical_feature,False,1975,29.266355908288993,5.409838806128053,4.20385219305302,0.9675983508768852
nested_oof,retrospective,features,missing_physical_feature,True,2,15825.670022946972,125.80011932803153,91.19846272164534,-2402.43221056594
nested_oof,retrospective,incumbent_refit,cold_history,False,1771,35.87786739411859,5.989813636008936,4.560092707052179,0.9591246089093589
