partition,policy,model,n,mse,rmse,mae,r2
outer_0,completed,control,670,22.089256853182448,4.699920941162994,3.5994588423496436,0.9723321785985253
outer_0,completed,features,670,21.699146023015963,4.658234217277611,3.595354056192121,0.9728208105542115
outer_0,completed,proposed,670,21.996991245630568,4.690095014563198,3.618983396898874,0.9724477455625119
outer_0,completed,tuned,670,21.642841095662583,4.6521867004305175,3.5903030121067556,0.9728913350940089
outer_0,retrospective,control,670,30.258986258305047,5.500816871911393,4.247695660262869,0.9620992126105027
outer_0,retrospective,features,670,28.287583627315495,5.318607301476158,4.09601508956856,0.9645684860798254
outer_0,retrospective,incumbent_refit,670,34.07304616810765,5.83721219145815,4.400631726579464,0.9573219252123647
outer_0,retrospective,proposed,670,26.63596188634941,5.16100396108639,3.9792378397477104,0.966637219113968
outer_0,retrospective,tuned,670,29.9185853624157,5.469788420260485,4.204338801253025,0.9625255805618995
outer_1,completed,control,434,25.824217922787696,5.081753429947944,4.0552417494943285,0.9792688139856476
outer_1,completed,features,434,23.01907422153295,4.797819736248221,3.7291426346442176,0.9815207294566825
outer_1,completed,proposed,434,21.393806459539142,4.625343928784014,3.618612489531564,0.982825463191418
outer_1,completed,tuned,434,23.538500353929507,4.851649240611846,3.8081031600215183,0.981103744136793
outer_1,retrospective,control,434,30.479417030717155,5.520816699612219,4.3603617868567035,0.9755317095773405
outer_1,retrospective,features,434,29.069997675440067,5.3916600111134665,4.267408841341276,0.9766631643580367
outer_1,retrospective,incumbent_refit,434,31.430537374020133,5.606294442322855,4.4560513342637265,0.9747681684386309
outer_1,retrospective,proposed,434,32.731745722602795,5.721166465206444,4.455394145001268,0.9737235833751626
outer_1,retrospective,tuned,434,29.33215125185996,5.4159164738629375,4.283389136643516,0.9764527125033731
outer_2,completed,control,426,21.381789477273053,4.6240447096965935,3.7095553243732122,0.9761380174328413
outer_2,completed,features,426,23.306612248185893,4.8276922279890515,3.8653512571001936,0.973989923726596
outer_2,completed,proposed,426,22.006487865225665,4.691107317598443,3.8025400867054095,0.9754408567925262
outer_2,completed,tuned,426,22.605093065090976,4.754481366573117,3.788468887102124,0.9747728160348068
outer_2,retrospective,control,426,21.923346803304756,4.682237371524938,3.7404351543376215,0.9755336418502166
outer_2,retrospective,features,426,19.741905510729516,4.443186414132263,3.5065775733107465,0.9779681206925998
outer_2,retrospective,incumbent_refit,426,24.589279448395587,4.958757853373724,3.8856603633399676,0.9725584727994694
outer_2,retrospective,proposed,426,20.119140057592837,4.485436440034887,3.5420510090256916,0.9775471286053589
outer_2,retrospective,tuned,426,21.223524817655175,4.60689969693884,3.6602772836944006,0.9763146400935786
outer_3,completed,control,188,22.86073774212408,4.781290384626736,3.7914907954038894,0.9589579311260561
outer_3,completed,features,188,26.43512503539669,5.141509995652706,3.949796564569387,0.9525408044730378
outer_3,completed,proposed,188,412.3454329344794,20.306290476955148,5.333895065756535,0.2597128820051502
outer_3,completed,tuned,188,27.10810798980274,5.206544726572772,3.9847893519370987,0.9513325926875176
outer_3,retrospective,control,188,39.87547140494561,6.314702796248261,4.839945676805419,0.9284112410437592
outer_3,retrospective,features,188,207.46029096227088,14.403481904118562,5.773928043910929,0.6275448480128165
outer_3,retrospective,incumbent_refit,188,59.383203392702605,7.706049791735231,5.907947793483132,0.8933888507409005
outer_3,retrospective,proposed,188,38.7277368709376,6.223161324514864,4.741284033481066,0.9304717782112436
outer_3,retrospective,tuned,188,238.6186688379419,15.4472867791707,5.9304347722753885,0.5716059581485018
outer_4,completed,control,259,19.026534935353578,4.3619416474035475,3.3767539120825254,0.9755466221924498
outer_4,completed,features,259,18.363531146168306,4.285269086786535,3.326877363510014,0.9763987312180749
outer_4,completed,proposed,259,18.023249057192434,4.245379730623921,3.3119240801600816,0.9768360702559576
outer_4,completed,tuned,259,18.230768801664,4.269750437866832,3.3184403701303475,0.9765693606984196
outer_4,retrospective,control,259,43.132788739130426,6.5675557659703525,5.1689750028339505,0.9445646628503352
outer_4,retrospective,features,259,40.42759264418777,6.358269626571978,5.055285486812065,0.9480414484225849
outer_4,retrospective,incumbent_refit,259,53.537086872577184,7.316904186373987,5.795087090074129,0.9311927990851249
outer_4,retrospective,proposed,259,35.71562438666444,5.976255046989246,4.761040512128372,0.9540973876889777
outer_4,retrospective,tuned,259,40.75806243078975,6.384204134486127,5.086457114070969,0.9476167204007346
